"","gene","Sample.ID","Treatment","Sex","mean","sem"
"1","gene-LOC111116193","12M","Exposed","M",0.390337087591241,0.137940907230276
"2","gene-LOC111116193","13M","Control","M",0.653724642335766,0.302772021185184
"3","gene-LOC111116193","16F","Control","F",0.493313102189781,0.148765170038373
"4","gene-LOC111116193","19F","Control","F",0.623374875912409,0.231585002535479
"5","gene-LOC111116193","22F","Exposed","F",0.679771138686131,0.208139072293423
"6","gene-LOC111116193","23M","Exposed","M",0.767153189781022,0.347618430251142
"7","gene-LOC111116193","29F","Exposed","F",0.343924233576642,0.104967476641689
"8","gene-LOC111116193","31M","Exposed","M",0.387742379562044,0.14919893218038
"9","gene-LOC111116193","35F","Exposed","F",0.612794729927007,0.284033123044519
"10","gene-LOC111116193","36F","Exposed","F",0.650583824817518,0.191407821282976
"11","gene-LOC111116193","39F","Control","F",0.302059583941606,0.104392339586821
"12","gene-LOC111116193","3F","Exposed","F",0.611063708029197,0.281920181205114
"13","gene-LOC111116193","41F","Exposed","F",0.496842781021898,0.218138073179241
"14","gene-LOC111116193","44F","Control","F",0.372662875912409,0.107042654550785
"15","gene-LOC111116193","48M","Exposed","M",1.26913409489051,0.436773480149311
"16","gene-LOC111116193","50F","Exposed","F",0.538552875912409,0.174765054883331
"17","gene-LOC111116193","52F","Control","F",0.377798416058394,0.113269062254754
"18","gene-LOC111116193","53F","Control","F",0.416026802919708,0.111743509722567
"19","gene-LOC111116193","54F","Control","F",0.419433408759124,0.146008999928577
"20","gene-LOC111116193","59M","Exposed","M",0.609862138686131,0.250732580646908
"21","gene-LOC111116193","64M","Control","M",0.488962664233577,0.171095385346538
"22","gene-LOC111116193","6M","Control","M",0.240370153284672,0.0947102939441592
"23","gene-LOC111116193","76F","Control","F",0.668298175182482,0.236755215967935
"24","gene-LOC111116193","77F","Exposed","F",0.466931138686131,0.168847421788541
"25","gene-LOC111116193","7M","Control","M",0.829434291970803,0.503325114973366
"26","gene-LOC111116193","9M","Exposed","M",0.46884202189781,0.166241403940861
"27","gene-LOC111116194","12M","Exposed","M",0.540940958333333,0.222610477648206
"28","gene-LOC111116194","13M","Control","M",0.361437625,0.15336745431218
"29","gene-LOC111116194","16F","Control","F",0.317982458333333,0.176278050581206
"30","gene-LOC111116194","19F","Control","F",0.261287625,0.194876896866923
"31","gene-LOC111116194","22F","Exposed","F",0.0886525,0.0886525
"32","gene-LOC111116194","23M","Exposed","M",0.741279,0.239429515641165
"33","gene-LOC111116194","29F","Exposed","F",0.211569083333333,0.152044667892103
"34","gene-LOC111116194","31M","Exposed","M",0.23809525,0.23809525
"35","gene-LOC111116194","35F","Exposed","F",0.931898708333333,0.610973022710515
"36","gene-LOC111116194","36F","Exposed","F",0.0946969583333333,0.0946969583333333
"37","gene-LOC111116194","39F","Control","F",0,0
"38","gene-LOC111116194","3F","Exposed","F",0,0
"39","gene-LOC111116194","41F","Exposed","F",0.691066208333333,0.397625685049595
"40","gene-LOC111116194","44F","Control","F",0.228604041666667,0.116067951181304
"41","gene-LOC111116194","48M","Exposed","M",0.960640291666667,0.567300044890321
"42","gene-LOC111116194","50F","Exposed","F",0,0
"43","gene-LOC111116194","52F","Control","F",0.219442583333333,0.15589290009939
"44","gene-LOC111116194","53F","Control","F",0.0771605,0.0771605
"45","gene-LOC111116194","54F","Control","F",0.106837625,0.106837625
"46","gene-LOC111116194","59M","Exposed","M",0.393302708333333,0.256462414461033
"47","gene-LOC111116194","64M","Control","M",0.401455041666667,0.225266867213472
"48","gene-LOC111116194","6M","Control","M",1.344258,0.879791371728272
"49","gene-LOC111116194","76F","Control","F",0,0
"50","gene-LOC111116194","77F","Exposed","F",0.0801282083333333,0.0801282083333333
"51","gene-LOC111116194","7M","Control","M",0.4923235,0.232527492486653
"52","gene-LOC111116194","9M","Exposed","M",0,0
"53","gene-LOC111116195","12M","Exposed","M",2.10215788235294,0.502122534287821
"54","gene-LOC111116195","13M","Control","M",12.3392144705882,2.5873650486763
"55","gene-LOC111116195","16F","Control","F",9.76949294117647,2.70755465445037
"56","gene-LOC111116195","19F","Control","F",3.98041729411765,1.4902803889856
"57","gene-LOC111116195","22F","Exposed","F",1.02170494117647,0.59646584265292
"58","gene-LOC111116195","23M","Exposed","M",1.83894194117647,0.833506402875961
"59","gene-LOC111116195","29F","Exposed","F",9.42111211764706,1.97620708630639
"60","gene-LOC111116195","31M","Exposed","M",11.0230027647059,2.47666209471257
"61","gene-LOC111116195","35F","Exposed","F",2.59905523529412,0.848480736778102
"62","gene-LOC111116195","36F","Exposed","F",3.76149470588235,0.661375311296795
"63","gene-LOC111116195","39F","Control","F",2.07843323529412,0.793833578121892
