gene_name,control_females_max_transcript_counts,exposed_females_max_transcript_counts,difference
LOC111099031,1,0,1
LOC111099040,18,17,1
LOC111099043,2,1,1
LOC111099059,2,1,1
LOC111099066,2,1,1
LOC111099070,2,5,-3
LOC111099078,1,2,-1
LOC111099084,1,0,1
LOC111099085,0,1,-1
LOC111099086,1,0,1
LOC111099089,0,1,-1
LOC111099125,5,4,1
LOC111099135,4,3,1
LOC111099139,2,1,1
LOC111099181,1,2,-1
LOC111099194,19,15,4
LOC111099196,5,6,-1
LOC111099198,1,2,-1
LOC111099199,2,1,1
LOC111099204,1,0,1
LOC111099206,4,2,2
LOC111099222,6,4,2
LOC111099230,2,1,1
LOC111099409,0,1,-1
LOC111099412,0,1,-1
LOC111099438,1,3,-2
LOC111099441,1,0,1
LOC111099450,3,2,1
LOC111099456,0,1,-1
LOC111099457,11,10,1
LOC111099466,1,0,1
LOC111099476,2,1,1
LOC111099482,0,1,-1
LOC111099488,0,1,-1
LOC111099491,0,1,-1
LOC111099497,1,0,1
LOC111099498,2,1,1
LOC111099499,0,1,-1
LOC111099501,0,1,-1
LOC111099508,2,1,1
LOC111099518,4,2,2
LOC111099520,0,1,-1
LOC111099537,2,1,1
LOC111099542,2,0,2
LOC111099549,2,3,-1
LOC111099551,2,1,1
LOC111099562,0,1,-1
LOC111099569,1,2,-1
LOC111099572,1,2,-1
LOC111099575,1,2,-1
LOC111099579,4,3,1
LOC111099583,1,2,-1
LOC111099586,1,0,1
LOC111099587,5,4,1
LOC111099592,4,3,1
LOC111099602,0,1,-1
LOC111099603,13,10,3
LOC111099619,1,0,1
LOC111099636,1,0,1
LOC111099641,0,1,-1
LOC111099649,2,1,1
LOC111099655,2,1,1
LOC111099662,2,1,1
LOC111099667,0,1,-1
LOC111099673,3,4,-1
LOC111099675,2,1,1
LOC111099692,11,10,1
LOC111099699,0,1,-1
LOC111099707,1,0,1
LOC111099708,1,0,1
LOC111099709,3,2,1
LOC111099719,1,0,1
LOC111099721,6,4,2
LOC111099726,0,1,-1
LOC111099767,0,3,-3
LOC111099771,7,4,3
LOC111099773,3,4,-1
LOC111099781,4,5,-1
LOC111099804,3,2,1
LOC111099817,1,0,1
LOC111099830,4,3,1
LOC111099836,0,1,-1
LOC111099837,0,1,-1
LOC111099838,0,1,-1
LOC111099841,1,2,-1
LOC111099849,4,6,-2
LOC111099870,13,12,1
LOC111099877,2,1,1
LOC111099886,5,6,-1
LOC111099891,1,0,1
LOC111099892,5,3,2
LOC111099894,1,2,-1
LOC111099896,1,2,-1
LOC111099899,4,3,1
LOC111099901,0,1,-1
LOC111099905,0,1,-1
LOC111099908,0,1,-1
LOC111099916,2,3,-1
LOC111099920,5,4,1
LOC111099927,2,1,1
LOC111099931,1,0,1
LOC111099944,3,2,1
LOC111099950,1,0,1
LOC111099955,1,0,1
LOC111099956,4,3,1
LOC111099962,0,1,-1
LOC111099965,2,4,-2
LOC111099967,3,2,1
LOC111099987,1,2,-1
LOC111099989,1,2,-1
LOC111099991,0,1,-1
LOC111099993,2,1,1
LOC111099995,8,7,1
LOC111099999,0,2,-2
LOC111100000,0,1,-1
LOC111100009,1,0,1
LOC111100010,3,4,-1
LOC111100014,2,1,1
LOC111100018,1,2,-1
LOC111100021,1,2,-1
LOC111100026,1,5,-4
LOC111100030,1,0,1
LOC111100050,1,2,-1
LOC111100053,0,1,-1
LOC111100057,1,2,-1
LOC111100064,5,2,3
LOC111100068,2,1,1
LOC111100073,0,1,-1
LOC111100078,2,4,-2
LOC111100079,1,2,-1
