gene_name,female_max_transcript_counts,male_max_transcript_counts,difference
LOC111099035,2,1,1
LOC111099040,18,16,2
LOC111099043,2,1,1
LOC111099047,6,5,1
LOC111099049,1,2,-1
LOC111099059,2,3,-1
LOC111099076,1,2,-1
LOC111099084,1,2,-1
LOC111099086,1,0,1
LOC111099087,1,2,-1
LOC111099097,3,2,1
LOC111099099,2,3,-1
LOC111099101,3,2,1
LOC111099106,4,2,2
LOC111099122,3,2,1
LOC111099125,5,3,2
LOC111099127,3,2,1
LOC111099133,1,4,-3
LOC111099145,2,1,1
LOC111099150,5,4,1
LOC111099157,17,15,2
LOC111099181,2,1,1
LOC111099190,1,2,-1
LOC111099194,19,11,8
LOC111099196,6,4,2
LOC111099206,4,2,2
LOC111099222,6,4,2
LOC111099227,3,2,1
LOC111099425,1,0,1
LOC111099430,1,2,-1
LOC111099431,1,0,1
LOC111099435,0,1,-1
LOC111099438,3,1,2
LOC111099452,0,1,-1
LOC111099456,1,0,1
LOC111099463,1,2,-1
LOC111099465,1,2,-1
LOC111099486,0,2,-2
LOC111099501,1,0,1
LOC111099504,3,4,-1
LOC111099518,4,3,1
LOC111099532,2,1,1
LOC111099537,2,1,1
LOC111099542,2,1,1
LOC111099546,0,1,-1
LOC111099550,1,2,-1
LOC111099566,2,1,1
LOC111099569,2,1,1
LOC111099575,2,4,-2
LOC111099579,4,1,3
LOC111099587,5,2,3
LOC111099592,4,3,1
LOC111099600,2,3,-1
LOC111099603,13,9,4
LOC111099610,6,5,1
LOC111099632,1,3,-2
LOC111099634,1,0,1
LOC111099662,2,1,1
LOC111099663,2,5,-3
LOC111099667,1,0,1
LOC111099673,4,1,3
LOC111099678,1,3,-2
LOC111099684,2,1,1
LOC111099686,2,1,1
LOC111099689,1,2,-1
LOC111099692,11,7,4
LOC111099696,3,2,1
LOC111099698,1,0,1
LOC111099700,5,3,2
LOC111099706,3,2,1
LOC111099709,3,2,1
LOC111099711,4,3,1
LOC111099721,6,4,2
LOC111099726,1,0,1
LOC111099730,0,1,-1
LOC111099733,1,2,-1
LOC111099734,2,1,1
LOC111099746,6,4,2
LOC111099747,4,5,-1
LOC111099754,2,1,1
LOC111099759,0,1,-1
LOC111099767,3,1,2
LOC111099770,3,2,1
LOC111099771,7,5,2
LOC111099781,5,4,1
LOC111099789,3,2,1
LOC111099794,3,5,-2
LOC111099804,3,1,2
LOC111099809,0,1,-1
LOC111099830,4,3,1
LOC111099833,0,1,-1
LOC111099840,0,1,-1
LOC111099841,2,1,1
LOC111099848,0,1,-1
LOC111099849,6,3,3
LOC111099852,0,2,-2
LOC111099870,13,8,5
LOC111099879,1,2,-1
LOC111099880,3,2,1
LOC111099886,6,5,1
LOC111099894,2,1,1
LOC111099895,2,3,-1
LOC111099896,2,1,1
LOC111099899,4,3,1
LOC111099903,1,2,-1
LOC111099905,1,4,-3
LOC111099911,3,4,-1
LOC111099920,5,2,3
LOC111099925,1,2,-1
LOC111099927,2,1,1
LOC111099930,0,1,-1
LOC111099944,3,2,1
LOC111099945,2,1,1
LOC111099947,2,1,1
LOC111099951,0,1,-1
LOC111099955,1,2,-1
LOC111099956,4,3,1
LOC111099965,4,2,2
LOC111099967,3,2,1
LOC111099980,17,12,5
LOC111099984,0,1,-1
LOC111099987,2,4,-2
LOC111099989,2,1,1
LOC111099993,2,1,1
LOC111099995,8,5,3
LOC111100005,1,2,-1
LOC111100009,1,0,1
LOC111100014,2,1,1
LOC111100026,5,8,-3
LOC111100028,2,3,-1
LOC111100030,1,3,-2
LOC111100037,2,1,1
LOC111100050,2,1,1
LOC111100059,1,0,1
LOC111100064,5,2,3
LOC111100065,4,3,1
LOC111100066,1,2,-1
LOC111100069,3,2,1
LOC111100070,1,2,-1
LOC111100094,1,2,-1
LOC111100100,3,2,1
LOC111100117,5,3,2
LOC111100118,5,4,1
LOC111100121,0,1,-1
LOC111100122,0,1,-1
LOC111100126,0,1,-1
LOC111100138,1,2,-1
LOC111100143,7,6,1
LOC111100147,3,2,1
LOC111100148,5,4,1
LOC111100151,0,1,-1
LOC111100152,1,2,-1
LOC111100165,4,3,1
LOC111100174,0,1,-1
LOC111100182,1,2,-1
LOC111100185,1,2,-1
LOC111100186,4,3,1
LOC111100192,7,6,1
LOC111100196,4,2,2
LOC111100198,2,1,1
LOC111100207,1,3,-2
LOC111100219,5,4,1
LOC111100224,3,1,2
LOC111100225,1,2,-1
LOC111100226,0,1,-1
LOC111100239,8,7,1
LOC111100241,5,3,2
LOC111100242,2,3,-1
LOC111100250,0,1,-1
LOC111100254,3,2,1
LOC111100257,4,3,1
LOC111100277,8,6,2
LOC111100278,9,4,5
LOC111100288,5,4,1
LOC111100292,3,2,1
LOC111100293,5,4,1
LOC111100294,7,4,3
LOC111100296,2,3,-1
LOC111100299,2,3,-1
LOC111100304,4,1,3
LOC111100310,1,0,1
