LOC111099045 rna-XM_022430383.1
LOC111099056 rna-XM_022430398.1
LOC111099081 rna-XM_022430439.1
LOC111099095 rna-XM_022430454.1
LOC111099097 rna-XM_022430457.1
LOC111099106 rna-XM_022430475.1
LOC111099122 rna-XM_022430490.1
LOC111099147 rna-XM_022430532.1
LOC111099150 rna-XM_022430534.1
LOC111099152 rna-XM_022430539.1
LOC111099157 rna-XM_022430550.1
LOC111099171 rna-XM_022430576.1
LOC111099174 rna-XM_022430594.1
LOC111099194 rna-XM_022430620.1
LOC111099196 rna-XM_022430627.1
LOC111099206 rna-XM_022430637.1
LOC111099217 rna-XM_022430653.1
LOC111099220 rna-XM_022430654.1
LOC111099222 rna-XM_022430656.1
LOC111099227 rna-XM_022430668.1
LOC111099375 rna-XM_022430686.1
LOC111099420 rna-XM_022430700.1
LOC111099426 rna-XM_022430705.1
LOC111099438 rna-XM_022430720.1
LOC111099443 rna-XM_022430724.1
LOC111099457 rna-XR_002633678.1
LOC111099459 rna-XM_022430743.1
LOC111099476 rna-XM_022430765.1
LOC111099481 rna-XM_022430775.1
LOC111099486 rna-XM_022430779.1
LOC111099488 rna-XR_002633694.1
LOC111099504 rna-XM_022430809.1
LOC111099511 rna-XM_022430820.1
LOC111099519 rna-XM_022430832.1
LOC111099532 rna-XM_022430844.1
LOC111099563 rna-XM_022430877.1
LOC111099567 rna-XM_022430884.1
LOC111099569 rna-XM_022430887.1
LOC111099577 rna-XM_022430894.1
LOC111099579 rna-XR_002633719.1
LOC111099587 rna-XM_022430915.1
LOC111099591 rna-XM_022430919.1
LOC111099594 rna-XM_022430940.1
LOC111099596 rna-XM_022430931.1
LOC111099600 rna-XM_022430938.1
LOC111099601 rna-XM_022430941.1
LOC111099603 rna-XM_022430947.1
LOC111099610 rna-XM_022430965.1
LOC111099612 rna-XM_022430969.1
LOC111099614 rna-XM_022430984.1
LOC111099615 rna-XR_002633726.1
LOC111099639 rna-XM_022431001.1
LOC111099650 rna-XM_022431015.1
LOC111099659 rna-XM_022431028.1
LOC111099674 rna-XM_022431064.1
LOC111099688 rna-XM_022431083.1
LOC111099692 rna-XM_022431094.1
LOC111099696 rna-XM_022431106.1
LOC111099706 rna-XR_002633752.1
LOC111099721 rna-XM_022431138.1
LOC111099733 rna-XR_002633764.1
LOC111099746 rna-XM_022431175.1
LOC111099765 rna-XM_022431197.1
LOC111099781 rna-XM_022431237.1
LOC111099789 rna-XM_022431250.1
LOC111099794 rna-XM_022431254.1
LOC111099795 rna-XM_022431259.1
LOC111099808 rna-XM_022431276.1
LOC111099822 rna-XM_022431287.1
LOC111099841 rna-XM_022431306.1
LOC111099852 rna-XM_022431322.1
LOC111099864 rna-XM_022431336.1
LOC111099888 rna-XR_002633810.1
LOC111099893 rna-XM_022431388.1
LOC111099905 rna-XR_002633812.1
LOC111099910 rna-XM_022431419.1
LOC111099913 rna-XR_002633818.1
LOC111099927 rna-XM_022431445.1
LOC111099944 rna-XM_022431471.1
LOC111099947 rna-XM_022431476.1
LOC111099952 rna-XM_022431481.1
LOC111099955 rna-XR_002633828.1
LOC111099956 rna-XM_022431488.1
LOC111099959 rna-XM_022431490.1
LOC111099965 rna-XM_022431503.1
LOC111099980 rna-XM_022431526.1
LOC111099995 rna-XM_022431556.1
LOC111100010 rna-XM_022431569.1
LOC111100013 rna-XM_022431575.1
LOC111100028 rna-XM_022431612.1
LOC111100032 rna-XM_022431617.1
LOC111100034 rna-XM_022431631.1
LOC111100054 rna-XM_022431647.1
LOC111100065 rna-XM_022431677.1
LOC111100079 rna-XM_022431683.1
LOC111100090 rna-XM_022431700.1
LOC111100100 rna-XM_022431727.1
LOC111100111 rna-XR_002633898.1
LOC111100118 rna-XM_022431733.1
LOC111100120 rna-XR_002633904.1
LOC111100121 rna-XM_022431741.1
LOC111100128 rna-XR_002633908.1
LOC111100143 rna-XM_022431774.1
LOC111100152 rna-XR_002633918.1
LOC111100154 rna-XM_022431796.1
LOC111100165 rna-XM_022431811.1
LOC111100190 rna-XM_022431842.1
LOC111100198 rna-XM_022431863.1
LOC111100206 rna-XM_022431872.1
LOC111100219 rna-XR_002633956.1
LOC111100224 rna-XM_022431886.1
LOC111100231 rna-XM_022431898.1
LOC111100233 rna-XM_022431900.1
LOC111100241 rna-XR_002633962.1
LOC111100257 rna-XM_022431947.1
LOC111100277 rna-XM_022431967.1
LOC111100278 rna-XM_022432007.1
LOC111100288 rna-XM_022431986.1
LOC111100293 rna-XM_022432003.1
LOC111100304 rna-XM_022432027.1
LOC111100316 rna-XR_002633984.1
LOC111100324 rna-XM_022432060.1
LOC111100326 rna-XM_022432063.1
LOC111100329 rna-XM_022432076.1
LOC111100330 rna-XM_022432083.1
LOC111100336 rna-XM_022432098.1
LOC111100339 rna-XM_022432101.1
LOC111100344 rna-XM_022432104.1
LOC111100347 rna-XM_022432112.1
LOC111100350 rna-XM_022432117.1
LOC111100362 rna-XM_022432133.1
LOC111100366 rna-XM_022432142.1
LOC111100371 rna-XM_022432147.1
LOC111100375 rna-XM_022432160.1
LOC111100380 rna-XM_022432170.1
LOC111100382 rna-XM_022432174.1
LOC111100385 rna-XM_022432225.1
LOC111100389 rna-XM_022432187.1
LOC111100392 rna-XM_022432286.1
LOC111100393 rna-XM_022432203.1
LOC111100394 rna-XM_022432204.1
LOC111100396 rna-XM_022432211.1
LOC111100398 rna-XM_022432216.1
LOC111100408 rna-XR_002634011.1
LOC111100414 rna-XM_022432282.1
LOC111100415 rna-XM_022432285.1
LOC111100418 rna-XM_022432292.1
LOC111100424 rna-XM_022432306.1
LOC111100425 rna-XM_022432308.1
LOC111100436 rna-XM_022432328.1
LOC111100440 rna-XM_022432337.1
LOC111100444 rna-XM_022432391.1
LOC111100465 rna-XM_022432372.1
LOC111100466 rna-XM_022432379.1
LOC111100471 rna-XM_022432392.1
LOC111100472 rna-XR_002634040.1
LOC111100476 rna-XM_022432403.1
LOC111100477 rna-XM_022432409.1
LOC111100506 rna-XM_022432457.1
LOC111100513 rna-XM_022432468.1
LOC111100522 rna-XM_022432483.1
LOC111100540 rna-XM_022432514.1
LOC111100549 rna-XM_022432540.1
LOC111100557 rna-XM_022432553.1
LOC111100560 rna-XM_022432558.1
LOC111100562 rna-XM_022432562.1
LOC111100564 rna-XM_022432565.1
LOC111100568 rna-XM_022432577.1
LOC111100570 rna-XM_022432583.1
LOC111100571 rna-XM_022432589.1
LOC111100577 rna-XM_022432610.1
LOC111100579 rna-XM_022432613.1
LOC111100580 rna-XM_022432615.1
LOC111100582 rna-XM_022432621.1
LOC111100584 rna-XM_022432629.1
LOC111100587 rna-XM_022432639.1
LOC111100602 rna-XM_022432659.1
LOC111100620 rna-XM_022432682.1
