gene_name	t_name	Predom_exp
ATP6	gene-ATP6	1556.936656
COX1	gene-COX1	2620.65207916667
COX2	gene-COX2	3303.03234183333
COX3	gene-COX3	1337.4900205
CYTB	gene-CYTB	3732.32512833333
LOC111099029	rna-XM_022458270.1	6.09067216666667
LOC111099030	rna-XM_022430679.1	0.222926833333333
LOC111099031	rna-XM_022430340.1	0.0442751666666667
LOC111099032	rna-XM_022430343.1	0.305045333333333
LOC111099033	rna-XM_022430347.1	2.5159015
LOC111099034	rna-XM_022430344.1	1.66506366666667
LOC111099035	rna-XM_022430345.1	3.83343966666667
LOC111099036	rna-XM_022430348.1	1.516171
LOC111099037	rna-XM_022430350.1	0.57503
LOC111099038	rna-XR_002633618.1	0.399900666666667
LOC111099039	rna-XM_022430351.1	0.365364166666667
LOC111099040	rna-XM_022430369.1	2.628399
LOC111099041	rna-XM_022430360.1	3.01446166666667
LOC111099042	rna-XR_002633619.1	0.757051166666667
LOC111099043	rna-XM_022430379.1	0.929942833333333
LOC111099044	rna-XM_022430382.1	0.0920501666666667
LOC111099045	rna-XM_022430383.1	14.395538
LOC111099046	rna-XM_022430424.1	0.0890408333333333
LOC111099047	rna-XM_022430386.1	2.49002283333333
LOC111099048	rna-XM_022430391.1	0.201862333333333
LOC111099049	rna-XM_022430403.1	0.2101505
LOC111099050	rna-XM_022430392.1	8.05552766666667
LOC111099051	rna-XR_002633621.1	9.67625733333333
LOC111099052	rna-XM_022430393.1	6.79903533333333
LOC111099053	rna-XM_022430394.1	54.629802
LOC111099054	rna-XM_022430396.1	0.731481833333333
LOC111099055	rna-XM_022430397.1	0.1998195
LOC111099056	rna-XM_022430398.1	1.58272816666667
LOC111099057	rna-XM_022430401.1	0.485394
LOC111099058	rna-XM_022430402.1	1.703832
LOC111099059	rna-XM_022430404.1	0.3421695
LOC111099060	rna-XM_022430407.1	4.0942135
LOC111099061	rna-XM_022430409.1	0.815162333333333
LOC111099062	rna-XM_022430410.1	5.32565083333333
LOC111099063	rna-XM_022430411.1	10.2268196666667
LOC111099064	rna-XM_022430414.1	2.9133835
LOC111099065	rna-XR_002633622.1	1.07183833333333
LOC111099066	rna-XM_022430413.1	0.3138335
LOC111099067	rna-XM_022430415.1	18.5936998333333
LOC111099068	rna-XM_022430416.1	1.56544833333333
LOC111099069	rna-XM_022430418.1	0.245075333333333
LOC111099070	rna-XM_022430419.1	0.8451195
LOC111099071	rna-XM_022430428.1	10.8733228333333
LOC111099072	rna-XM_022430425.1	0.229348666666667
LOC111099073	rna-XM_022430426.1	9.3674225
LOC111099074	rna-XM_022430427.1	0.0406495
LOC111099075	rna-XR_002633624.1	0.250473666666667
LOC111099076	rna-XM_022430429.1	0.254794
LOC111099077	rna-XM_022430431.1	0.543478833333333
LOC111099078	rna-XM_022430432.1	0.004349
LOC111099079	rna-XM_022430440.1	7.31506766666667
LOC111099080	rna-XM_022430437.1	0.330545166666667
LOC111099081	rna-XM_022430439.1	15.1068906666667
LOC111099082	rna-XM_022430441.1	0.679213
LOC111099083	rna-XM_022430442.1	0.576173666666667
LOC111099084	rna-XR_002633625.1	0.121419
LOC111099085	rna-XR_002633626.1	0
LOC111099086	rna-XR_002633627.1	0.1970935
LOC111099087	rna-XM_022430445.1	0.453286333333333
LOC111099088	rna-XM_022430450.1	7.4107495
LOC111099089	rna-XR_002633628.1	0
LOC111099090	rna-XM_022430449.1	3.08478283333333
LOC111099091	rna-XM_022430451.1	0.438493833333333
LOC111099092	rna-XM_022430452.1	44.9444936666667
LOC111099093	rna-XM_022430453.1	8.70774066666667
LOC111099094	rna-XR_002633629.1	0.4029415
LOC111099095	rna-XM_022430454.1	5.63350516666667
LOC111099096	rna-XM_022430456.1	0.133442
LOC111099097	rna-XM_022430457.1	4.09069083333333
LOC111099098	rna-XM_022430461.1	0.401291166666667
LOC111099099	rna-XM_022430462.1	0.367834
LOC111099100	gene-LOC111099100	0.230453
LOC111099101	rna-XM_022430465.1	5.1190575
LOC111099102	rna-XM_022430470.1	28.9088461666667
LOC111099103	rna-XM_022430468.1	7.44499766666667
LOC111099104	rna-XM_022430471.1	16.5378676666667
LOC111099105	rna-XM_022430472.1	6.4369895
LOC111099106	rna-XM_022430474.1	1.16851133333333
LOC111099107	rna-XM_022430477.1	0.564790333333333
LOC111099108	rna-XM_022430478.1	3.46693933333333
LOC111099109	rna-XM_022430482.1	10.7631211666667
LOC111099110	rna-XM_022430479.1	5.37449433333333
LOC111099111	rna-XM_022430480.1	0.641805166666667
LOC111099112	rna-XM_022430481.1	20.686717
LOC111099113	rna-XR_002633630.1	0.237823666666667
LOC111099114	rna-XR_002633631.1	15.4286876666667
LOC111099115	rna-XM_022430483.1	5.43390083333333
LOC111099116	rna-XM_022430484.1	0.157903833333333
LOC111099117	rna-XM_022430485.1	0.351977
LOC111099118	rna-XM_022430486.1	0.556224333333333
LOC111099119	rna-XM_022430487.1	1.293414
LOC111099120	rna-XM_022430488.1	7.1526025
LOC111099121	rna-XM_022430492.1	0.222855333333333
LOC111099122	rna-XM_022430490.1	12.5275098333333
LOC111099123	rna-XM_022430493.1	11.5244635
LOC111099124	rna-XM_022430494.1	0.546036666666667
LOC111099125	rna-XM_022430498.1	0.8443055
LOC111099126	rna-XM_022430500.1	0.0243366666666667
LOC111099127	rna-XM_022430503.1	1.32161433333333
LOC111099128	rna-XM_022430506.1	0.0331391666666667
LOC111099129	rna-XR_002633633.1	0.5402825
LOC111099130	rna-XM_022430507.1	0.186396833333333
LOC111099131	rna-XM_022430508.1	0.0191865
LOC111099132	rna-XR_002633634.1	0.883851166666667
LOC111099133	rna-XM_022430511.1	0.012377
LOC111099134	rna-XM_022430520.1	0.183758833333333
LOC111099135	rna-XM_022430519.1	0.777266
LOC111099136	rna-XR_002633642.1	2.12317266666667
LOC111099137	rna-XM_022430521.1	0.697981
LOC111099138	rna-XM_022430522.1	9.99815366666667
LOC111099139	rna-XM_022430524.1	0.284424833333333
LOC111099140	rna-XM_022430525.1	5.46524333333333
LOC111099141	rna-XM_022430526.1	0.340067
LOC111099142	rna-XR_002633643.1	0.316999
LOC111099143	rna-XM_022430529.1	170.129217166667
LOC111099144	rna-XR_002633644.1	0.0128308333333333
LOC111099145	rna-XR_002633645.1	0.448849166666667
LOC111099146	rna-XM_022430528.1	0.756942333333333
LOC111099147	rna-XM_022430531.1	4.62799833333333
LOC111099148	rna-XM_022430533.1	0.355354
LOC111099149	rna-XR_002633647.1	0.697846833333333
LOC111099150	rna-XM_022430534.1	1.22856466666667
LOC111099151	rna-XM_022430542.1	0.947433333333333
LOC111099152	rna-XM_022430540.1	1.03027616666667
LOC111099153	rna-XM_022430541.1	1.77879
LOC111099154	rna-XM_022430543.1	0.4245635
LOC111099155	rna-XM_022430544.1	1.10018366666667
LOC111099156	rna-XM_022430545.1	4.366272
LOC111099157	rna-XM_022430556.1	1.2990155
LOC111099158	rna-XM_022430565.1	0.928107
LOC111099159	rna-XR_002633648.1	0.214700333333333
LOC111099160	rna-XR_002633649.1	0.281756333333333
LOC111099161	rna-XM_022430566.1	0.212653333333333
LOC111099162	rna-XM_022430568.1	22.874393
LOC111099163	rna-XM_022430569.1	0.764353333333333
LOC111099164	rna-XM_022430570.1	0.257183166666667
LOC111099165	rna-XM_022430573.1	2.56495333333333
LOC111099166	rna-XM_022430571.1	0.407059333333333
LOC111099167	rna-XR_002633650.1	0.115621666666667
LOC111099168	rna-XM_022430572.1	41.4934168333333
LOC111099169	rna-XM_022430574.1	3.462627
LOC111099170	rna-XM_022430575.1	0.0804108333333333
LOC111099171	rna-XM_022430576.1	1.453236
LOC111099172	rna-XM_022430582.1	54.4087875
LOC111099173	rna-XM_022430583.1	0.0515875
LOC111099174	rna-XM_022430594.1	4.66695616666667
LOC111099175	rna-XM_022430584.1	5.23314133333333
LOC111099176	rna-XM_022430585.1	3.08581183333333
LOC111099177	rna-XR_002633652.1	0.00876
LOC111099178	rna-XM_022430587.1	0.9063705
LOC111099179	rna-XM_022430588.1	0.306817833333333
LOC111099180	rna-XM_022430589.1	5.33273866666667
LOC111099181	rna-XM_022430590.1	0.1091895
LOC111099182	rna-XM_022430592.1	43.266485
LOC111099183	rna-XM_022430593.1	6.9729425
LOC111099184	rna-XM_022430595.1	6.253012
LOC111099185	rna-XM_022430596.1	0.135618
LOC111099186	rna-XM_022430597.1	0.5092075
