LOC111099084 rna-XM_022430443.1
LOC111099099 rna-XM_022430464.1
LOC111099125 rna-XM_022430497.1
LOC111099129 rna-XR_002633632.1
LOC111099171 rna-XM_022430581.1
LOC111099194 rna-XM_022430607.1
LOC111099457 rna-XR_002633677.1
LOC111099496 rna-XM_022430797.1
LOC111099511 rna-XM_022430820.1
LOC111099549 rna-XM_022430862.1
LOC111099587 rna-XM_022430910.1
LOC111099600 rna-XM_022430936.1
LOC111099601 rna-XM_022430941.1
LOC111099602 rna-XM_022430943.1
LOC111099613 rna-XM_022430970.1
LOC111099642 rna-XM_022431008.1
LOC111099650 rna-XM_022431015.1
LOC111099673 rna-XM_022431059.1
LOC111099675 rna-XR_002633746.1
LOC111099688 rna-XM_022431084.1
LOC111099721 rna-XM_022431138.1
LOC111099734 rna-XM_022431157.1
LOC111099737 rna-XM_022431167.1
LOC111099747 rna-XM_022431181.1
LOC111099767 rna-XM_022431203.1
LOC111099781 rna-XM_022431239.1
LOC111099794 rna-XM_022431254.1
LOC111099808 rna-XM_022431283.1
LOC111099830 rna-XR_002633796.1
LOC111099886 rna-XM_022431376.1
LOC111099895 rna-XM_022431398.1
LOC111099905 rna-XM_022431413.1
LOC111099952 rna-XM_022431480.1
LOC111100020 rna-XM_022431586.1
LOC111100028 rna-XM_022431612.1
LOC111100030 rna-XR_002633868.1
LOC111100054 rna-XM_022431647.1
LOC111100081 rna-XM_022431689.1
LOC111100089 rna-XM_022431699.1
LOC111100100 rna-XM_022431727.1
LOC111100128 rna-XR_002633908.1
LOC111100157 rna-XR_002633925.1
LOC111100169 rna-XM_022431815.1
LOC111100207 rna-XM_022431875.1
LOC111100229 rna-XM_022431934.1
LOC111100237 rna-XM_022431908.1
LOC111100242 rna-XM_022431926.1
LOC111100246 rna-XM_022431931.1
LOC111100288 rna-XM_022431986.1
LOC111100305 rna-XM_022432034.1
LOC111100307 rna-XM_022432039.1
LOC111100347 rna-XM_022432111.1
LOC111100359 rna-XM_022432125.1
LOC111100379 rna-XM_022432165.1
LOC111100387 rna-XR_002634001.1
LOC111100390 rna-XM_022432193.1
LOC111100408 rna-XR_002634011.1
LOC111100421 rna-XR_002634015.1
LOC111100425 rna-XR_002634019.1
LOC111100426 rna-XR_002634021.1
LOC111100436 rna-XM_022432331.1
LOC111100440 rna-XM_022432336.1
LOC111100441 rna-XM_022432338.1
LOC111100471 rna-XM_022432394.1
LOC111100472 rna-XR_002634039.1
LOC111100485 rna-XM_022432424.1
LOC111100491 rna-XM_022432441.1
LOC111100506 rna-XM_022432456.1
LOC111100513 rna-XM_022432468.1
LOC111100523 rna-XM_022432487.1
LOC111100549 rna-XM_022432542.1
LOC111100582 rna-XM_022432618.1
LOC111100592 rna-XM_022432647.1
LOC111100613 rna-XM_022432672.1
LOC111100631 rna-XM_022432706.1
LOC111100637 rna-XM_022432723.1
LOC111100644 rna-XM_022432729.1
LOC111100684 rna-XM_022432779.1
LOC111100821 rna-XM_022432948.1
LOC111100840 rna-XR_002634113.1
LOC111100858 rna-XM_022432974.1
LOC111100872 rna-XM_022433007.1
LOC111100894 rna-XM_022433042.1
LOC111100899 rna-XM_022433068.1
LOC111100913 rna-XM_022433088.1
LOC111100915 rna-XM_022433091.1
LOC111100943 rna-XM_022433125.1
LOC111100994 rna-XM_022433199.1
LOC111101001 rna-XM_022433205.1
LOC111101035 rna-XM_022433267.1
LOC111101063 rna-XM_022433338.1
LOC111101076 rna-XM_022433358.1
LOC111101088 rna-XM_022433379.1
LOC111101090 rna-XM_022433381.1
LOC111101093 rna-XM_022433387.1
LOC111101102 rna-XM_022433409.1
LOC111101103 rna-XM_022433424.1
LOC111101105 rna-XM_022433413.1
LOC111101138 rna-XR_002634206.1
LOC111101149 rna-XM_022433491.1
LOC111101152 rna-XM_022433498.1
LOC111101163 rna-XM_022433514.1
LOC111101206 rna-XM_022433586.1
LOC111101250 rna-XM_022433693.1
LOC111101256 rna-XM_022433691.1
LOC111101261 rna-XR_002634222.1
LOC111101276 rna-XM_022433716.1
LOC111101296 rna-XM_022433739.1
LOC111101360 rna-XR_002634263.1
LOC111101387 rna-XM_022433859.1
LOC111101390 rna-XM_022433861.1
LOC111101404 rna-XM_022433877.1
LOC111101435 rna-XM_022433924.1
LOC111101466 rna-XM_022433969.1
LOC111101489 rna-XM_022434000.1
LOC111101503 rna-XR_002634299.1
LOC111101517 rna-XR_002634303.1
LOC111101526 rna-XR_002634310.1
LOC111101545 rna-XM_022434071.1
LOC111101603 rna-XM_022434187.1
LOC111101647 rna-XM_022434225.1
LOC111101658 rna-XM_022434244.1
LOC111101663 rna-XM_022434250.1
LOC111101689 rna-XM_022434271.1
LOC111101711 rna-XM_022434297.1
LOC111101719 rna-XM_022434306.1
LOC111101736 rna-XM_022434324.1
LOC111101754 rna-XM_022434355.1
LOC111101786 rna-XM_022434389.1
LOC111101810 rna-XM_022434415.1
LOC111101811 rna-XR_002634401.1
LOC111101852 rna-XM_022434477.1
LOC111101854 rna-XR_002634417.1
LOC111101871 rna-XR_002634426.1
LOC111101893 rna-XM_022434543.1
LOC111102233 rna-XM_022434889.1
LOC111102235 rna-XM_022434893.1
LOC111102283 rna-XM_022434962.1
LOC111102292 rna-XR_002634455.1
LOC111102295 rna-XM_022434976.1
LOC111102296 rna-XM_022434978.1
LOC111102299 rna-XM_022434984.1
LOC111102303 rna-XM_022434991.1
LOC111102304 rna-XM_022434992.1
LOC111102310 rna-XM_022434998.1
LOC111102338 rna-XM_022435006.1
LOC111102424 rna-XR_002634481.1
LOC111102435 rna-XM_022435179.1
LOC111102465 rna-XM_022435227.1
LOC111102477 rna-XM_022435234.1
LOC111102496 rna-XM_022435280.1
LOC111102500 rna-XM_022435286.1
LOC111102513 rna-XM_022435300.1
LOC111102521 rna-XM_022435311.1
LOC111102531 rna-XM_022435438.1
LOC111102567 rna-XM_022435362.1
LOC111102584 rna-XM_022435393.1
LOC111102610 rna-XM_022435427.1
LOC111102621 rna-XR_002634523.1
LOC111102625 rna-XR_002634524.1
LOC111102643 rna-XM_022435467.1
LOC111102648 rna-XM_022435473.1
LOC111102663 rna-XM_022435494.1
LOC111102677 rna-XM_022435516.1
LOC111102682 rna-XM_022435529.1
LOC111102719 rna-XM_022435581.1
LOC111102721 rna-XM_022435583.1
LOC111102737 rna-XM_022435602.1
LOC111102776 rna-XR_002634564.1
LOC111102828 rna-XM_022435720.1
LOC111102833 rna-XM_022435784.1
LOC111102841 rna-XM_022435746.1
LOC111102843 rna-XM_022435753.1
LOC111102850 rna-XM_022435764.1
LOC111102872 rna-XM_022435795.1
LOC111102888 rna-XM_022435819.1
LOC111102967 rna-XR_002634615.1
LOC111102981 rna-XM_022435942.1
LOC111102989 rna-XM_022435956.1
LOC111103003 rna-XM_022435979.1
LOC111103027 rna-XM_022436023.1
LOC111103032 rna-XM_022436040.1
LOC111103039 rna-XM_022436037.1
LOC111103044 rna-XM_022436043.1
LOC111103075 rna-XM_022436080.1
LOC111103079 rna-XM_022436087.1
LOC111103091 rna-XM_022436108.1
LOC111103092 rna-XM_022436110.1
LOC111103115 rna-XM_022436150.1
LOC111103144 rna-XM_022436190.1
LOC111103148 rna-XM_022436195.1
LOC111103176 rna-XR_002634665.1
LOC111103204 rna-XM_022436288.1
LOC111103205 rna-XR_002634670.1
LOC111103220 rna-XM_022436299.1
LOC111103223 rna-XM_022436304.1
LOC111103234 rna-XM_022436322.1
LOC111103235 rna-XM_022436323.1
LOC111103236 rna-XM_022436327.1
LOC111103253 rna-XM_022436381.1
LOC111103304 rna-XM_022436473.1
LOC111103316 rna-XM_022436501.1
LOC111103328 rna-XM_022436513.1
LOC111103344 rna-XR_002634712.1
LOC111103345 rna-XR_002634718.1
LOC111103375 rna-XM_022436610.1
LOC111103393 rna-XM_022436638.1
LOC111103400 rna-XM_022436668.1
LOC111103402 rna-XM_022436672.1
LOC111103417 rna-XM_022436695.1
LOC111103430 rna-XM_022436713.1
LOC111103431 rna-XR_002634753.1
LOC111103443 rna-XR_002634757.1
LOC111103452 rna-XM_022436738.1
LOC111103465 rna-XM_022436750.1
LOC111103484 rna-XM_022436793.1
LOC111103511 rna-XM_022436835.1
LOC111103587 rna-XM_022436948.1
LOC111103594 rna-XM_022436970.1
LOC111103596 rna-XM_022436974.1
LOC111103646 rna-XM_022437048.1
LOC111103658 rna-XM_022437073.1
LOC111103664 rna-XM_022437085.1
LOC111103676 rna-XM_022437099.1
LOC111103677 rna-XM_022437103.1
LOC111103696 rna-XM_022437132.1
LOC111103697 rna-XM_022437144.1
LOC111103744 rna-XM_022437186.1
LOC111103762 rna-XR_002634802.1
LOC111103783 rna-XM_022437249.1
LOC111103803 rna-XM_022437286.1
LOC111103809 rna-XM_022437299.1
LOC111103814 rna-XM_022437322.1
LOC111103821 rna-XM_022437340.1
LOC111103827 rna-XM_022437361.1
LOC111103829 rna-XM_022437364.1
LOC111103835 rna-XM_022437376.1
LOC111103840 rna-XM_022437381.1
LOC111103847 rna-XM_022437398.1
LOC111103848 rna-XM_022437402.1
LOC111103869 rna-XM_022437436.1
LOC111103877 rna-XM_022437452.1
LOC111103896 rna-XM_022437484.1
LOC111103943 rna-XM_022437586.1
LOC111103982 rna-XM_022437653.1
LOC111104098 rna-XM_022437846.1
LOC111104104 rna-XM_022437856.1
LOC111104108 rna-XM_022437862.1
LOC111104129 rna-XM_022437913.1
LOC111104156 rna-XM_022437956.1
LOC111104159 rna-XR_002634841.1
LOC111104161 rna-XM_022437966.1
LOC111104169 rna-XM_022437975.1
LOC111104186 rna-XM_022438013.1
LOC111104196 rna-XM_022438029.1
LOC111104208 rna-XM_022438044.1
LOC111104238 rna-XM_022438080.1
LOC111104243 rna-XR_002634858.1
LOC111104244 rna-XM_022438087.1
LOC111104252 rna-XM_022438097.1
LOC111104302 rna-XR_002634870.1
LOC111104342 rna-XM_022438236.1
LOC111104346 rna-XM_022438240.1
LOC111104349 rna-XM_022438248.1
