gene_name	t_name	Predom_exp
ATP6	gene-ATP6	1624.41369683333
COX1	gene-COX1	2420.26405716667
COX2	gene-COX2	3077.3059535
COX3	gene-COX3	1280.654135
CYTB	gene-CYTB	3929.06415383333
LOC111099029	rna-XM_022458270.1	12.9312403333333
LOC111099030	rna-XM_022430679.1	0.2309585
LOC111099031	rna-XM_022430340.1	0
LOC111099032	rna-XM_022430343.1	0.310936166666667
LOC111099033	rna-XM_022430347.1	1.441066
LOC111099034	rna-XM_022430344.1	2.53471733333333
LOC111099035	rna-XM_022430346.1	3.26468083333333
LOC111099036	rna-XM_022430348.1	1.18154283333333
LOC111099037	rna-XM_022430350.1	0.305896333333333
LOC111099038	rna-XR_002633618.1	0.3954445
LOC111099039	rna-XM_022430351.1	0.129931
LOC111099040	rna-XM_022430378.1	2.92796966666667
LOC111099041	rna-XM_022430360.1	1.74157616666667
LOC111099042	rna-XR_002633619.1	0.605659666666667
LOC111099043	rna-XM_022430379.1	0.516852166666667
LOC111099044	rna-XM_022430382.1	0.23745
LOC111099045	rna-XM_022430383.1	15.3772846666667
LOC111099046	rna-XM_022430424.1	0.0221931666666667
LOC111099047	rna-XM_022430390.1	3.24710366666667
LOC111099048	rna-XM_022430391.1	0.061709
LOC111099049	rna-XM_022430403.1	7.99844133333333
LOC111099050	rna-XM_022430392.1	7.74817933333333
LOC111099051	rna-XR_002633621.1	13.173647
LOC111099052	rna-XM_022430393.1	4.01416083333333
LOC111099053	rna-XM_022430394.1	56.9024576666667
LOC111099054	rna-XM_022430396.1	0.588307
LOC111099055	rna-XM_022430397.1	0.123262833333333
LOC111099056	rna-XM_022430398.1	2.53791216666667
LOC111099057	rna-XM_022430401.1	0.3498465
LOC111099058	rna-XM_022430402.1	1.47261116666667
LOC111099059	rna-XM_022430404.1	0.1994045
LOC111099060	rna-XM_022430407.1	7.91285533333333
LOC111099061	rna-XM_022430409.1	0.3540355
LOC111099062	rna-XM_022430410.1	6.220746
LOC111099063	rna-XM_022430411.1	12.0242958333333
LOC111099064	rna-XM_022430414.1	3.047739
LOC111099065	rna-XR_002633622.1	0.840690166666667
LOC111099066	rna-XM_022430413.1	0.250410333333333
LOC111099067	rna-XM_022430415.1	15.079279
LOC111099068	rna-XM_022430416.1	0.8291345
LOC111099069	rna-XM_022430418.1	0.472383833333333
LOC111099070	rna-XM_022430419.1	0.488318166666667
LOC111099071	rna-XM_022430428.1	10.2810243333333
LOC111099072	rna-XM_022430425.1	0.759097333333333
LOC111099073	rna-XM_022430426.1	11.2517046666667
LOC111099074	rna-XM_022430427.1	0.0681465
LOC111099075	rna-XR_002633624.1	0.02151
LOC111099076	rna-XM_022430429.1	0.315008
LOC111099077	rna-XM_022430431.1	0.566686333333333
LOC111099078	rna-XM_022430432.1	0.00176916666666667
LOC111099079	rna-XM_022430440.1	6.62585316666667
LOC111099080	rna-XM_022430437.1	0.120222
LOC111099081	rna-XM_022430439.1	16.5632588333333
LOC111099082	rna-XM_022430441.1	0.799967833333333
LOC111099083	rna-XM_022430442.1	0.471965333333333
LOC111099084	rna-XM_022430443.1	0
LOC111099085	rna-XR_002633626.1	0.028349
LOC111099086	rna-XR_002633627.1	0
LOC111099087	rna-XM_022430445.1	0.0128465
LOC111099088	rna-XM_022430450.1	3.865605
LOC111099089	rna-XR_002633628.1	0
LOC111099090	rna-XM_022430449.1	0.339059
LOC111099091	rna-XM_022430451.1	0.419272833333333
LOC111099092	rna-XM_022430452.1	68.0745915
LOC111099093	rna-XM_022430453.1	5.3808715
LOC111099094	rna-XR_002633629.1	0.0889336666666667
LOC111099095	rna-XM_022430454.1	5.27224883333333
LOC111099096	rna-XM_022430456.1	0.0929985
LOC111099097	rna-XM_022430457.1	4.05751233333333
LOC111099098	rna-XM_022430461.1	0.229205
LOC111099099	rna-XM_022430462.1	0.238608833333333
LOC111099100	gene-LOC111099100	0.324202
LOC111099101	rna-XM_022430466.1	3.810617
LOC111099102	rna-XM_022430470.1	30.6979443333333
