LOC111099084 rna-XR_002633625.1
LOC111099099 rna-XM_022430462.1
LOC111099125 rna-XM_022430498.1
LOC111099129 rna-XR_002633633.1
LOC111099171 rna-XM_022430577.1
LOC111099194 rna-XM_022430605.1
LOC111099457 rna-XR_002633680.1
LOC111099496 rna-XM_022430796.1
LOC111099511 rna-XM_022430821.1
LOC111099549 rna-XM_022430864.1
LOC111099587 rna-XM_022430915.1
LOC111099600 rna-XM_022430937.1
LOC111099601 rna-XM_022430939.1
LOC111099602 rna-XM_022430942.1
LOC111099613 rna-XM_022430971.1
LOC111099642 rna-XM_022431007.1
LOC111099650 rna-XM_022431016.1
LOC111099673 rna-XR_002633744.1
LOC111099675 rna-XR_002633745.1
LOC111099688 rna-XM_022431083.1
LOC111099721 rna-XM_022431136.1
LOC111099734 rna-XM_022431155.1
LOC111099737 rna-XM_022431163.1
LOC111099747 rna-XM_022431201.1
LOC111099767 rna-XM_022431207.1
LOC111099781 rna-XM_022431238.1
LOC111099794 rna-XM_022431257.1
LOC111099808 rna-XM_022431276.1
LOC111099830 rna-XM_022431295.1
LOC111099886 rna-XM_022431373.1
LOC111099895 rna-XM_022431396.1
LOC111099905 rna-XR_002633812.1
LOC111099952 rna-XM_022431481.1
LOC111100020 rna-XM_022431588.1
LOC111100028 rna-XM_022431611.1
LOC111100030 rna-XR_002633861.1
LOC111100054 rna-XM_022431646.1
LOC111100081 rna-XM_022431690.1
LOC111100089 rna-XM_022431698.1
LOC111100100 rna-XM_022431717.1
LOC111100128 rna-XR_002633910.1
LOC111100157 rna-XR_002633923.1
LOC111100169 rna-XM_022431817.1
LOC111100207 rna-XM_022431876.1
LOC111100229 rna-XM_022432017.1
LOC111100237 rna-XM_022431909.1
LOC111100242 rna-XM_022431927.1
LOC111100246 rna-XM_022431932.1
LOC111100288 rna-XM_022431985.1
LOC111100305 rna-XM_022432033.1
LOC111100307 rna-XM_022432038.1
LOC111100347 rna-XM_022432114.1
LOC111100359 rna-XM_022432127.1
LOC111100379 rna-XM_022432166.1
LOC111100387 rna-XM_022432183.1
LOC111100390 rna-XM_022432195.1
LOC111100408 rna-XM_022432269.1
LOC111100421 rna-XM_022432301.1
LOC111100425 rna-XR_002634017.1
LOC111100426 rna-XM_022432311.1
LOC111100436 rna-XM_022432332.1
LOC111100440 rna-XM_022432335.1
LOC111100441 rna-XM_022432342.1
LOC111100471 rna-XM_022432392.1
LOC111100472 rna-XR_002634040.1
LOC111100485 rna-XM_022432428.1
LOC111100491 rna-XM_022432439.1
LOC111100506 rna-XM_022432457.1
LOC111100513 rna-XM_022432467.1
LOC111100523 rna-XM_022432485.1
LOC111100549 rna-XM_022432539.1
LOC111100582 rna-XM_022432621.1
LOC111100592 rna-XM_022432646.1
LOC111100613 rna-XM_022432673.1
LOC111100631 rna-XM_022432707.1
LOC111100637 rna-XM_022432731.1
LOC111100644 rna-XM_022432730.1
LOC111100684 rna-XM_022432772.1
LOC111100821 rna-XM_022432949.1
LOC111100840 rna-XR_002634112.1
LOC111100858 rna-XM_022432973.1
LOC111100872 rna-XM_022433004.1
LOC111100894 rna-XM_022433043.1
LOC111100899 rna-XM_022433070.1
LOC111100913 rna-XM_022433090.1
LOC111100915 rna-XM_022433092.1
LOC111100943 rna-XM_022433126.1
LOC111100994 rna-XM_022433200.1
LOC111101001 rna-XR_002634162.1
LOC111101035 rna-XM_022433268.1
LOC111101063 rna-XM_022433337.1
LOC111101076 rna-XM_022433356.1
LOC111101088 rna-XM_022433378.1
LOC111101090 rna-XM_022433380.1
LOC111101093 rna-XM_022433388.1
LOC111101102 rna-XM_022433406.1
LOC111101103 rna-XM_022433440.1
