"sample"	"12M"	"13M"	"16F"	"19F"	"22F"	"23M"	"29F"	"31M"	"35F"	"36F"	"39F"	"3F"	"41F"	"44F"	"48M"	"50F"	"52F"	"53F"	"54F"	"59M"	"64M"	"6M"	"76F"	"77F"	"7M"	"9M"
"12M"	0	23304.0069449018	30773.3548066289	29629.7022439496	30346.249437145	23098.5830496124	31184.7314314988	23129.978377816	29283.6227675114	29251.4098948392	29579.9714132613	31919.2256764399	32063.8313572642	31068.0409488934	22942.8760393046	30802.1750112176	32363.6733837327	29715.84843474	30263.1784448872	23373.4562991821	23109.804844686	22788.2103589562	28416.2384891171	29508.2720313387	23029.4325530648	22958.6680752021
"13M"	23304.0069449018	0	31014.1062243057	29879.9250999387	30587.5147576759	23344.6451292317	30795.7161083196	23356.3511540426	29464.2111257493	29474.2084507488	29236.6925514253	31853.2780018157	32161.1303954423	31178.5736023652	22983.3166305403	30925.8967039296	32560.6681982318	29916.9701964374	30218.7542528186	22750.4306101376	23470.1539102454	22821.7073551669	28133.3505453335	29423.3860224598	23402.9729931548	23244.6873020802
"16F"	30773.3548066289	31014.1062243057	0	21908.454440377	22130.6468517997	31511.8279195684	21954.895789728	31138.5884927377	22231.2755930155	22292.7054992562	22057.2948773864	22432.7610143021	22808.3049830363	21399.9530198104	30990.0972369433	22163.8369573453	22081.4397914588	22096.1829200641	21707.2614719206	31684.2837629249	31088.75807745	31009.8075583255	22821.7107290929	22009.2152216749	31265.4548777594	31048.0203963478
"19F"	29629.7022439496	29879.9250999387	21908.454440377	0	21383.2599625194	30272.6471171954	21751.8098576562	30048.8602698426	21656.4878807056	21511.4893804041	21624.7299481179	21911.3992940498	22031.128652626	21324.2651074721	29744.861443765	21635.1996885776	22468.5436476405	21609.504114758	21245.886958832	30506.5450325931	29805.0761098269	29855.3285791351	21997.4939452564	21394.5275320221	30162.0472147577	29908.6251392502
"22F"	30346.249437145	30587.5147576759	22130.6468517997	21383.2599625194	0	31126.6897817265	21748.0643101388	30843.1391487603	21939.8977787648	21806.086064847	21906.6390679927	22252.8676864535	22128.8210324109	21368.2235418379	30423.6527843519	21877.2473381328	22479.7116528522	21920.3877265594	21462.5827662726	31287.2354320411	30607.0913772133	30526.697271791	22735.0509911552	21836.5100792217	30724.1095113882	30620.9825535607
"23M"	23098.5830496124	23344.6451292317	31511.8279195684	30272.6471171954	31126.6897817265	0	31986.1819811927	23189.736774424	29955.6992077524	29935.4886535779	30199.0708758248	32447.184798051	32830.2785309194	31540.1232262107	22483.5805310258	31438.8088317763	33105.2630944886	30529.0134420106	30907.6079986862	21719.6748834236	23134.8819719255	23003.4050665505	28182.865153358	29941.7073754878	23068.023552064	23214.3129340691
"29F"	31184.7314314988	30795.7161083196	21954.895789728	21751.8098576562	21748.0643101388	31986.1819811927	0	31192.6982534051	22065.7548429648	22170.4130346843	21423.257374485	21904.4637867712	22217.9111372129	20634.2860496417	31359.25614237	21873.6697098681	22489.1031097789	21910.004399407	21081.232327706	31365.016048968	31270.0443844602	31223.0871586813	22293.717519544	21642.0450252709	31741.1264598235	31179.9597375483
"31M"	23129.978377816	23356.3511540426	31138.5884927377	30048.8602698426	30843.1391487603	23189.736774424	31192.6982534051	0	29655.7495548657	29648.0603340309	29902.2167185185	31683.6644248781	32443.4455350664	31412.0984355573	23310.7982771203	31145.2913807054	32763.0288459725	30078.2964657813	30618.4724314309	23638.9617533385	23368.5398768608	23359.3245760307	28600.9155602903	29756.0342235508	23465.135488583	22945.0816050159
"35F"	29283.6227675114	29464.2111257493	22231.2755930155	21656.4878807056	21939.8977787648	29955.6992077524	22065.7548429648	29655.7495548657	0	22013.4757742773	21863.40544863	22476.4448516719	23001.0029751502	21806.9438197225	29461.3334650699	22206.5657594841	22885.7363942489	21911.3517711319	21600.1774063523	30049.3367129015	29515.7269863604	29538.6730984923	22279.7080615754	21759.718758873	29702.5930935341	29555.8159082701
"36F"	29251.4098948392	29474.2084507488	22292.7054992562	21511.4893804041	21806.086064847	29935.4886535779	22170.4130346843	29648.0603340309	22013.4757742773	0	21946.6197669937	22265.7200974912	22625.5637495662	21727.2428173562	29237.5421500894	22039.7514142215	22929.1509671772	21903.1733636234	21442.5379451064	30070.8708615226	29439.1949563177	29424.1535185877	22178.5938258694	21715.8770441579	29743.4568298964	29228.7042678161
"39F"	29579.9714132613	29236.6925514253	22057.2948773864	21624.7299481179	21906.6390679927	30199.0708758248	21423.257374485	29902.2167185185	21863.40544863	21946.6197669937	0	22223.9798408011	22783.8048854982	21444.1762697713	29546.2583424199	22094.855027849	22604.1435003875	21895.4883851907	21312.1002969521	30074.6026204067	29731.6024375806	29381.8108454229	21720.0625030525	21211.6396373197	30021.3031625502	29783.4814127686
"3F"	31919.2256764399	31853.2780018157	22432.7610143021	21911.3992940498	22252.8676864535	32447.184798051	21904.4637867712	31683.6644248781	22476.4448516719	22265.7200974912	22223.9798408011	0	22331.4394930828	21401.9549807164	31986.4221675317	22021.1069142223	22616.158577722	22009.5092651673	21646.9293050742	32655.9557905411	31980.3962608054	32092.1206887591	22850.5969448848	22177.6939743236	32418.3156695706	31724.8856976534
"41F"	32063.8313572642	32161.1303954423	22808.3049830363	22031.128652626	22128.8210324109	32830.2785309194	22217.9111372129	32443.4455350664	23001.0029751502	22625.5637495662	22783.8048854982	22331.4394930828	0	21778.7088842066	32225.9658097752	21921.0232111382	23005.9667008064	22388.4774572733	22041.8514699984	33083.7163555327	32138.9349094534	32304.5837754653	23668.8983888993	22708.9545174674	32604.44587066	32318.5685366378
"44F"	31068.0409488934	31178.5736023652	21399.9530198104	21324.2651074721	21368.2235418379	31540.1232262107	20634.2860496417	31412.0984355573	21806.9438197225	21727.2428173562	21444.1762697713	21401.9549807164	21778.7088842066	0	31055.078950766	21422.9365288058	21831.3287463903	21503.4871319471	20586.0299388655	31343.9511681445	31173.581404493	31281.9356056049	21542.0530325037	21159.0793772409	31613.3183886751	31117.509442616
"48M"	22942.8760393046	22983.3166305403	30990.0972369433	29744.861443765	30423.6527843519	22483.5805310258	31359.25614237	23310.7982771203	29461.3334650699	29237.5421500894	29546.2583424199	31986.4221675317	32225.9658097752	31055.078950766	0	30972.8794336194	32573.7140854165	29991.5806572692	30095.8833532293	22089.6364078563	22999.2753393148	22890.1607245155	28105.0549392803	29112.2222390727	22890.7913133314	22928.4036725903
"50F"	30802.1750112176	30925.8967039296	22163.8369573453	21635.1996885776	21877.2473381328	31438.8088317763	21873.6697098681	31145.2913807054	22206.5657594841	22039.7514142215	22094.855027849	22021.1069142223	21921.0232111382	21422.9365288058	30972.8794336194	0	22538.1263669867	21826.5876107906	21371.094496747	31665.5863760154	30930.6258761724	31055.1890423384	22620.4474251791	22171.9621267915	31317.8682119421	31126.2532486864
"52F"	32363.6733837327	32560.6681982318	22081.4397914588	22468.5436476405	22479.7116528522	33105.2630944886	22489.1031097789	32763.0288459725	22885.7363942489	22929.1509671772	22604.1435003875	22616.158577722	23005.9667008064	21831.3287463903	32573.7140854165	22538.1263669867	0	22619.2422236106	22269.994406834	33291.6803262015	32613.6760801564	32578.7425481951	23697.2786469477	22652.0524927857	32871.6533433268	32641.7415959601
"53F"	29715.84843474	29916.9701964374	22096.1829200641	21609.504114758	21920.3877265594	30529.0134420106	21910.004399407	30078.2964657813	21911.3517711319	21903.1733636234	21895.4883851907	22009.5092651673	22388.4774572733	21503.4871319471	29991.5806572692	21826.5876107906	22619.2422236106	0	20850.1330101222	30789.8829914271	29919.8245789123	30063.8368022445	22370.4852331834	21719.5350918103	30334.1346006121	30154.4886670943
"54F"	30263.1784448872	30218.7542528186	21707.2614719206	21245.886958832	21462.5827662726	30907.6079986862	21081.232327706	30618.4724314309	21600.1774063523	21442.5379451064	21312.1002969521	21646.9293050742	22041.8514699984	20586.0299388655	30095.8833532293	21371.094496747	22269.994406834	20850.1330101222	0	30695.492712427	30366.8092040331	30475.4875659731	21760.9357131642	20823.2299659241	30679.3609974829	30400.0398854086
