"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",11,62,205,33,5,5,5.63636363636364,18.6363636363636,3,0.454545454545455,0.454545454545455
"2","LOC111099033",18,24,21,21,9,7,1.33333333333333,1.16666666666667,1.16666666666667,0.5,0.388888888888889
"3","LOC111099034",20,31,48,170,NA,NA,1.55,2.4,8.5,NA,NA
"4","LOC111099035",25,42,33,20,76,164,1.68,1.32,0.8,3.04,6.56
"5","LOC111099036",12,17,35,25,149,73,1.41666666666667,2.91666666666667,2.08333333333333,12.4166666666667,6.08333333333333
"6","LOC111099040",24.4,19.24,17.28,11.56,5,6.24,0.788524590163934,0.708196721311475,0.473770491803279,0.204918032786885,0.255737704918033
"7","LOC111099041",11,14,24.5,53,21,18,1.27272727272727,2.22727272727273,4.81818181818182,1.90909090909091,1.63636363636364
"8","LOC111099043",9,9,4,1,6,10,1,0.444444444444444,0.111111111111111,0.666666666666667,1.11111111111111
"9","LOC111099044",11,9,13,NA,NA,NA,0.818181818181818,1.18181818181818,NA,NA,NA
"10","LOC111099045",346,408,779,856,485,738,1.17919075144509,2.2514450867052,2.47398843930636,1.40173410404624,2.13294797687861
"11","LOC111099047",27.7142857142857,77.2857142857143,183.571428571429,88.7142857142857,88,88.1428571428571,2.78865979381443,6.62371134020619,3.20103092783505,3.17525773195876,3.18041237113402
"12","LOC111099048",7,4,4,5,NA,NA,0.571428571428571,0.571428571428571,0.714285714285714,NA,NA
"13","LOC111099050",37,40,38,41,57,47,1.08108108108108,1.02702702702703,1.10810810810811,1.54054054054054,1.27027027027027
"14","LOC111099051",324,255,NA,NA,NA,NA,0.787037037037037,NA,NA,NA,NA
"15","LOC111099052",105,83,82,92,79,NA,0.79047619047619,0.780952380952381,0.876190476190476,0.752380952380952,NA
"16","LOC111099053",172,286,315,473,281,415,1.66279069767442,1.83139534883721,2.75,1.63372093023256,2.41279069767442
"17","LOC111099056",13.6666666666667,66,45,25,22,29,4.82926829268293,3.29268292682927,1.82926829268293,1.60975609756098,2.1219512195122
"18","LOC111099060",12,19,35,61,50,81,1.58333333333333,2.91666666666667,5.08333333333333,4.16666666666667,6.75
"19","LOC111099062",52,66,134,101,28,37,1.26923076923077,2.57692307692308,1.94230769230769,0.538461538461538,0.711538461538462
"20","LOC111099063",57,134,127,136,76,106,2.35087719298246,2.2280701754386,2.3859649122807,1.33333333333333,1.85964912280702
"21","LOC111099064",2,5,12,10,12,16,2.5,6,5,6,8
"22","LOC111099065",10,18,59,52,24,78,1.8,5.9,5.2,2.4,7.8
"23","LOC111099067",79,113,103,143,172,70,1.43037974683544,1.30379746835443,1.81012658227848,2.17721518987342,0.886075949367089
"24","LOC111099068",3,9,5,3,7.5,NA,3,1.66666666666667,1,2.5,NA
"25","LOC111099069",8,19,14,10,19,23,2.375,1.75,1.25,2.375,2.875
"26","LOC111099070",0,6,3,2,9,16,NA,NA,NA,NA,NA
"27","LOC111099071",74,202,137,221,NA,NA,2.72972972972973,1.85135135135135,2.98648648648649,NA,NA
"28","LOC111099073",49,82,139,65,56,22,1.6734693877551,2.83673469387755,1.3265306122449,1.14285714285714,0.448979591836735
"29","LOC111099076",7,6.5,3,3,5,NA,0.928571428571429,0.428571428571429,0.428571428571429,0.714285714285714,NA
"30","LOC111099079",24,76,128,32,29,37,3.16666666666667,5.33333333333333,1.33333333333333,1.20833333333333,1.54166666666667
"31","LOC111099080",3,7,3,3,3,5,2.33333333333333,1,1,1,1.66666666666667
"32","LOC111099081",125,255,297.5,456,NA,NA,2.04,2.38,3.648,NA,NA
"33","LOC111099082",235,85,44,NA,NA,NA,0.361702127659574,0.187234042553191,NA,NA,NA
"34","LOC111099083",135,39,102,NA,NA,NA,0.288888888888889,0.755555555555556,NA,NA,NA
"35","LOC111099088",7,33.5,23.5,9,NA,NA,4.78571428571429,3.35714285714286,1.28571428571429,NA,NA
"36","LOC111099091",3,5,6,9,7,11,1.66666666666667,2,3,2.33333333333333,3.66666666666667
"37","LOC111099092",978,1160,1698,1146,2019,1434,1.18609406952965,1.7361963190184,1.17177914110429,2.06441717791411,1.46625766871166
"38","LOC111099093",27,72,44,34,50,47,2.66666666666667,1.62962962962963,1.25925925925926,1.85185185185185,1.74074074074074
"39","LOC111099095",40,51,67,39,136,118,1.275,1.675,0.975,3.4,2.95
"40","LOC111099097",13.3333333333333,68,46,25,12,13,5.1,3.45,1.875,0.9,0.975
"41","LOC111099098",12,4,NA,NA,NA,NA,0.333333333333333,NA,NA,NA,NA
"42","LOC111099101",155,79,82,68,42,42,0.509677419354839,0.529032258064516,0.438709677419355,0.270967741935484,0.270967741935484
"43","LOC111099102",1016,898,589,1137,1551,314,0.883858267716535,0.579724409448819,1.11909448818898,1.52657480314961,0.309055118110236
"44","LOC111099104",122,772,118,108,57,126,6.32786885245902,0.967213114754098,0.885245901639344,0.467213114754098,1.0327868852459
"45","LOC111099105",46,67,72,45,78,170,1.45652173913043,1.56521739130435,0.978260869565217,1.69565217391304,3.69565217391304
"46","LOC111099106",6,18.5,42.5,56,NA,NA,3.08333333333333,7.08333333333333,9.33333333333333,NA,NA
"47","LOC111099108",61,115,NA,NA,NA,NA,1.88524590163934,NA,NA,NA,NA
"48","LOC111099109",28,57,55,80,NA,NA,2.03571428571429,1.96428571428571,2.85714285714286,NA,NA
"49","LOC111099110",136,137,152,NA,NA,NA,1.00735294117647,1.11764705882353,NA,NA,NA
"50","LOC111099111",10,3,16,NA,NA,NA,0.3,1.6,NA,NA,NA
"51","LOC111099112",46,1241,159,208,204,198,26.9782608695652,3.45652173913043,4.52173913043478,4.43478260869565,4.30434782608696
"52","LOC111099114",5,379,NA,NA,NA,NA,75.8,NA,NA,NA,NA
"53","LOC111099115",101,173,105,58,71,77,1.71287128712871,1.03960396039604,0.574257425742574,0.702970297029703,0.762376237623762
"54","LOC111099118",5,5,7,7,3,NA,1,1.4,1.4,0.6,NA
"55","LOC111099119",7,3,9,NA,NA,NA,0.428571428571429,1.28571428571429,NA,NA,NA
"56","LOC111099120",264,86,87,NA,NA,NA,0.325757575757576,0.329545454545455,NA,NA,NA
"57","LOC111099122",614,511,398,308,426,274,0.832247557003257,0.648208469055375,0.501628664495114,0.693811074918567,0.446254071661238
"58","LOC111099123",35,290,79,134,276,232,8.28571428571429,2.25714285714286,3.82857142857143,7.88571428571429,6.62857142857143
"59","LOC111099125",12.8,13,11,9,12,20,1.015625,0.859375,0.703125,0.9375,1.5625
"60","LOC111099127",5.33333333333333,10.3333333333333,16,NA,NA,NA,1.9375,3,NA,NA,NA
"61","LOC111099131",32,32,32,32,32,30,1,1,1,1,0.9375
"62","LOC111099132",49,40,32,NA,NA,NA,0.816326530612245,0.653061224489796,NA,NA,NA
"63","LOC111099135",65,34.5,34.75,38,29.6666666666667,NA,0.530769230769231,0.534615384615385,0.584615384615385,0.456410256410256,NA
"64","LOC111099136",73,136,63,106,NA,NA,1.86301369863014,0.863013698630137,1.45205479452055,NA,NA
"65","LOC111099138",39,48,64,203,NA,NA,1.23076923076923,1.64102564102564,5.20512820512821,NA,NA
"66","LOC111099140",18,17,12,14,10,9,0.944444444444444,0.666666666666667,0.777777777777778,0.555555555555556,0.5
"67","LOC111099143",4217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","LOC111099145",0,14,6.66666666666667,14,6,10,NA,NA,NA,NA,NA
"69","LOC111099147",8,61.5,90,102,67,101,7.6875,11.25,12.75,8.375,12.625
"70","LOC111099151",23,4,3,3,9,5,0.173913043478261,0.130434782608696,0.130434782608696,0.391304347826087,0.217391304347826
"71","LOC111099152",11.5,16,12.5,18,29.5,21,1.39130434782609,1.08695652173913,1.56521739130435,2.56521739130435,1.82608695652174
"72","LOC111099153",14,44,13,8,8,4,3.14285714285714,0.928571428571429,0.571428571428571,0.571428571428571,0.285714285714286
"73","LOC111099155",4,9,4,6,4,2,2.25,1,1.5,1,0.5
"74","LOC111099156",25,36,50,71,29,41,1.44,2,2.84,1.16,1.64
"75","LOC111099157",45.8333333333333,39.9444444444444,53.5,42.9444444444444,33.7222222222222,42,0.871515151515151,1.16727272727273,0.936969696969697,0.735757575757576,0.916363636363636
"76","LOC111099158",4,1,9,NA,NA,NA,0.25,2.25,NA,NA,NA
"77","LOC111099161",89,89,89,89,89,89,1,1,1,1,1
"78","LOC111099162",251,376,330,415,236,NA,1.49800796812749,1.31474103585657,1.65338645418327,0.940239043824701,NA
"79","LOC111099168",178,203,246,200,331,309,1.14044943820225,1.38202247191011,1.12359550561798,1.85955056179775,1.73595505617978
"80","LOC111099169",39,71,105,120,75,82,1.82051282051282,2.69230769230769,3.07692307692308,1.92307692307692,2.1025641025641
"81","LOC111099171",5.8,32,NA,NA,NA,NA,5.51724137931035,NA,NA,NA,NA
"82","LOC111099172",14,17,19,14,20,15,1.21428571428571,1.35714285714286,1,1.42857142857143,1.07142857142857
"83","LOC111099174",11,31,59,74,34,36,2.81818181818182,5.36363636363636,6.72727272727273,3.09090909090909,3.27272727272727
"84","LOC111099175",107,39,49,60,51,59,0.364485981308411,0.457943925233645,0.560747663551402,0.476635514018692,0.551401869158878
"85","LOC111099176",3,1,3,9,3,1,0.333333333333333,1,3,1,0.333333333333333
"86","LOC111099180",28,20,18,21,30,28,0.714285714285714,0.642857142857143,0.75,1.07142857142857,1
"87","LOC111099182",212,216,148,287,196,298,1.0188679245283,0.69811320754717,1.35377358490566,0.924528301886792,1.40566037735849
"88","LOC111099183",75,99,107,136,541,NA,1.32,1.42666666666667,1.81333333333333,7.21333333333333,NA
"89","LOC111099184",45,56,80,NA,NA,NA,1.24444444444444,1.77777777777778,NA,NA,NA
"90","LOC111099186",3,2,2,4,10,4,0.666666666666667,0.666666666666667,1.33333333333333,3.33333333333333,1.33333333333333
"91","LOC111099187",5,5,5,NA,NA,NA,1,1,NA,NA,NA
"92","LOC111099189",9,25,12,NA,NA,NA,2.77777777777778,1.33333333333333,NA,NA,NA
"93","LOC111099192",19,27,150,26,11,4,1.42105263157895,7.89473684210526,1.36842105263158,0.578947368421053,0.210526315789474
"94","LOC111099193",22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","LOC111099194",25,22.2,23.1,29.35,73.25,35.75,0.888,0.924,1.174,2.93,1.43
"96","LOC111099196",70.1666666666667,81.6666666666667,142.166666666667,187,143.333333333333,131.333333333333,1.16389548693587,2.02612826603325,2.66508313539192,2.04275534441805,1.87173396674584
"97","LOC111099197",2,15,27,8,5,4,7.5,13.5,4,2.5,2
"98","LOC111099200",51,49,29,49,43,31,0.96078431372549,0.568627450980392,0.96078431372549,0.843137254901961,0.607843137254902
"99","LOC111099201",34,155,NA,NA,NA,NA,4.55882352941176,NA,NA,NA,NA
"100","LOC111099202",44,30,13,20,19,170,0.681818181818182,0.295454545454545,0.454545454545455,0.431818181818182,3.86363636363636
"101","LOC111099203",160,117,68,95,104,59,0.73125,0.425,0.59375,0.65,0.36875
"102","LOC111099206",11,12,12.75,33.25,38.75,36.25,1.09090909090909,1.15909090909091,3.02272727272727,3.52272727272727,3.29545454545455
"103","LOC111099209",32,66,49,233,NA,NA,2.0625,1.53125,7.28125,NA,NA
"104","LOC111099210",3,13,9,4,7,12,4.33333333333333,3,1.33333333333333,2.33333333333333,4
"105","LOC111099211",72,137,71,277,155,109,1.90277777777778,0.986111111111111,3.84722222222222,2.15277777777778,1.51388888888889
"106","LOC111099212",14,43,36,26,28,62,3.07142857142857,2.57142857142857,1.85714285714286,2,4.42857142857143
"107","LOC111099214",27,44,30,37,22,61,1.62962962962963,1.11111111111111,1.37037037037037,0.814814814814815,2.25925925925926
"108","LOC111099215",69,52,136,125,76,NA,0.753623188405797,1.97101449275362,1.81159420289855,1.10144927536232,NA
"109","LOC111099216",60,49,25,34,35,36,0.816666666666667,0.416666666666667,0.566666666666667,0.583333333333333,0.6
"110","LOC111099217",5,5,6,9,6,4,1,1.2,1.8,1.2,0.8
"111","LOC111099218",121,139,68,118,270,481,1.14876033057851,0.56198347107438,0.975206611570248,2.23140495867769,3.97520661157025
"112","LOC111099219",58,68,78,87,105,111,1.17241379310345,1.3448275862069,1.5,1.81034482758621,1.91379310344828
"113","LOC111099220",80,56,69,73,43,47,0.7,0.8625,0.9125,0.5375,0.5875
"114","LOC111099221",48,62,64,65,44,47,1.29166666666667,1.33333333333333,1.35416666666667,0.916666666666667,0.979166666666667
"115","LOC111099222",24,32,43.6666666666667,35.3333333333333,26.6666666666667,25.3333333333333,1.33333333333333,1.81944444444444,1.47222222222222,1.11111111111111,1.05555555555556
"116","LOC111099225",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","LOC111099226",36,67,63,26,16,8,1.86111111111111,1.75,0.722222222222222,0.444444444444444,0.222222222222222
"118","LOC111099227",19.3333333333333,62.3333333333333,73,133.333333333333,150.666666666667,120,3.22413793103448,3.77586206896552,6.89655172413793,7.79310344827586,6.20689655172414
"119","LOC111099300",37.5,88,144,50,26,24,2.34666666666667,3.84,1.33333333333333,0.693333333333333,0.64
