"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",23,102,469,318,398,479,1.48947859735512,3.01510855251713,2.62655716685103,2.85095778935529,3.03620638148177
"2","LOC111099033",64,75,20,27,7,10,0.158605030176639,-1.16315080980568,-0.863046217355343,-2.21297293430436,-1.85629799036563
"3","LOC111099034",29,32,37,91,NA,NA,0.0984400728132525,0.243622082657751,1.14356367653038,NA,NA
"4","LOC111099035",48.5,62,32,21,40,89,0.245570587101654,-0.415827895143711,-0.837041360220015,-0.192684343829501,0.607072571788702
"5","LOC111099036",11.5,11.5,39,24,117,74,0,1.22121461076044,0.735706794978741,2.31982689942855,1.86171805783497
"6","LOC111099040",132.76,77.12,48.36,43.4,26.12,28.76,-0.543180336549484,-1.00986996110518,-1.11808354574541,-1.62584168244354,-1.52955745399893
"7","LOC111099041",7,28,34.5,65,18,28,1.38629436111989,1.595049174982,2.22847712084032,0.944461608840852,1.38629436111989
"8","LOC111099043",12,41.5,23.5,13,29.5,50,1.24078677744865,0.672093771362113,0.0800427076735364,0.899483613557774,1.42711635564015
"9","LOC111099044",11,26,10,NA,NA,NA,0.860201265223112,-0.0953101798043249,NA,NA,NA
"10","LOC111099045",60,60,132,182,125,149,0,0.78845736036427,1.10966212485469,0.733969175080201,0.909601743723358
"11","LOC111099047",26.7142857142857,68,167.142857142857,75.4285714285714,76,86.1428571428571,0.934309237376833,1.83365041093722,1.03798766685167,1.04553487248706,1.1708085798726
"12","LOC111099048",10,11,7,6,NA,NA,0.0953101798043249,-0.356674943938732,-0.510825623765991,NA,NA
"13","LOC111099050",70,47,60,63,45,31,-0.3983476403393,-0.154150679827258,-0.105360515657826,-0.441832752279039,-0.814508037564213
"14","LOC111099051",160,162,NA,NA,NA,NA,0.0124225199985571,NA,NA,NA,NA
"15","LOC111099052",155,118,132,159,152,NA,-0.272740492453582,-0.160623194332876,0.025479085300985,-0.0195445960729703,NA
"16","LOC111099053",262,541,530,784,454,592,0.725074775085385,0.704532502785071,1.09606451658931,0.549752694280251,0.815162131122909
"17","LOC111099056",81.3333333333333,168,83,54,26,7,0.725408042778167,0.0202846711715057,-0.409571890060818,-1.14045939860361,-2.45264578756978
"18","LOC111099060",16,23.5,63,113,95,117,0.384411698910332,1.37054600415175,1.95479909647256,1.78128816936076,1.98958521255797
"19","LOC111099062",49,56,101,65,30,32,0.133531392624523,0.723300218730633,0.28256697178501,-0.490622916448471,-0.4260843953109
"20","LOC111099063",20,76,76,73,61,76,1.33500106673234,1.33500106673234,1.2947271675944,1.11514159061932,1.33500106673234
"21","LOC111099064",22,32,43,48,47,79,0.374693449441411,0.670157662335247,0.780158557549575,0.759105148351743,1.27840539910871
"22","LOC111099065",26.5,50,104,91,50,188,0.63487827243597,1.3672461661492,1.23371477352467,0.63487827243597,1.95929722983777
"23","LOC111099067",115,136,124,163,172,79,0.167722757372802,0.0753494372417868,0.348818072443512,0.402562348450203,-0.375484275896229
"24","LOC111099068",3,27,8,17,15,NA,2.19722457733622,0.980829253011726,1.73460105538811,1.6094379124341,NA
"25","LOC111099069",15,68,40,41,69,46,1.5114575040739,0.980829253011726,1.0055218656021,1.52605630349505,1.12059119538689
"26","LOC111099070",6.6,16,15,24,15,10,0.885519073207401,0.82098055206983,1.29098418131557,0.82098055206983,0.415515443961666
"27","LOC111099071",35,103,76,184,NA,NA,1.07938092674022,0.775385278796917,1.65958769611957,NA,NA
"28","LOC111099073",81,87,134,45,67,42,0.071458963982145,0.503390645278473,-0.587786664902119,-0.189756535281473,-0.65677953638907
"29","LOC111099076",16,14,10,11,23,NA,-0.133531392624523,-0.470003629245736,-0.374693449441411,0.362905493689368,NA
"30","LOC111099079",60,157,196,57,43,97,0.961901243126207,1.18377009700842,-0.0512932943875506,-0.333144446528538,0.480366416281282
"31","LOC111099080",9,11,6,6,13,6,0.200670695462151,-0.405465108108164,-0.405465108108164,0.367724780125317,-0.405465108108164
"32","LOC111099081",127,310,320,442,NA,NA,0.892385211020601,0.924133909335181,1.24712279561911,NA,NA
"33","LOC111099082",203,75,51,NA,NA,NA,-0.995717865505477,-1.38138034631746,NA,NA,NA
"34","LOC111099083",75,22,120,NA,NA,NA,-1.22644566017799,0.470003629245736,NA,NA,NA
"35","LOC111099088",33,321.5,167,38,NA,NA,2.27648998221119,1.62148625095027,0.141078598259906,NA,NA
"36","LOC111099091",23,12,8,9,9,10,-0.650587566141149,-1.05605267424931,-0.93826963859293,-0.93826963859293,-0.832909122935104
"37","LOC111099092",346,416,643,459,777,519,0.184246485203539,0.619705949179895,0.282611435002821,0.809001575309923,0.405465108108164
"38","LOC111099093",52,70,64,61,73,55,0.297251523467932,0.207639364778245,0.159630145591884,0.339215722566964,0.0560894666510436
"39","LOC111099095",22.5,42,79,52,110,132,0.624154309072994,1.25593254325665,0.837728409371053,1.58696505658204,1.769286613376
"40","LOC111099097",79.3333333333333,164,83,60,45,55,0.726208042820834,0.045182222793233,-0.279313822781264,-0.566995895233045,-0.366325199770894
"41","LOC111099098",78,9,NA,NA,NA,NA,-2.15948424935337,NA,NA,NA,NA
"42","LOC111099101",162,71,77,61,51,51,-0.824916458191069,-0.7437909133787,-0.976722471059073,-1.15577070250806,-1.15577070250806
"43","LOC111099102",345,329,301,560,724,172,-0.0474866662659879,-0.136434152282484,0.484392366697835,0.741246975354357,-0.696049940217907
