"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold1","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",6,12,19,18,34,43,0,0.693147180559945,1.15267950993839,1.09861228866811,1.73460105538811,1.96944064646551
"2","LOC111099033",19,21,16,10,8,5,0,0.100083458556983,-0.171850256926659,-0.641853886172395,-0.864997437486605,-1.33500106673234
"3","LOC111099034",18,35,46,64,NA,NA,0,0.664976303593249,0.93826963859293,1.26851132546351,NA,NA
"4","LOC111099035",21,31,28,17,42,109,0,0.389464766761723,0.287682072451781,-0.211309093667207,0.693147180559945,1.64682544450572
"5","LOC111099036",12.5,11.5,20,14,142,67,0,-0.083381608939051,0.470003629245736,0.113328685307003,2.43009841329301,1.67896397508271
"6","LOC111099040",71.24,65.4,44.84,43.44,10.88,10.24,0,-0.0855321999583077,-0.462953860217502,-0.494673782795781,-1.87912821699366,-1.9397528388101
"7","LOC111099041",5,31,19,96,19,23,0,1.82454929205105,1.33500106673234,2.95491027903374,1.33500106673234,1.52605630349505
"8","LOC111099043",15,10,6.5,4,13.5,23,0,-0.405465108108164,-0.836248024200619,-1.32175583998232,-0.105360515657826,0.42744401482694
"9","LOC111099044",8,6,5,NA,NA,NA,0,-0.287682072451781,-0.470003629245736,NA,NA,NA
"10","LOC111099045",195,198,337,438,287,359,0,0.0152674721307884,0.547083371788615,0.809219351812699,0.386482657195874,0.610322829924532
"11","LOC111099047",51.4285714285714,75,122.285714285714,101,164.428571428571,200.428571428571,0,0.377294231141468,0.866166344691586,0.674926634446417,1.16228237727173,1.36026404865231
"12","LOC111099048",15,17,15,13,NA,NA,0,0.125163142954006,0,-0.143100843640673,NA,NA
"13","LOC111099050",75,83,87,58,63,34,0,0.101352494260288,0.148420005118273,-0.257045102989891,-0.174353387144778,-0.791127588920149
"14","LOC111099051",216,211,NA,NA,NA,NA,0,-0.0234202742080985,NA,NA,NA,NA
"15","LOC111099052",803,424,383,485,375,NA,0,-0.638621258714804,-0.740319724766116,-0.504205823009279,-0.761428687976351,NA
"16","LOC111099053",573,1000,954,1476,1034,1424,0,0.556869562267397,0.509777954733547,0.946205288445678,0.590304338353635,0.910339375257181
"17","LOC111099056",51.3333333333333,114,70,69,49,9,0,0.797858134648976,0.310154928303839,0.29576619085174,-0.0465200156348929,-1.7411157364093
"18","LOC111099060",12,13.5,43,87,52,90,0,0.117783035656383,1.27629346590556,1.98100146886658,1.46633706879343,2.01490302054226
"19","LOC111099062",70,96,132,103,26,22,0,0.315852949418477,0.634306680537012,0.386233746180277,-0.990398704027877,-1.15745278869104
"20","LOC111099063",51,103,92,106,61,86,0,0.70290335550531,0.589962944324715,0.731613461387741,0.179048231448985,0.522521663529182
"21","LOC111099064",6,12,15,13,4,18,0,0.693147180559945,0.916290731874155,0.773189888233482,-0.405465108108164,1.09861228866811
"22","LOC111099065",21,19,85,76,37,113,0,-0.100083458556983,1.39812881876689,1.28621090256291,0.566395474920801,1.68286538098892
"23","LOC111099067",138,221,210,315,280,145,0,0.470909016360548,0.419853845560264,0.825318953668428,0.707535918012045,0.0494800572633697
"24","LOC111099068",4,27,5,6,9.5,NA,0,1.90954250488444,0.22314355131421,0.405465108108164,0.864997437486605,NA
"25","LOC111099069",2,8,6,4,8,9,0,1.38629436111989,1.09861228866811,0.693147180559945,1.38629436111989,1.50407739677627
"26","LOC111099070",1,9,4,4,2,5,0,2.19722457733622,1.38629436111989,1.38629436111989,0.693147180559945,1.6094379124341
"27","LOC111099071",55,154,136,325,NA,NA,0,1.02961941718116,0.905321700503581,1.77649199709727,NA,NA
"28","LOC111099073",78,147,181,57,61,26,0,0.633723760089145,0.841788204576234,-0.313657558855042,-0.24583496251628,-1.09861228866811
"29","LOC111099076",9,12,9,9,12,NA,0,0.287682072451781,0,0,0.287682072451781,NA
"30","LOC111099079",60,135,122,28,14,11,0,0.810930216216329,0.709676482511156,-0.762140052046897,-1.45528723260684,-1.69644928942373
"31","LOC111099080",1,11,1,1,1,7,0,2.39789527279837,0,0,0,1.94591014905531
"32","LOC111099081",199,336,315.5,461,NA,NA,0,0.523806335238712,0.460853857256775,0.840093218272156,NA,NA
"33","LOC111099082",63,36,18,NA,NA,NA,0,-0.559615787935423,-1.25276296849537,NA,NA,NA
"34","LOC111099083",18,12,32,NA,NA,NA,0,-0.405465108108164,0.575364144903562,NA,NA,NA
"35","LOC111099088",21,300,205.5,48,NA,NA,0,2.65926003693278,2.28092359621287,0.826678573184468,NA,NA
"36","LOC111099091",12,3,3,13,14,21,0,-1.38629436111989,-1.38629436111989,0.0800427076735364,0.154150679827258,0.559615787935423
"37","LOC111099092",504,626,933,600,1292,703,0,0.21677410302873,0.615828932775975,0.174353387144778,0.941370416271179,0.332780623739296
"38","LOC111099093",58,108,75,84,100,84,0,0.6216882165778,0.257045102989891,0.370373788296894,0.544727175441672,0.370373788296894
"39","LOC111099095",60.5,90,125,99,270,137,0,0.397166305293469,0.725670372265505,0.492476485097794,1.49577859396158,0.817337560791329
"40","LOC111099097",50.6666666666667,114,70,73,58,28,0,0.810930216216329,0.323227009871192,0.365191208970225,0.135174778368253,-0.593063722002963
"41","LOC111099098",48,5,NA,NA,NA,NA,0,-2.26176309847379,NA,NA,NA,NA
"42","LOC111099101",254,124,126,91,78,52,0,-0.7170527014135,-0.701052360067059,-1.02647476050169,-1.18062544032894,-1.58609054843711
"43","LOC111099102",564,550,486,951,1150,218,0,-0.0251359732715423,-0.148845627597565,0.522459811047331,0.712462969859237,-0.95055918870897
"44","LOC111099104",293,1622,230,158,61,161,0,1.71124262565829,-0.242093300093872,-0.6175775759901,-1.56929874484376,-0.598768244032604
"45","LOC111099105",39,63,69,44,52,85,0,0.479573080261886,0.570544858467613,0.120627987788615,0.287682072451781,0.77908961036067
"46","LOC111099106",8,43,118,154,NA,NA,0,1.68175857401373,2.69124308278583,2.95751106073379,NA,NA
