"","GeneID","Exon1","Exon2","Exon3","Exon4","Exon5","Exon6","fold1","fold2","fold3","fold4","fold5","fold6"
"1","LOC111099029",4,2,19,2,9,18,0,-0.693147180559945,1.55814461804655,-0.693147180559945,0.810930216216329,1.50407739677627
"2","LOC111099030",6,11,4,4,NA,NA,0,0.606135803570315,-0.405465108108164,-0.405465108108164,NA,NA
"3","LOC111099031",2,0,0,0,0,0,0,NA,NA,NA,NA,NA
"4","LOC111099032",10,64,NA,NA,NA,NA,0,1.85629799036563,NA,NA,NA,NA
"5","LOC111099033",48,51,50,21,10,16,0,0.0606246218164348,0.0408219945202552,-0.826678573184468,-1.56861591791385,-1.09861228866811
"6","LOC111099034",28,58,89,356,NA,NA,0,0.728238500371216,1.15643185955694,2.54272622067683,NA,NA
"7","LOC111099035",12,12,13,16,37,91,0,0,0.0800427076735364,0.287682072451781,1.12601126285622,2.02595285672885
"8","LOC111099036",16,13.5,16,8,51,46,0,-0.169899036795397,0,-0.693147180559945,1.15923691048454,1.05605267424931
"9","LOC111099037",123,942,NA,NA,NA,NA,0,2.03582091920395,NA,NA,NA,NA
"10","LOC111099038",3,6,NA,NA,NA,NA,0,0.693147180559945,NA,NA,NA,NA
"11","LOC111099039",22,23,NA,NA,NA,NA,0,0.0444517625708338,NA,NA,NA,NA
"12","LOC111099040",66.92,58.44,45.12,41.4,14.12,41.04,0,-0.135497289236125,-0.39417226892882,-0.480216995287355,-1.55590564405353,-0.488950675256109
"13","LOC111099041",22,30,30.5,107,41,49,0,0.310154928303839,0.32668423025505,1.58178638110359,0.622529613345992,0.800777844752311
"14","LOC111099042",8,6,20,10,NA,NA,0,-0.287682072451781,0.916290731874155,0.22314355131421,NA,NA
"15","LOC111099043",61,65.5,40,18,52,92,0,0.071176278467895,-0.421994410059375,-1.22050210627715,-0.159630145591884,0.410914712875729
"16","LOC111099044",23,27,26,NA,NA,NA,0,0.160342650075179,0.122602322092332,NA,NA,NA
"17","LOC111099045",10,16,63,32,27,49,0,0.470003629245736,1.84054963339749,1.16315080980568,0.993251773010283,1.58923520511658
"18","LOC111099046",6,6,6,6.75,6.25,6,0,0,0,0.117783035656383,0.0408219945202552,0
"19","LOC111099047",11.7142857142857,5.57142857142857,3.71428571428571,8.71428571428571,24.1428571428571,23.7142857142857,0,-0.743157601134607,-1.14862270924277,-0.295845383090942,0.72317946765882,0.70526854109229
"20","LOC111099048",10,5,3,8,NA,NA,0,-0.693147180559945,-1.20397280432594,-0.22314355131421,NA,NA
"21","LOC111099049",2,7,8,1,NA,NA,0,1.25276296849537,1.38629436111989,-0.693147180559945,NA,NA
"22","LOC111099050",17,13,15,9,19,17,0,-0.268263986594679,-0.125163142954006,-0.635988766719997,0.111225635110224,0
"23","LOC111099051",11,9,NA,NA,NA,NA,0,-0.200670695462151,NA,NA,NA,NA
"24","LOC111099052",28,32,33,17,25,NA,0,0.133531392624523,0.164303051291276,-0.498991166118988,-0.113328685307003,NA
"25","LOC111099053",27,48,68,114,55,60,0,0.575364144903562,0.923670839171778,1.44036158239017,0.711496319228142,0.798507696217772
"26","LOC111099054",51,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"27","LOC111099055",28,11,3,32,15,8,0,-0.934309237376833,-2.23359222150709,0.133531392624523,-0.624154309072994,-1.25276296849537
"28","LOC111099056",6,30,10,18,3,4,0,1.6094379124341,0.510825623765991,1.09861228866811,-0.693147180559945,-0.405465108108164
"29","LOC111099057",0,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","LOC111099058",18,13,20,NA,NA,NA,0,-0.325422400434628,0.105360515657826,NA,NA,NA
"31","LOC111099059",11,17,15,16,NA,NA,0,0.435318071257845,0.310154928303839,0.374693449441411,NA,NA
"32","LOC111099060",6,5,4,15,14,11,0,-0.182321556793955,-0.405465108108164,0.916290731874155,0.847297860387204,0.606135803570315
"33","LOC111099061",10,4,4,17,NA,NA,0,-0.916290731874155,-0.916290731874155,0.53062825106217,NA,NA
"34","LOC111099062",22,20,43,35,9,5,0,-0.0953101798043249,0.670157662335247,0.464305608131098,-0.893817876022096,-1.48160454092422
"35","LOC111099063",3,35,34,23,9,19,0,2.4567357728213,2.42774823594805,2.03688192726104,1.09861228866811,1.84582669049833
"36","LOC111099064",25,61,83,65,34,88,0,0.89199803930511,1.1999647829284,0.955511445027436,0.307484699747961,1.25846098961001
"37","LOC111099065",46.5,110,223,239,139,229,0,0.861028053199106,1.56771945886681,1.6370112393382,1.09502162053738,1.59426969096093
"38","LOC111099066",4.5,4,7,26,NA,NA,0,-0.117783035656384,0.441832752279039,1.75401914124521,NA,NA
"39","LOC111099067",41,66,47,50,87,43,0,0.476082675322118,0.136575535005751,0.198450938723838,0.752336051950276,0.0476280489892547
"40","LOC111099068",34,51,39,46,72,NA,0,0.405465108108164,0.137201121513485,0.302280871872934,0.750305594399894,NA
"41","LOC111099069",11,38,10,8,13,28,0,1.23969088692802,-0.0953101798043249,-0.318453731118535,0.167054084663166,0.934309237376833
"42","LOC111099070",12,15,17,16,12,11,0,0.22314355131421,0.348306694268216,0.287682072451781,0,-0.0870113769896298
"43","LOC111099071",26,79,56,99,NA,NA,0,1.11135131444554,0.767255152713667,1.33702331211311,NA,NA
"44","LOC111099072",29,22,20,19,13,15,0,-0.276253376628158,-0.371563556432483,-0.422856850820034,-0.802346472524937,-0.659245628884264
