gene,Sex,Treatment,mean_mean,mean_sem
gene-LOC111116193,F,Control,0.4591209051094891,0.14994524432316136
gene-LOC111116193,F,Exposed,0.5500580538321166,0.20402727803985424
gene-LOC111116193,M,Control,0.5531229379562045,0.2679757038623118
gene-LOC111116193,M,Exposed,0.6488451520681263,0.24808428906647967
gene-LOC111116194,F,Control,0.15141435416666663,0.10338924046610287
gene-LOC111116194,F,Exposed,0.2622514583333332,0.17801513028985996
gene-LOC111116194,M,Control,0.6498685416666667,0.3727382964351443
gene-LOC111116194,M,Exposed,0.47904303472222215,0.25398295044012087
gene-LOC111116195,F,Control,8.232620066176464,1.9164447632956665
gene-LOC111116195,F,Exposed,3.4878554117647056,0.980139294293682
gene-LOC111116195,M,Control,5.499611235294109,1.0862303016808272
gene-LOC111116195,M,Exposed,4.9889607549019646,1.5740263731529838
gene-LOC111116196,F,Control,6.065268736111116,3.131475435164063
gene-LOC111116196,F,Exposed,5.512094611111105,2.4299893929840746
gene-LOC111116196,M,Control,10.518008777777768,4.674375287852637
gene-LOC111116196,M,Exposed,5.951519333333332,2.9545790135016734
gene-LOC111116197,F,Control,14.218193770833333,2.9141430676119424
gene-LOC111116197,F,Exposed,12.609336791666655,2.6490801861025166
gene-LOC111116197,M,Control,16.541324270833325,2.6059486949238524
gene-LOC111116197,M,Exposed,26.235122194444447,3.5631878382745934
gene-LOC111116198,F,Control,0.3184387708333334,0.09678138038014322
gene-LOC111116198,F,Exposed,0.30240043589743604,0.0852246279006679
gene-LOC111116198,M,Control,0.23539632692307724,0.0807671305250882
gene-LOC111116198,M,Exposed,0.18532518803418782,0.060530079140186946
gene-LOC111116203,F,Control,0.2134112625,0.19074136340687686
gene-LOC111116203,F,Exposed,0.625519475,0.4239687932686905
gene-LOC111116203,M,Control,0.365965275,0.306460429170741
gene-LOC111116203,M,Exposed,0.28541666666666665,0.28541666666666665
gene-LOC111116204,F,Control,1.5356847000000007,0.642244949057499
gene-LOC111116204,F,Exposed,1.6795695416666665,0.9225743041837832
gene-LOC111116204,M,Control,0.8507097333333342,0.4049518009212815
gene-LOC111116204,M,Exposed,1.2144961333333344,0.6618040447538592
gene-LOC111116207,F,Control,0.5555555,NA
gene-LOC111116207,F,Exposed,1.136363625,NA
gene-LOC111116207,M,Control,1.47058825,NA
gene-LOC111116207,M,Exposed,1.2820513333333332,NA
gene-LOC111116209,F,Control,0.41713009868421086,0.1981187575127426
gene-LOC111116209,F,Exposed,0.29451591776315783,0.1543325896497473
gene-LOC111116209,M,Control,0.20963901315789474,0.10653678974296113
gene-LOC111116209,M,Exposed,0.305402548245614,0.14652339136232517
gene-LOC111116211,F,Control,1.030497539122138,0.19443289587014564
gene-LOC111116211,F,Exposed,1.0610303635496194,0.21939436516991626
gene-LOC111116211,M,Control,1.0304356240458012,0.2367114069078105
gene-LOC111116211,M,Exposed,0.6074937824427473,0.13811147124008247
