"","DMLcount","difference","count"
"1",0,-7,1
"2",0,-5,2
"3",0,-4,3
"4",0,-3,13
"5",0,-2,87
"6",0,-1,863
"7",0,1,2134
"8",0,2,325
"9",0,3,72
"10",0,4,26
"11",0,5,13
"12",0,6,3
"13",0,7,3
"14",0,8,1
"15",0,13,1
"16",1,-3,1
"17",1,-2,7
"18",1,-1,57
"19",1,1,95
"20",1,2,20
"21",1,3,5
"22",1,4,4
"23",1,6,1
"24",2,-2,2
"25",2,-1,16
"26",2,1,58
"27",2,2,20
"28",2,3,2
"29",2,4,2
"30",2,7,2
"31",3,-3,3
"32",3,-2,6
"33",3,-1,18
"34",3,1,21
"35",3,2,9
"36",3,3,3
"37",3,4,3
"38",4,-1,4
"39",4,1,8
"40",4,2,4
"41",5,3,10
"42",6,-2,6
"43",7,3,7
"44",9,1,18
"45",13,1,13
"46",14,-1,14
"47",15,-1,15
"48",17,-1,17
"49",25,1,25
