"chr" "start" "end" "difference"
"1" "cvirNC_035780.1" 682820 730982 1
"2" "cvirNC_035780.1" 794545 800915 1
"3" "cvirNC_035780.1" 860083 865303 -1
"4" "cvirNC_035780.1" 1856841 1863697 -1
"5" "cvirNC_035780.1" 1919019 1926830 1
"6" "cvirNC_035780.1" 2002152 2007805 1
"7" "cvirNC_035780.1" 2028071 2046722 1
"8" "cvirNC_035780.1" 2428485 2437730 -1
"9" "cvirNC_035780.1" 2653510 2664271 1
"10" "cvirNC_035780.1" 2897281 2904164 -1
"11" "cvirNC_035780.1" 2928484 2930094 1
"12" "cvirNC_035780.1" 2937551 2937621 -1
"13" "cvirNC_035780.1" 3012612 3016387 2
"14" "cvirNC_035780.1" 3123534 3139605 1
"15" "cvirNC_035780.1" 3519458 3522700 -3
"16" "cvirNC_035780.1" 3793738 3799748 1
"17" "cvirNC_035780.1" 4189520 4197602 1
"18" "cvirNC_035780.1" 4342763 4354904 -1
"19" "cvirNC_035780.1" 4354977 4367161 -1
"20" "cvirNC_035780.1" 4681704 4694463 -1
"21" "cvirNC_035780.1" 4712174 4712954 1
"22" "cvirNC_035780.1" 4801569 4815766 -2
"23" "cvirNC_035780.1" 4847455 4859825 -1
"24" "cvirNC_035780.1" 5300793 5324822 2
"25" "cvirNC_035780.1" 5527458 5918223 1
"26" "cvirNC_035780.1" 5748110 5764084 1
"27" "cvirNC_035780.1" 5953052 5962871 1
"28" "cvirNC_035780.1" 6479778 6493047 1
"29" "cvirNC_035780.1" 6676126 6717050 1
"30" "cvirNC_035780.1" 6772926 6783600 1
"31" "cvirNC_035780.1" 6966701 6977505 1
"32" "cvirNC_035780.1" 7235566 7250182 -5
"33" "cvirNC_035780.1" 7448379 7460184 1
"34" "cvirNC_035780.1" 7696045 7720000 2
"35" "cvirNC_035780.1" 7748433 7759007 1
"36" "cvirNC_035780.1" 7862439 7869860 1
"37" "cvirNC_035780.1" 8131059 8135404 2
"38" "cvirNC_035780.1" 8492273 8502116 -1
"39" "cvirNC_035780.1" 8560936 8564456 1
"40" "cvirNC_035780.1" 8591587 8595577 1
"41" "cvirNC_035780.1" 8612812 8620976 2
"42" "cvirNC_035780.1" 8778017 8782462 1
"43" "cvirNC_035780.1" 8783899 8787293 1
"44" "cvirNC_035780.1" 9175214 9177793 1
"45" "cvirNC_035780.1" 9192178 9194613 1
"46" "cvirNC_035780.1" 9333963 9338256 1
"47" "cvirNC_035780.1" 9364226 9370196 1
"48" "cvirNC_035780.1" 9770393 9779044 -1
"49" "cvirNC_035780.1" 9779216 9791313 1
"50" "cvirNC_035780.1" 9806340 9806413 1
"51" "cvirNC_035780.1" 9810318 9810390 -4
"52" "cvirNC_035780.1" 9923742 9927788 -1
"53" "cvirNC_035780.1" 9943497 9949595 -1
"54" "cvirNC_035780.1" 9949034 9956433 -1
"55" "cvirNC_035780.1" 9996253 10055348 1
"56" "cvirNC_035780.1" 10055565 10057092 -1
"57" "cvirNC_035780.1" 10365133 10370853 1
"58" "cvirNC_035780.1" 10467394 10475230 1
"59" "cvirNC_035780.1" 10537627 10547456 -1
"60" "cvirNC_035780.1" 10575356 10588001 1
"61" "cvirNC_035780.1" 10588634 10591923 -1
"62" "cvirNC_035780.1" 10687646 10694391 1
"63" "cvirNC_035780.1" 10739576 10744853 1
"64" "cvirNC_035780.1" 10783587 10809680 -1
"65" "cvirNC_035780.1" 10930684 10945734 1
"66" "cvirNC_035780.1" 10982520 11011853 15
"67" "cvirNC_035780.1" 11181146 11190506 -1
"68" "cvirNC_035780.1" 11435856 11462007 -1
"69" "cvirNC_035780.1" 11463215 11485804 1
"70" "cvirNC_035780.1" 11521486 11529987 1
"71" "cvirNC_035780.1" 11663843 11676448 1
"72" "cvirNC_035780.1" 11716408 11718837 -1
"73" "cvirNC_035780.1" 11720271 11733169 1
"74" "cvirNC_035780.1" 11733487 11743725 -1
"75" "cvirNC_035780.1" 11776188 11783936 1
"76" "cvirNC_035780.1" 11878270 11884755 1
"77" "cvirNC_035780.1" 12162824 12223820 -1
"78" "cvirNC_035780.1" 12261347 12269032 1
"79" "cvirNC_035780.1" 12276717 12284282 1
"80" "cvirNC_035780.1" 12394444 12396952 1
"81" "cvirNC_035780.1" 12472087 12473292 -1
"82" "cvirNC_035780.1" 12601307 12627692 -1
"83" "cvirNC_035780.1" 12754366 12758045 1
"84" "cvirNC_035780.1" 12848461 12852461 -1
"85" "cvirNC_035780.1" 12870986 12876196 1
"86" "cvirNC_035780.1" 12896160 12897207 1
"87" "cvirNC_035780.1" 13032745 13050419 -1
"88" "cvirNC_035780.1" 13215655 13224135 -1
"89" "cvirNC_035780.1" 13515567 13582535 1
"90" "cvirNC_035780.1" 13754789 13760845 -1
"91" "cvirNC_035780.1" 13868083 13884744 1
"92" "cvirNC_035780.1" 13935566 13945819 1
"93" "cvirNC_035780.1" 14017674 14061247 2
"94" "cvirNC_035780.1" 14020762 14066106 2
"95" "cvirNC_035780.1" 14083742 14089660 1
"96" "cvirNC_035780.1" 14177177 14185871 1
"97" "cvirNC_035780.1" 14376909 14383781 -1
"98" "cvirNC_035780.1" 14586851 14593533 3
"99" "cvirNC_035780.1" 14696795 14943530 2
"100" "cvirNC_035780.1" 14703075 14706538 1
"101" "cvirNC_035780.1" 14706549 14726599 1
"102" "cvirNC_035780.1" 14943770 14946638 1
"103" "cvirNC_035780.1" 14980744 14985692 1
"104" "cvirNC_035780.1" 15322337 15324317 1
"105" "cvirNC_035780.1" 15669756 15674561 1
"106" "cvirNC_035780.1" 15782444 15788948 2
"107" "cvirNC_035780.1" 15888089 15916772 -1
"108" "cvirNC_035780.1" 15967722 15996583 2
"109" "cvirNC_035780.1" 16084387 16097558 -1
"110" "cvirNC_035780.1" 16154787 16168428 2
"111" "cvirNC_035780.1" 16217205 16223478 1
"112" "cvirNC_035780.1" 16532669 16536443 1
"113" "cvirNC_035780.1" 17236828 17264067 1
"114" "cvirNC_035780.1" 17368723 17369799 1
"115" "cvirNC_035780.1" 17440952 17455668 1
"116" "cvirNC_035780.1" 17457152 17457223 -1
"117" "cvirNC_035780.1" 17717526 17754102 1
"118" "cvirNC_035780.1" 17802381 17811835 1
"119" "cvirNC_035780.1" 17874835 17890558 1
"120" "cvirNC_035780.1" 17893952 17916178 1
"121" "cvirNC_035780.1" 17990394 17992424 1
"122" "cvirNC_035780.1" 18386289 18391341 1
"123" "cvirNC_035780.1" 18687786 18691110 1
"124" "cvirNC_035780.1" 18764932 18770805 1
"125" "cvirNC_035780.1" 18905765 18948950 1
"126" "cvirNC_035780.1" 19179676 19214852 -2
"127" "cvirNC_035780.1" 19327362 19332333 1
"128" "cvirNC_035780.1" 19596391 19602076 1
"129" "cvirNC_035780.1" 19609362 19614198 -1
"130" "cvirNC_035780.1" 19632576 19653874 1
"131" "cvirNC_035780.1" 19708641 19717313 -1
"132" "cvirNC_035780.1" 19719115 19723451 -1
"133" "cvirNC_035780.1" 20107835 20109860 1
"134" "cvirNC_035780.1" 20122889 20170641 -1
"135" "cvirNC_035780.1" 20295954 20348480 1
"136" "cvirNC_035780.1" 20386897 20389701 -1
"137" "cvirNC_035780.1" 20807004 20817614 -1
"138" "cvirNC_035780.1" 20837339 20843047 1
"139" "cvirNC_035780.1" 21026795 21033637 1
"140" "cvirNC_035780.1" 21064616 21135337 2
"141" "cvirNC_035780.1" 21171271 21193233 3
"142" "cvirNC_035780.1" 21254605 21259402 1
"143" "cvirNC_035780.1" 21333984 21335796 1
"144" "cvirNC_035780.1" 21390802 21473282 1
"145" "cvirNC_035780.1" 21969448 21999284 -1
"146" "cvirNC_035780.1" 22110289 22113711 -1
"147" "cvirNC_035780.1" 22141651 22142580 -1
"148" "cvirNC_035780.1" 22239888 22244455 1
"149" "cvirNC_035780.1" 22404219 22406365 1
"150" "cvirNC_035780.1" 22462295 22464338 1
"151" "cvirNC_035780.1" 22481055 22482178 1
"152" "cvirNC_035780.1" 22778102 22780113 1
"153" "cvirNC_035780.1" 22857161 22858859 1
"154" "cvirNC_035780.1" 22886784 22909815 -1
"155" "cvirNC_035780.1" 23197064 23198506 1
"156" "cvirNC_035780.1" 23256550 23258783 1
"157" "cvirNC_035780.1" 23384222 23386381 1
"158" "cvirNC_035780.1" 23551053 23555369 2
"159" "cvirNC_035780.1" 23613390 23631708 2
"160" "cvirNC_035780.1" 23822109 23833248 1
"161" "cvirNC_035780.1" 23946020 23950917 2
"162" "cvirNC_035780.1" 24077143 24078135 -1
"163" "cvirNC_035780.1" 24083004 24102593 -1
"164" "cvirNC_035780.1" 24132712 24165352 1
"165" "cvirNC_035780.1" 24292180 24297178 1
"166" "cvirNC_035780.1" 24428725 24430984 -1
"167" "cvirNC_035780.1" 24461021 24462437 1
"168" "cvirNC_035780.1" 24611969 24638942 1
"169" "cvirNC_035780.1" 24813502 24815279 1
"170" "cvirNC_035780.1" 25087766 25096020 1
"171" "cvirNC_035780.1" 25191083 25241551 1
"172" "cvirNC_035780.1" 25339676 25363572 1
"173" "cvirNC_035780.1" 25414813 25443408 -1
"174" "cvirNC_035780.1" 25710440 25719653 -1
"175" "cvirNC_035780.1" 25904526 25923260 1
"176" "cvirNC_035780.1" 25924450 25935088 1
"177" "cvirNC_035780.1" 26189359 26196444 -1
