gene	SPID
LOC111126949	Q8IV45
LOC111112434	P39021
LOC111120752	Q96AT9
LOC111105685	Q94K49
LOC111113860	Q95JD5
LOC111109550	Q9D939
LOC111109753	O43704
LOC111109452	A0A2K5X3B6
LOC111101273	Q5R7D0
LOC111101262	Q5R7J9
LOC111133260	Q15256
LOC111113503	Q5MNV8
LOC111102393	Q566Y1
LOC111117743	P56941
LOC111117672	O15118
LOC111114053	Q9UBV8
LOC111109809	O18971
LOC111102064	P20735
LOC111112773	P17972
LOC111135169	Q38PU2
LOC111135172	Q13002
LOC111114201	Q80TY5
LOC111114212	P53621
LOC111138315	Q9DCB4
LOC111138321	Q8BI55
LOC111108931	Q2YDL5
LOC111108901	Q4QQM4
LOC111108901	Q0VCQ8
LOC111130095	Q5BJ68
LOC111131060	Q9LGZ2
LOC111131060	O94431
LOC111131074	Q9LGZ2
LOC111131094	Q9LGZ2
LOC111131052	Q9LGZ2
LOC111116467	O35015
LOC111136780	G5E8P0
LOC111136794	Q3SZ36
LOC111118844	Q9CQM5
LOC111110627	Q9VZW5
LOC111137104	Q8TAQ2
LOC111105880	P35604
LOC111102585	O43248
LOC111099747	Q9XW88
LOC111129046	P34456
LOC111115406	Q01622
LOC111135933	Q8T940
LOC111114430	Q9TT89
LOC111103592	Q94K49
LOC111129120	P20825
LOC111135210	Q9PWD3
LOC111113958	Q9PWM3
LOC111103230	P50901
LOC111101640	Q9IA20
LOC111103171	Q1KL10
LOC111103163	Q8BR93
LOC111102448	Q0MQI4
LOC111100652	Q9BXB4
LOC111134791	Q5BJ29
LOC111128971	Q91ZS8
LOC111104153	P27641
LOC111134552	Q53G44
LOC111134566	Q53G44
LOC111121733	P34416
LOC111121733	P20929
LOC111129336	A5PF48
LOC111109754	G5EBQ8
LOC111129344	K7U9N8
LOC111109745	G5EBQ8
LOC111132141	D3ZQG6
LOC111132148	D3ZQG6
LOC111132134	A8TX70
LOC111132126	Q99715
LOC111099207	Q9VCA2
LOC111115013	Q6V0I7
LOC111132349	Q9VUL9
LOC111132366	Q9VUL9
LOC111131773	Q66KK8
LOC111131721	O93479
LOC111131752	P20107
LOC111131766	P20107
LOC111131682	B9EJ86
LOC111128103	Q4QR29
LOC111100985	Q2PZL6
LOC111103238	Q14517
LOC111112387	B6D5P6
LOC111114799	Q7T385
LOC111129446	Q55FM5
LOC111100566	Q5REB8
LOC111136882	Q6DF67
LOC111136873	P56201
LOC111099831	Q6GQ34
LOC111129522	P54145
LOC111100662	C7G0B5
LOC111105302	Q20758
LOC111134776	H2A0M0
LOC111103288	Q91VP7
LOC111101405	P04352
LOC111101397	O97341
LOC111129748	Q58D34
LOC111134153	Q921J2
LOC111113132	Q9Y2C3
LOC111136460	Q24157
LOC111119489	Q9MYM7
LOC111106831	P20483
LOC111129837	P10394
LOC111112009	P70585
LOC111123486	Q9Y2C3
LOC111126076	Q6DJN2
LOC111126102	Q66KB0
LOC111129935	P46063
LOC111111995	Q6XVN8
LOC111111995	Q2HJ23
LOC111134929	P62332
LOC111101827	Q9I8C7
LOC111118727	Q28J76
LOC111103139	Q9DBC0
LOC111125333	Q5T5Y3
LOC111136966	F1Q8K0
LOC111115748	O08585
LOC111112068	Q5PQJ7
LOC111106561	Q8VIK1
LOC111109865	Q9Y2Y1
LOC111130195	Q96EQ9
LOC111132898	Q7ZVG6
LOC111101169	Q920M9
LOC111104454	Q9Y2Y1
LOC111102578	Q8VIK1
LOC111108648	Q5PQJ7
LOC111135567	O08585
LOC111117581	F1Q8K0
LOC111114641	Q0V9M0
LOC111127966	Q5T5Y3
LOC111135129	Q9DBC0
LOC111118316	Q28J76
LOC111109243	Q9I8C7
LOC111134171	P62332
LOC111111295	Q6XVN8
LOC111130258	Q9Z129
LOC111124761	Q66KB0
LOC111124729	Q6DJN2
LOC111130260	P35555
LOC111121476	B3EWY9
LOC111121500	P35556
LOC111130637	B3EWY9
LOC111130647	B3EWY9
LOC111130653	B3EWY9
LOC111130687	B3EWY9
LOC111130696	Q61555
LOC111121491	P35556
