target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1903.5	4	0.24411
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1087.5	0	0
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1075.5	4	0.432043
lcl|NC_035780.1_cds_XP_022305632.1_4	801	694.501	4	0.66906
lcl|NC_035780.1_cds_XP_022317406.1_5	693	586.501	76	15.053
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1666.5	3	0.209119
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2176.5	11	0.5871
lcl|NC_035780.1_cds_XP_022295762.1_8	432	325.59	0.666667	0.237857
lcl|NC_035780.1_cds_XP_022295750.1_9	936	829.501	2	0.280086
lcl|NC_035780.1_cds_XP_022337778.1_10	432	325.59	0	0
lcl|NC_035780.1_cds_XP_022325096.1_11	432	325.59	0.666667	0.237857
lcl|NC_035780.1_cds_XP_022330653.1_12	432	325.59	2.66667	0.951428
lcl|NC_035780.1_cds_XP_022307863.1_13	987	880.501	14	1.84704
lcl|NC_035780.1_cds_XP_022301465.1_14	945	838.501	0	0
lcl|NC_035780.1_cds_XP_022301545.1_15	915	808.501	1.5	0.215521
lcl|NC_035780.1_cds_XP_022301617.1_16	915	808.501	1.5	0.215521
lcl|NC_035780.1_cds_XP_022301726.1_17	912	805.501	2	0.288431
lcl|NC_035780.1_cds_XP_022301276.1_18	903	796.501	825	120.322
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1921.5	273.026	16.506
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1915.5	367.768	22.3034
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2041.5	333.419	18.9722
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2041.5	333.419	18.9722
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1714.5	677.368	45.895
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	967.501	178	21.3721
lcl|NC_035780.1_cds_XP_022289394.1_25	5082	4975.5	605.39	14.1344
lcl|NC_035780.1_cds_XP_022289401.1_26	5082	4975.5	605.39	14.1344
lcl|NC_035780.1_cds_XP_022289413.1_27	2379	2272.5	4345	222.108
lcl|NC_035780.1_cds_XP_022337178.1_28	1983	1876.5	321	19.8717
lcl|NC_035780.1_cds_XP_022307508.1_29	1365	1258.5	66	6.09212
lcl|NC_035780.1_cds_XP_022290809.1_30	1143	1036.5	107.224	12.0172
lcl|NC_035780.1_cds_XP_022290816.1_31	1056	949.501	66.7757	8.16961
lcl|NC_035780.1_cds_XP_022290824.1_32	1056	949.501	7.66939e-06	9.38304e-07
lcl|NC_035780.1_cds_XP_022315191.1_33	1092	985.501	27	3.18262
lcl|NC_035780.1_cds_XP_022290115.1_34	330	223.878	1040	539.634
lcl|NC_035780.1_cds_XP_022312709.1_35	3921	3814.5	418	12.7297
lcl|NC_035780.1_cds_XP_022312581.1_36	4002	3895.5	1536	45.8043
lcl|NC_035780.1_cds_XP_022308054.1_37	678	571.501	105	21.3427
lcl|NC_035780.1_cds_XP_022301760.1_38	1368	1261.5	4	0.368341
lcl|NC_035780.1_cds_XP_022290427.1_39	1878	1771.5	250.313	16.4142
lcl|NC_035780.1_cds_XP_022290433.1_40	1866	1759.5	18.6869	1.23374
lcl|NC_035780.1_cds_XP_022306258.1_41	1770	1663.5	0.486297	0.0339591
lcl|NC_035780.1_cds_XP_022306268.1_42	1764	1657.5	50.5137	3.54025
lcl|NC_035780.1_cds_XP_022340680.1_43	2601	2494.5	36	1.67647
lcl|NC_035780.1_cds_XP_022340691.1_44	2601	2494.5	36	1.67647
lcl|NC_035780.1_cds_XP_022340707.1_45	2445	2338.5	68	3.37792
lcl|NC_035780.1_cds_XP_022340720.1_46	612	505.501	25	5.74508
lcl|NC_035780.1_cds_XP_022308197.1_47	11961	11854.5	731	7.16329
lcl|NC_035780.1_cds_XP_022308214.1_48	3693	3586.5	1067.24	34.5676
lcl|NC_035780.1_cds_XP_022308208.1_49	3723	3616.5	279.761	8.98622
lcl|NC_035780.1_cds_XP_022345918.1_50	2454	2347.5	1407	69.6252
lcl|NC_035780.1_cds_XP_022345977.1_51	2055	1948.5	7.83051	0.46684
lcl|NC_035780.1_cds_XP_022345984.1_52	2055	1948.5	7.83051	0.46684
lcl|NC_035780.1_cds_XP_022346005.1_53	2013	1906.5	0	0
lcl|NC_035780.1_cds_XP_022345997.1_54	2031	1924.5	0	0
lcl|NC_035780.1_cds_XP_022345966.1_55	2130	2023.5	0	0
lcl|NC_035780.1_cds_XP_022345932.1_56	2148	2041.5	0	0
lcl|NC_035780.1_cds_XP_022345941.1_57	2148	2041.5	0	0
lcl|NC_035780.1_cds_XP_022345950.1_58	2148	2041.5	0	0
lcl|NC_035780.1_cds_XP_022345958.1_59	2148	2041.5	14.7555	0.839622
lcl|NC_035780.1_cds_XP_022346041.1_60	1962	1855.5	26.6714	1.66979
lcl|NC_035780.1_cds_XP_022346050.1_61	1950	1843.5	0	0
lcl|NC_035780.1_cds_XP_022345991.1_62	2034	1927.5	20.5998	1.2415
lcl|NC_035780.1_cds_XP_022346033.1_63	1989	1882.5	19.7948	1.2215
lcl|NC_035780.1_cds_XP_022346024.1_64	2007	1900.5	0	0
lcl|NC_035780.1_cds_XP_022346059.1_65	1941	1834.5	0	0
lcl|NC_035780.1_cds_XP_022346082.1_66	1815	1708.5	0	0
lcl|NC_035780.1_cds_XP_022346068.1_67	1893	1786.5	3.25872	0.211896
lcl|NC_035780.1_cds_XP_022346076.1_68	1893	1786.5	3.25872	0.211896
lcl|NC_035780.1_cds_XP_022346011.1_69	2010	1903.5	0	0
lcl|NC_035780.1_cds_XP_022346018.1_70	2010	1903.5	0	0
lcl|NC_035780.1_cds_XP_022317871.1_71	2562	2455.5	887	41.9625
lcl|NC_035780.1_cds_XP_022345582.1_72	522	415.513	55.5	15.5163
lcl|NC_035780.1_cds_XP_022345588.1_73	522	415.513	55.5	15.5163
lcl|NC_035780.1_cds_XP_022300728.1_74	639	532.501	0	0
lcl|NC_035780.1_cds_XP_022300735.1_75	558	451.513	0	0
lcl|NC_035780.1_cds_XP_022300741.1_76	540	433.513	5	1.33982
lcl|NC_035780.1_cds_XP_022300678.1_77	2412	2305.5	49.0043	2.46915
lcl|NC_035780.1_cds_XP_022300686.1_78	2412	2305.5	49.0043	2.46915
lcl|NC_035780.1_cds_XP_022300673.1_79	2481	2374.5	76.9913	3.76658
lcl|NC_035780.1_cds_XP_022300710.1_80	603	496.501	125.833	29.441
lcl|NC_035780.1_cds_XP_022300704.1_81	690	583.501	95.4557	19.0037
lcl|NC_035780.1_cds_XP_022300696.1_82	690	583.501	0	0
