target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	911.579	16.2	65.5036
rna-XR_002635081.1	711	608.808	15	90.8147
rna-XR_002636046.1	3105	2999.58	517.831	636.315
rna-XR_002638148.1	1586	1480.58	31	77.1747
rna-XR_002639675.1	25148	25042.6	101	14.8658
rna-XR_002636574.1	10029	9923.58	29.5146	10.9626
rna-XR_002636864.1	6843	6737.58	71.1566	38.9275
rna-XR_002636863.1	6857	6751.58	599.407	327.236
rna-XR_002635698.1	5581	5475.58	24	16.1557
rna-XR_002637875.1	1611	1505.58	1.30076	3.18447
rna-XR_002639757.1	803	700.089	10	52.6492
rna-XR_002637404.1	5548	5442.58	0	0
rna-XR_002637403.1	5983	5877.58	95	59.5758
rna-XR_002638411.1	1032	926.579	20.9498	83.338
rna-XR_002638407.1	729	626.612	0	0
rna-XR_002639131.1	1047	941.579	2	7.82921
rna-XR_002637017.1	894	789.895	2.03594	9.50037
rna-XR_002637713.1	950	845.257	1	4.3607
rna-XR_002637880.1	796	693.089	4	21.2724
rna-XR_002637799.1	2043	1937.58	2	3.80466
rna-XR_002638995.1	4595	4489.58	488.281	400.875
rna-XR_002634943.1	2592	2486.58	0	0
rna-XR_002638063.1	2112	2006.58	0	0
rna-XR_002638876.1	781	678.197	0	0
rna-XR_002637797.1	729	626.612	1683	9899.89
rna-XR_002635789.1	2467	2361.58	139.558	217.82
rna-XR_002634753.1	12574	12468.6	30.1971	8.92675
rna-XR_002634768.1	11583	11477.6	81.0745	26.0363
rna-XR_002634760.1	11581	11475.6	98.2741	31.5652
rna-XR_002634750.1	11580	11474.6	108.199	34.756
rna-XR_002634765.1	11580	11474.6	108.199	34.756
rna-XR_002634752.1	11577	11471.6	144.408	46.3995
rna-XR_002634754.1	11576	11470.6	158.997	51.0915
rna-XR_002634762.1	11576	11470.6	158.997	51.0915
rna-XR_002634766.1	11574	11468.6	192.75	61.9484
rna-XR_002633935.1	431	331.407	0	0
rna-XR_002634061.1	501	400.656	5	45.9984
rna-XR_002639939.1	2258	2152.58	128.963	220.827
rna-XR_002636171.1	1823	1717.58	655	1405.62
rna-XR_002639137.1	2172	2066.58	281.754	502.53
rna-XR_002639138.1	13744	13638.6	260.581	70.4235
rna-XR_002637000.1	940	835.323	0	0
rna-XR_002635934.1	8203	8097.58	253.586	115.429
rna-XR_002638094.1	4346	4240.58	2.04661	1.77891
rna-XR_002638095.1	4346	4240.58	2.04661	1.77891
rna-XR_002638091.1	4345	4239.58	2.6553	2.30853
rna-XR_002638093.1	4345	4239.58	2.6553	2.30853
rna-XR_002638097.1	4345	4239.58	2.6553	2.30853
rna-XR_002638090.1	4343	4237.58	4.47044	3.88846
rna-XR_002638096.1	4343	4237.58	4.47044	3.88846
rna-XR_002638679.1	12442	12336.6	601.538	179.727
rna-XR_002638671.1	11226	11120.6	395.924	131.229
rna-XR_002638132.1	668	565.901	3	19.54
rna-XR_002636687.1	622	520.283	2	14.1689
rna-XR_002638840.1	1814	1708.58	7	15.1011
rna-XR_002638600.1	25571	25465.6	377.304	54.6114
rna-XR_002635894.1	3468	3362.58	51.604	56.566
rna-XR_002635072.1	2915	2809.58	164.862	216.284
rna-XR_002636555.1	2022	1916.58	3	5.76952
rna-XR_002638364.1	4275	4169.58	578.744	511.61
rna-XR_002637425.1	53382	53276.6	610.039	42.2052
rna-XR_002637423.1	1528	1422.58	0	0
rna-XR_002637424.1	1524	1418.58	0	0
rna-XR_002637419.1	2114	2008.58	108.446	199.008
rna-XR_002637421.1	2114	2008.58	108.446	199.008
rna-XR_002636179.1	2869	2763.58	22.7932	30.4003
rna-XR_002634989.1	5721	5615.58	40.2169	26.3972
rna-XR_002634991.1	5721	5615.58	40.2169	26.3972
rna-XR_002637676.1	1190	1084.58	44	149.533
rna-XR_002639760.1	3442	3336.58	1263.73	1396.03
rna-XR_002637696.1	1358	1252.58	10.0842	29.6742
rna-XR_002637764.1	16571	16465.6	41.5946	9.31118
rna-XR_002638213.1	2887	2781.58	12	15.9014
rna-XR_002635759.1	5044	4938.58	174.001	129.866
rna-XR_002635760.1	5047	4941.58	88.9991	66.3842
rna-XR_002639528.1	3153	3047.58	26	31.4458
rna-XR_002637753.1	41923	41817.6	427.984	37.7237
rna-XR_002637752.1	50097	49991.6	382.138	28.1753
rna-XR_002636558.1	2509	2403.58	83.8981	128.659
rna-XR_002635374.1	2792	2686.58	27.1813	37.292
rna-XR_002638485.1	25118	25012.6	44.523	6.56101
rna-XR_002638486.1	25122	25016.6	37.3177	5.49835
rna-XR_002638487.1	20258	20152.6	724.811	132.568
rna-XR_002637599.1	1516	1410.58	4785	12503.4
rna-XR_002637108.1	2570	2464.58	110	164.511
rna-XR_002638776.1	6414	6308.58	67.9278	39.6881
rna-XR_002634884.1	4828	4722.58	209	163.122
rna-XR_002636369.1	6057	5951.58	8.82421	5.46498
rna-XR_002636373.1	6057	5951.58	8.82421	5.46498
rna-XR_002636376.1	6057	5951.58	8.82421	5.46498
rna-XR_002636377.1	6057	5951.58	8.82421	5.46498
rna-XR_002636378.1	6057	5951.58	8.82421	5.46498
rna-XR_002636379.1	6057	5951.58	8.82421	5.46498
rna-XR_002636380.1	6049	5943.58	0.00204353	0.00126729
rna-XR_002635791.1	5513	5407.58	8.72103	5.94442
rna-XR_002634844.1	2698	2592.58	6	8.5303
rna-XR_002639408.1	2832	2726.58	49.5591	66.9961
rna-XR_002634095.1	6873	6767.58	68.4595	37.286
rna-XR_002634101.1	6873	6767.58	68.4595	37.286
rna-XR_002639331.1	4949	4843.58	318.76	242.573
rna-XR_002639328.1	576	474.633	1.98629	15.4252
rna-XR_002637493.1	1981	1875.58	17.4111	34.2165
rna-XR_002639142.1	4052	3946.58	39.8143	37.1846
rna-XR_002639143.1	1776	1670.58	1	2.20637
rna-XR_002639218.1	6249	6143.58	99	59.3962
rna-XR_002633990.1	2189	2083.58	11	19.4593
rna-XR_002633994.1	13871	13765.6	367.534	98.412
rna-XR_002633989.1	1301	1195.58	141	434.696
rna-XR_002637639.1	1965	1859.58	0	0
rna-XR_002637641.1	2339	2233.58	3	4.95068
rna-XR_002636585.1	3459	3353.58	8.13447	8.94057
rna-XR_002637687.1	23847	23741.6	83.0413	12.8923
rna-XR_002637686.1	20703	20597.6	29.4221	5.26505
rna-XR_002637682.1	20296	20190.6	336.846	61.4933
rna-XR_002637684.1	14299	14193.6	1.35031	0.35066
rna-XR_002637685.1	9252	9146.58	0	0
rna-XR_002637688.1	7694	7588.58	2.53937	1.23342
rna-XR_002637683.1	7584	7478.58	116.991	57.6603
rna-XR_002637453.1	7631	7525.58	30	14.6935
rna-XR_002637596.1	6923	6817.58	334.258	180.716
rna-XR_002637884.1	1653	1547.58	25	59.5432
rna-XR_002637648.1	1704	1598.58	1	2.30574
rna-XR_002634904.1	2552	2446.58	0	0
rna-XR_002635937.1	2064	1958.58	1.82814	3.44044
rna-XR_002635938.1	1077	971.579	2.93204	11.1234
rna-XR_002637712.1	3545	3439.58	3.51079	3.76222
rna-XR_002635864.1	820	716.923	235.662	1211.61
rna-XR_002639527.1	2722	2616.58	4.06321	5.72374
rna-XR_002638454.1	1701	1595.58	7	16.1705
rna-XR_002636217.1	3079	2973.58	44.6805	55.3839
rna-XR_002636245.1	5545	5439.58	1633.48	1106.86
rna-XR_002636251.1	3325	3219.58	81.3055	93.082
rna-XR_002637871.1	1356	1250.58	54.0995	159.451
rna-XR_002638817.1	571	469.633	2.65274	20.82
rna-XR_002639340.1	1733	1627.58	44	99.645
rna-XR_002636108.1	5480	5374.58	0	0
rna-XR_002636103.1	5686	5580.58	40.9346	27.0368
rna-XR_002636111.1	6895	6789.58	90.5671	49.1668
rna-XR_002636110.1	1447	1341.58	18.5071	50.8472
rna-XR_002636102.1	4459	4353.58	41.4459	35.0898
rna-XR_002638676.1	959	853.923	20.8108	89.8287
rna-XR_002635843.1	1975	1869.58	224.422	442.453
rna-XR_002636610.1	2026	1920.58	9	17.2725
rna-XR_002635080.1	2533	2427.58	40.1153	60.909
rna-XR_002634898.1	2953	2847.58	40.7206	52.7088
rna-XR_002636294.1	2428	2322.58	16.1782	25.6747
rna-XR_002636554.1	2610	2504.58	483.382	711.378
rna-XR_002637587.1	1813	1707.58	25	53.964
rna-XR_002636941.1	6130	6024.58	30.4643	18.6384
rna-XR_002638522.1	1879	1773.58	82	170.415
