target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1906.91	2	0.133868
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1090.91	0	0
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1078.91	6	0.709813
lcl|NC_035780.1_cds_XP_022305632.1_4	801	697.911	2	0.36577
lcl|NC_035780.1_cds_XP_022317406.1_5	693	589.939	87	18.8231
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1669.91	1	0.0764337
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2179.91	2	0.117103
lcl|NC_035780.1_cds_XP_022295762.1_8	432	328.998	0	0
lcl|NC_035780.1_cds_XP_022295750.1_9	936	832.911	10.8333	1.66013
lcl|NC_035780.1_cds_XP_022337778.1_10	432	328.998	0	0
lcl|NC_035780.1_cds_XP_022325096.1_11	432	328.998	5	1.93979
lcl|NC_035780.1_cds_XP_022330653.1_12	432	328.998	0	0
lcl|NC_035780.1_cds_XP_022307863.1_13	987	883.911	11	1.58841
lcl|NC_035780.1_cds_XP_022301465.1_14	945	841.911	0	0
lcl|NC_035780.1_cds_XP_022301545.1_15	915	811.911	3	0.471619
lcl|NC_035780.1_cds_XP_022301617.1_16	915	811.911	3	0.471619
lcl|NC_035780.1_cds_XP_022301726.1_17	912	808.911	3	0.473368
lcl|NC_035780.1_cds_XP_022301276.1_18	903	799.911	508	81.0588
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1924.91	154.275	10.2297
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1918.91	125.903	8.37454
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2044.91	233.758	14.5905
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2044.91	233.758	14.5905
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1717.91	566.307	42.0755
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	970.911	139	18.2732
lcl|NC_035780.1_cds_XP_022289394.1_25	5082	4978.91	348.152	8.9251
lcl|NC_035780.1_cds_XP_022289401.1_26	5082	4978.91	348.152	8.9251
lcl|NC_035780.1_cds_XP_022289413.1_27	2379	2275.91	3126	175.312
lcl|NC_035780.1_cds_XP_022337178.1_28	1983	1879.91	158	10.7275
lcl|NC_035780.1_cds_XP_022307508.1_29	1365	1261.91	49	4.95616
lcl|NC_035780.1_cds_XP_022290809.1_30	1143	1039.91	166.851	20.479
lcl|NC_035780.1_cds_XP_022290816.1_31	1056	952.911	21.7141	2.90849
lcl|NC_035780.1_cds_XP_022290824.1_32	1056	952.911	12.4353	1.66565
lcl|NC_035780.1_cds_XP_022315191.1_33	1092	988.911	20	2.58137
lcl|NC_035780.1_cds_XP_022290115.1_34	330	227.364	958	537.802
lcl|NC_035780.1_cds_XP_022312709.1_35	3921	3817.91	158	5.28214
lcl|NC_035780.1_cds_XP_022312581.1_36	4002	3898.91	676	22.13
lcl|NC_035780.1_cds_XP_022308054.1_37	678	574.939	98	21.7562
lcl|NC_035780.1_cds_XP_022301760.1_38	1368	1264.91	12	1.21088
lcl|NC_035780.1_cds_XP_022290427.1_39	1878	1774.91	0.00276161	0.000198593
lcl|NC_035780.1_cds_XP_022290433.1_40	1866	1762.91	7.99724	0.579012
lcl|NC_035780.1_cds_XP_022306258.1_41	1770	1666.91	51	3.90513
lcl|NC_035780.1_cds_XP_022306268.1_42	1764	1660.91	0	0
lcl|NC_035780.1_cds_XP_022340680.1_43	2601	2497.91	9.5	0.485428
lcl|NC_035780.1_cds_XP_022340691.1_44	2601	2497.91	9.5	0.485428
lcl|NC_035780.1_cds_XP_022340707.1_45	2445	2341.91	28	1.52604
lcl|NC_035780.1_cds_XP_022340720.1_46	612	508.95	42	10.533
lcl|NC_035780.1_cds_XP_022308197.1_47	11961	11857.9	392	4.21945
lcl|NC_035780.1_cds_XP_022308214.1_48	3693	3589.91	656.714	23.3491
lcl|NC_035780.1_cds_XP_022308208.1_49	3723	3619.91	129.286	4.5586
lcl|NC_035780.1_cds_XP_022345918.1_50	2454	2350.91	877	47.6148
lcl|NC_035780.1_cds_XP_022345977.1_51	2055	1951.91	0	0
lcl|NC_035780.1_cds_XP_022345984.1_52	2055	1951.91	0	0
lcl|NC_035780.1_cds_XP_022346005.1_53	2013	1909.91	0	0
lcl|NC_035780.1_cds_XP_022345997.1_54	2031	1927.91	0	0
lcl|NC_035780.1_cds_XP_022345966.1_55	2130	2026.91	0	0
lcl|NC_035780.1_cds_XP_022345932.1_56	2148	2044.91	0	0
lcl|NC_035780.1_cds_XP_022345941.1_57	2148	2044.91	0	0
lcl|NC_035780.1_cds_XP_022345950.1_58	2148	2044.91	0	0
lcl|NC_035780.1_cds_XP_022345958.1_59	2148	2044.91	6.59459	0.411615
lcl|NC_035780.1_cds_XP_022346041.1_60	1962	1858.91	3.89303	0.267305
lcl|NC_035780.1_cds_XP_022346050.1_61	1950	1846.91	0	0
lcl|NC_035780.1_cds_XP_022345991.1_62	2034	1930.91	0	0
lcl|NC_035780.1_cds_XP_022346033.1_63	1989	1885.91	11.2146	0.758998
lcl|NC_035780.1_cds_XP_022346024.1_64	2007	1903.91	0	0
lcl|NC_035780.1_cds_XP_022346059.1_65	1941	1837.91	0	0
lcl|NC_035780.1_cds_XP_022346082.1_66	1815	1711.91	5.1798	0.386198
lcl|NC_035780.1_cds_XP_022346068.1_67	1893	1789.91	0	0
lcl|NC_035780.1_cds_XP_022346076.1_68	1893	1789.91	0	0
lcl|NC_035780.1_cds_XP_022346011.1_69	2010	1906.91	5.55899	0.372087
lcl|NC_035780.1_cds_XP_022346018.1_70	2010	1906.91	5.55899	0.372087
lcl|NC_035780.1_cds_XP_022317871.1_71	2562	2458.91	599	31.093
lcl|NC_035780.1_cds_XP_022345582.1_72	522	418.959	66	20.1072
lcl|NC_035780.1_cds_XP_022345588.1_73	522	418.959	66	20.1072
lcl|NC_035780.1_cds_XP_022300728.1_74	639	535.95	9	2.14337
lcl|NC_035780.1_cds_XP_022300735.1_75	558	454.95	0	0
lcl|NC_035780.1_cds_XP_022300741.1_76	540	436.95	0	0
lcl|NC_035780.1_cds_XP_022300678.1_77	2412	2308.91	33.2688	1.83911
lcl|NC_035780.1_cds_XP_022300686.1_78	2412	2308.91	33.2688	1.83911
lcl|NC_035780.1_cds_XP_022300673.1_79	2481	2377.91	34.4625	1.84982
lcl|NC_035780.1_cds_XP_022300710.1_80	603	499.95	58.6803	14.9811
lcl|NC_035780.1_cds_XP_022300704.1_81	690	586.939	63.7481	13.8628
lcl|NC_035780.1_cds_XP_022300696.1_82	690	586.939	0	0
lcl|NC_035780.1_cds_XP_022300718.1_83	588	484.95	37.5717	9.88875
lcl|NC_035780.1_cds_XP_022332622.1_84	924	820.911	69.1463	10.7511
lcl|NC_035780.1_cds_XP_022332541.1_85	924	820.911	245.854	38.226
lcl|NC_035780.1_cds_XP_022291989.1_86	762	658.939	30	5.81104
lcl|NC_035780.1_cds_XP_022291996.1_87	762	658.939	30	5.81104
lcl|NC_035780.1_cds_XP_022292003.1_88	762	658.939	30	5.81104
lcl|NC_035780.1_cds_XP_022292017.1_89	372	269.146	297	140.847
lcl|NC_035780.1_cds_XP_022334115.1_90	1038	934.911	2	0.273047
lcl|NC_035780.1_cds_XP_022334107.1_91	1197	1093.91	0	0
lcl|NC_035780.1_cds_XP_022334137.1_92	1197	1093.91	0	0
lcl|NC_035780.1_cds_XP_022334144.1_93	1197	1093.91	1.33333	0.155573
lcl|NC_035780.1_cds_XP_022334127.1_94	1197	1093.91	1.33333	0.155573
lcl|NC_035780.1_cds_XP_022334154.1_95	1197	1093.91	1.33333	0.155573
lcl|NC_035780.1_cds_XP_022334095.1_96	1200	1096.91	6	0.698165
lcl|NC_035780.1_cds_XP_022311203.1_97	1701	1597.91	87	6.94936
lcl|NC_035780.1_cds_XP_022310582.1_98	1605	1501.91	4.5	0.382425
lcl|NC_035780.1_cds_XP_022310664.1_99	1605	1501.91	4.5	0.382425
lcl|NC_035780.1_cds_XP_022311175.1_100	1479	1375.91	17	1.57702
lcl|NC_035780.1_cds_XP_022293816.1_101	2091	1987.91	4	0.256827
