target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1906	6	0.451781
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1090	0	0
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1078	0	0
lcl|NC_035780.1_cds_XP_022305632.1_4	801	697.017	1	0.2059
lcl|NC_035780.1_cds_XP_022317406.1_5	693	589.032	53	12.9133
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1669	5	0.429945
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2179	4	0.263453
lcl|NC_035780.1_cds_XP_022295762.1_8	432	328.141	0	0
lcl|NC_035780.1_cds_XP_022295750.1_9	936	832.003	0	0
lcl|NC_035780.1_cds_XP_022337778.1_10	432	328.141	0	0
lcl|NC_035780.1_cds_XP_022325096.1_11	432	328.141	1	0.437361
lcl|NC_035780.1_cds_XP_022330653.1_12	432	328.141	0	0
lcl|NC_035780.1_cds_XP_022307863.1_13	987	883.003	9	1.46279
lcl|NC_035780.1_cds_XP_022301465.1_14	945	841.003	7	1.19454
lcl|NC_035780.1_cds_XP_022301545.1_15	915	811.003	0	0
lcl|NC_035780.1_cds_XP_022301617.1_16	915	811.003	0	0
lcl|NC_035780.1_cds_XP_022301726.1_17	912	808.003	0	0
lcl|NC_035780.1_cds_XP_022301276.1_18	903	799.003	698	125.374
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1924	294.584	21.9737
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1918	149.827	11.2109
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2044	311.927	21.9014
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2044	311.927	21.9014
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1717	672.734	56.2306
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	970.003	188	27.8154
lcl|NC_035780.1_cds_XP_022289394.1_25	5082	4978	472.5	13.6222
lcl|NC_035780.1_cds_XP_022289401.1_26	5082	4978	472.5	13.6222
lcl|NC_035780.1_cds_XP_022289413.1_27	2379	2275	2641	166.604
lcl|NC_035780.1_cds_XP_022337178.1_28	1983	1879	183	13.9773
lcl|NC_035780.1_cds_XP_022307508.1_29	1365	1261	334	38.0129
lcl|NC_035780.1_cds_XP_022290809.1_30	1143	1039	47.7702	6.59843
lcl|NC_035780.1_cds_XP_022290816.1_31	1056	952.003	12.8965	1.94416
lcl|NC_035780.1_cds_XP_022290824.1_32	1056	952.003	28.3333	4.27129
lcl|NC_035780.1_cds_XP_022315191.1_33	1092	988.003	4	0.581035
lcl|NC_035780.1_cds_XP_022290115.1_34	330	226.389	764	484.326
lcl|NC_035780.1_cds_XP_022312709.1_35	3921	3817	260.798	9.80579
lcl|NC_035780.1_cds_XP_022312581.1_36	4002	3898	622.202	22.9081
lcl|NC_035780.1_cds_XP_022308054.1_37	678	574.032	98	24.5014
lcl|NC_035780.1_cds_XP_022301760.1_38	1368	1264	9	1.02187
lcl|NC_035780.1_cds_XP_022290427.1_39	1878	1774	0.00450247	0.000364248
lcl|NC_035780.1_cds_XP_022290433.1_40	1866	1762	14.9955	1.22139
lcl|NC_035780.1_cds_XP_022306258.1_41	1770	1666	16	1.3783
lcl|NC_035780.1_cds_XP_022306268.1_42	1764	1660	0	0
lcl|NC_035780.1_cds_XP_022340680.1_43	2601	2497	44.5	2.55765
lcl|NC_035780.1_cds_XP_022340691.1_44	2601	2497	44.5	2.55765
lcl|NC_035780.1_cds_XP_022340707.1_45	2445	2341	68	4.16876
lcl|NC_035780.1_cds_XP_022340720.1_46	612	508.032	46	12.9947
lcl|NC_035780.1_cds_XP_022308197.1_47	11961	11857	561	6.79029
lcl|NC_035780.1_cds_XP_022308214.1_48	3693	3589	789.909	31.5867
lcl|NC_035780.1_cds_XP_022308208.1_49	3723	3619	109.091	4.32612
lcl|NC_035780.1_cds_XP_022345918.1_50	2454	2350	1180	72.0632
lcl|NC_035780.1_cds_XP_022345977.1_51	2055	1951	0	0
lcl|NC_035780.1_cds_XP_022345984.1_52	2055	1951	0	0
lcl|NC_035780.1_cds_XP_022346005.1_53	2013	1909	0	0
lcl|NC_035780.1_cds_XP_022345997.1_54	2031	1927	0	0
lcl|NC_035780.1_cds_XP_022345966.1_55	2130	2026	0	0
lcl|NC_035780.1_cds_XP_022345932.1_56	2148	2044	0	0
lcl|NC_035780.1_cds_XP_022345941.1_57	2148	2044	0	0
lcl|NC_035780.1_cds_XP_022345950.1_58	2148	2044	0	0
lcl|NC_035780.1_cds_XP_022345958.1_59	2148	2044	0	0
lcl|NC_035780.1_cds_XP_022346041.1_60	1962	1858	0	0
lcl|NC_035780.1_cds_XP_022346050.1_61	1950	1846	0	0
lcl|NC_035780.1_cds_XP_022345991.1_62	2034	1930	0	0
lcl|NC_035780.1_cds_XP_022346033.1_63	1989	1885	15.1014	1.14975
lcl|NC_035780.1_cds_XP_022346024.1_64	2007	1903	0	0
lcl|NC_035780.1_cds_XP_022346059.1_65	1941	1837	0	0
lcl|NC_035780.1_cds_XP_022346082.1_66	1815	1711	7.02344	0.589114
lcl|NC_035780.1_cds_XP_022346068.1_67	1893	1789	9.29228	0.745438
lcl|NC_035780.1_cds_XP_022346076.1_68	1893	1789	9.29228	0.745438
lcl|NC_035780.1_cds_XP_022346011.1_69	2010	1906	8.14531	0.613316
lcl|NC_035780.1_cds_XP_022346018.1_70	2010	1906	8.14531	0.613316
lcl|NC_035780.1_cds_XP_022317871.1_71	2562	2458	513	29.9526
lcl|NC_035780.1_cds_XP_022345582.1_72	522	418.072	32	10.985
lcl|NC_035780.1_cds_XP_022345588.1_73	522	418.072	32	10.985
lcl|NC_035780.1_cds_XP_022300728.1_74	639	535.032	0	0
lcl|NC_035780.1_cds_XP_022300735.1_75	558	454.063	0	0
lcl|NC_035780.1_cds_XP_022300741.1_76	540	436.072	2	0.658221
lcl|NC_035780.1_cds_XP_022300678.1_77	2412	2308	8.49208e-06	5.28054e-07
lcl|NC_035780.1_cds_XP_022300686.1_78	2412	2308	8.49208e-06	5.28054e-07
lcl|NC_035780.1_cds_XP_022300673.1_79	2481	2377	147	8.8754
lcl|NC_035780.1_cds_XP_022300710.1_80	603	499.053	83.7625	24.0881
lcl|NC_035780.1_cds_XP_022300704.1_81	690	586.032	68.6005	16.7999
lcl|NC_035780.1_cds_XP_022300696.1_82	690	586.032	0	0
lcl|NC_035780.1_cds_XP_022300718.1_83	588	484.053	6.63702	1.9678
lcl|NC_035780.1_cds_XP_022332622.1_84	924	820.003	93.0526	16.286
lcl|NC_035780.1_cds_XP_022332541.1_85	924	820.003	178.947	31.3192
lcl|NC_035780.1_cds_XP_022291989.1_86	762	658.032	18.3333	3.99848
lcl|NC_035780.1_cds_XP_022291996.1_87	762	658.032	18.3333	3.99848
lcl|NC_035780.1_cds_XP_022292003.1_88	762	658.032	18.3333	3.99848
lcl|NC_035780.1_cds_XP_022292017.1_89	372	268.228	160	85.6083
lcl|NC_035780.1_cds_XP_022334115.1_90	1038	934.003	3.12577	0.480296
lcl|NC_035780.1_cds_XP_022334107.1_91	1197	1093	2.36047	0.309939
lcl|NC_035780.1_cds_XP_022334137.1_92	1197	1093	4.51376	0.592677
lcl|NC_035780.1_cds_XP_022334144.1_93	1197	1093	0	0
lcl|NC_035780.1_cds_XP_022334127.1_94	1197	1093	0	0
lcl|NC_035780.1_cds_XP_022334154.1_95	1197	1093	0	0
lcl|NC_035780.1_cds_XP_022334095.1_96	1200	1096	5	0.654724
lcl|NC_035780.1_cds_XP_022311203.1_97	1701	1597	68	6.11088
lcl|NC_035780.1_cds_XP_022310582.1_98	1605	1501	8.5	0.812714
lcl|NC_035780.1_cds_XP_022310664.1_99	1605	1501	8.5	0.812714
lcl|NC_035780.1_cds_XP_022311175.1_100	1479	1375	11	1.14813
lcl|NC_035780.1_cds_XP_022293816.1_101	2091	1987	4	0.288909
lcl|NC_035780.1_cds_XP_022308341.1_102	597	493.053	4	1.1643
lcl|NC_035780.1_cds_XP_022340295.1_103	6399	6295	172	3.92132
lcl|NC_035780.1_cds_XP_022306776.1_104	747	643.032	3	0.669559
lcl|NC_035780.1_cds_XP_022343594.1_105	4608	4504	66.6732	2.12448
lcl|NC_035780.1_cds_XP_022343603.1_106	4605	4501	2078.33	66.2681
lcl|NC_035780.1_cds_XP_022343614.1_107	447	343.127	70	29.2781
lcl|NC_035780.1_cds_XP_022313574.1_108	1971	1867	13	0.999306
lcl|NC_035780.1_cds_XP_022337421.1_109	2079	1975	135	9.80994
lcl|NC_035780.1_cds_XP_022337430.1_110	1878	1774	0	0
lcl|NC_035780.1_cds_XP_022314208.1_111	534	430.072	17	5.67293
lcl|NC_035780.1_cds_XP_022314198.1_112	537	433.072	0	0
lcl|NC_035780.1_cds_XP_022314224.1_113	372	268.228	108	57.7856
lcl|NC_035780.1_cds_XP_022302913.1_114	1188	1084	6	0.794367
lcl|NC_035780.1_cds_XP_022344074.1_115	3219	3115	1619	74.5914
lcl|NC_035780.1_cds_XP_022296047.1_116	645	541.032	11.4435	3.03555
lcl|NC_035780.1_cds_XP_022296053.1_117	627	523.032	546.556	149.971
lcl|NC_035780.1_cds_XP_022291121.1_118	603	499.053	2	0.575153
lcl|NC_035780.1_cds_XP_022291113.1_119	630	526.032	0	0
lcl|NC_035780.1_cds_XP_022291104.1_120	780	676.032	0	0
lcl|NC_035780.1_cds_XP_022286889.1_121	789	685.017	1.33333	0.279343
lcl|NC_035780.1_cds_XP_022286898.1_122	789	685.017	1.33333	0.279343
lcl|NC_035780.1_cds_XP_022286902.1_123	789	685.017	1.33333	0.279343
lcl|NC_035780.1_cds_XP_022286909.1_124	789	685.017	1.33333	0.279343
lcl|NC_035780.1_cds_XP_022286916.1_125	789	685.017	1.33333	0.279343
lcl|NC_035780.1_cds_XP_022286927.1_126	789	685.017	1.33333	0.279343
lcl|NC_035780.1_cds_XP_022330721.1_127	1368	1264	75.9366	8.6219
lcl|NC_035780.1_cds_XP_022330815.1_128	1419	1315	0	0
lcl|NC_035780.1_cds_XP_022330852.1_129	3540	3436	143.293	5.98509
lcl|NC_035780.1_cds_XP_022323025.1_130	360	256.261	3	1.68011
