chr	start	end	mean
cvirNC_007175.2	1	1623	391.711256
cvirNC_007175.2	2558	3429	317.3457539
cvirNC_007175.2	3647	4859	572.9543073
cvirNC_007175.2	4897	5589	469.952397
cvirNC_007175.2	9518	10192	168.1429404
cvirNC_007175.2	10295	11290	244.95809
cvirNC_007175.2	11515	12864	281.93896
cvirNC_007175.2	13126	14793	197.822747
cvirNC_007175.2	14807	15268	118.864439
cvirNC_007175.2	15352	15705	193.1985
cvirNC_007175.2	15959	16894	293.486734
cvirNC_007175.2	16897	17176	158.308539
cvirNC_035780.1	13578	14594	3.8189655
cvirNC_035780.1	28961	33324	11.6763567
cvirNC_035780.1	43111	66897	13.2888566
cvirNC_035780.1	85606	95254	13.2628617
cvirNC_035780.1	99840	106460	11.7398871
cvirNC_035780.1	108305	110077	19.958436
cvirNC_035780.1	151859	157536	9.6591552
cvirNC_035780.1	163809	183798	12.715601
cvirNC_035780.1	164820	166793	5.9946872
cvirNC_035780.1	169468	170178	1.3010232
cvirNC_035780.1	190449	193594	10.2903312
cvirNC_035780.1	204243	207743	17.3095966
cvirNC_035780.1	214891	215322	5.689417
cvirNC_035780.1	219451	225076	10.2037397
cvirNC_035780.1	227734	231964	9.6876094
cvirNC_035780.1	232863	240144	7.416263
cvirNC_035780.1	245532	253042	12.8288961
cvirNC_035780.1	258108	272839	13.23852
cvirNC_035780.1	273173	278473	10.5042702
cvirNC_035780.1	281547	293861	14.8546143579983
cvirNC_035780.1	297131	311654	12.6575166
cvirNC_035780.1	315522	340261	12.1228848
cvirNC_035780.1	341638	349379	14.5065686
cvirNC_035780.1	349425	360957	8.29080193462826
cvirNC_035780.1	366837	370670	13.7553821
cvirNC_035780.1	372174	376974	32.1017172
cvirNC_035780.1	380454	392035	14.9801129
cvirNC_035780.1	394983	409280	13.29629
cvirNC_035780.1	409477	415627	8.6610386
cvirNC_035780.1	444907	453310	8.8399194
cvirNC_035780.1	485479	500367	9.70703135241277
cvirNC_035780.1	502147	508829	13.7617175
cvirNC_035780.1	511797	526500	12.0558406
cvirNC_035780.1	526525	542191	13.341591
cvirNC_035780.1	527850	534541	6.0768686
cvirNC_035780.1	544088	573497	12.0114412
cvirNC_035780.1	573630	585444	13.34995
cvirNC_035780.1	604924	622983	17.6581209
cvirNC_035780.1	625970	662443	17.7730342
cvirNC_035780.1	663525	671754	9.7713983
cvirNC_035780.1	671959	675504	7.7062269
cvirNC_035780.1	682820	730982	7.81131879
cvirNC_035780.1	686400	724737	10.9740266
cvirNC_035780.1	731072	776437	6.7564256
cvirNC_035780.1	777050	782032	10.5619349
cvirNC_035780.1	786318	790538	12.6436904793382
cvirNC_035780.1	790827	792748	5.4047323
cvirNC_035780.1	794545	800915	11.4247455
cvirNC_035780.1	802779	829369	9.8290567
cvirNC_035780.1	831309	836828	8.9601665
cvirNC_035780.1	841204	844397	9.9437128
cvirNC_035780.1	848082	854748	13.0938346
cvirNC_035780.1	860083	865303	12.0437084
cvirNC_035780.1	866950	870208	13.3209902
cvirNC_035780.1	873286	876502	14.3775929
cvirNC_035780.1	884611	885996	11.6115242
cvirNC_035780.1	886637	897738	7.9518596
cvirNC_035780.1	900326	903430	10.4761069
cvirNC_035780.1	904241	905671	22.5304176
cvirNC_035780.1	908503	921086	8.6212919
cvirNC_035780.1	921228	923103	6.3646091
cvirNC_035780.1	927409	934670	13.5648506
cvirNC_035780.1	938662	951816	10.820989
cvirNC_035780.1	957967	963094	4.42060474
cvirNC_035780.1	962702	964602	6.0136249
cvirNC_035780.1	970363	981628	14.8527549
cvirNC_035780.1	984471	995318	11.406401
cvirNC_035780.1	995489	1008165	8.4943662
cvirNC_035780.1	1038480	1053423	14.5873602952797
cvirNC_035780.1	1101448	1190874	6.67967474722115
cvirNC_035780.1	1229194	1261514	3.6832777
cvirNC_035780.1	1280831	1282416	1.8733236
cvirNC_035780.1	1321893	1323311	9.1963636
cvirNC_035780.1	1332677	1336216	15.3453187
cvirNC_035780.1	1357834	1359771	7.8608224
cvirNC_035780.1	1389975	1399847	12.0770613
cvirNC_035780.1	1432944	1458091	5.2790669
cvirNC_035780.1	1449970	1456485	15.5964307
cvirNC_035780.1	1503802	1513830	2.9829575
cvirNC_035780.1	1513765	1522483	15.0463956
cvirNC_035780.1	1543472	1545772	14.0978887
cvirNC_035780.1	1547067	1548720	15.7913522
cvirNC_035780.1	1575100	1575558	24.5319562
cvirNC_035780.1	1584884	1591482	19.0965924
cvirNC_035780.1	1630358	1641055	13.726155
cvirNC_035780.1	1674069	1678920	11.0367723
cvirNC_035780.1	1720303	1741095	15.3534309
cvirNC_035780.1	1763699	1778839	15.5295551
cvirNC_035780.1	1821446	1834660	11.8588471
cvirNC_035780.1	1838755	1841281	14.6380679
cvirNC_035780.1	1840607	1842557	11.2286877
cvirNC_035780.1	1848220	1849477	13.4237946
cvirNC_035780.1	1856841	1863697	2.16929785
cvirNC_035780.1	1874661	1878188	10.9566509
cvirNC_035780.1	1878806	1881983	6.7448716
cvirNC_035780.1	1882143	1890106	20.5822206
cvirNC_035780.1	1892805	1898535	8.9167468
