gene_name,difference,females_controls_max_transcript_counts,females_exposed_max_transcript_counts,GO,p.value,product
NA,NA,NA,NA,GO:0051234,2.0e-10,NA
LOC111099499,1,0,1,GO:0007155,2.6e-10,uncharacterized LOC111099499
LOC111100079,1,1,2,GO:0007155,2.6e-10,hemicentin-1-like
LOC111100081,1,0,1,GO:0007155,2.6e-10,basement membrane-specific heparan sulfate proteoglycan core protein-like
LOC111100084,1,0,1,GO:0007155,2.6e-10,cell adhesion molecule 2-like
LOC111100393,1,3,4,GO:0007155,2.6e-10,disintegrin and metalloproteinase domain-containing protein 12-like
LOC111101171,1,1,2,GO:0007155,2.6e-10,sushi
LOC111101298,1,1,2,GO:0007155,2.6e-10,hemicentin-1-like
LOC111101500,1,0,1,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 10
LOC111101651,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111101651
LOC111101677,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111101677
LOC111104078,1,1,2,GO:0007155,2.6e-10,protocadherin gamma-B7-like
LOC111104340,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111104340
LOC111104545,1,2,3,GO:0007155,2.6e-10,beta-1
LOC111104689,1,4,5,GO:0007155,2.6e-10,spondin-1-like
LOC111104773,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111104773
LOC111104879,1,0,1,GO:0007155,2.6e-10,uncharacterized LOC111104879
LOC111105924,1,1,2,GO:0007155,2.6e-10,integrin beta-like protein D
LOC111105948,1,1,2,GO:0007155,2.6e-10,prion-like-(Q/N-rich) domain-bearing protein 25
LOC111106240,1,9,10,GO:0007155,2.6e-10,uncharacterized LOC111106240
LOC111106244,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111106244
LOC111106333,2,5,7,GO:0007155,2.6e-10,prion-like-(Q/N-rich) domain-bearing protein 25
LOC111106412,1,1,2,GO:0007155,2.6e-10,receptor-type tyrosine-protein phosphatase T-like
LOC111108428,1,3,4,GO:0007155,2.6e-10,prion-like-(Q/N-rich) domain-bearing protein 25
LOC111108507,1,1,2,GO:0007155,2.6e-10,cell death abnormality protein 1-like
LOC111108943,1,0,1,GO:0007155,2.6e-10,cell death abnormality protein 1-like
LOC111109487,1,1,2,GO:0007155,2.6e-10,tenascin-like
LOC111109728,1,0,1,GO:0007155,2.6e-10,tenascin-like
LOC111111161,1,1,2,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 10
LOC111111280,1,0,1,GO:0007155,2.6e-10,uncharacterized LOC111111280
LOC111111392,3,17,20,GO:0007155,2.6e-10,integrin alpha-2-like
LOC111111481,1,0,1,GO:0007155,2.6e-10,spondin-1-like
LOC111111818,1,3,4,GO:0007155,2.6e-10,uncharacterized LOC111111818
LOC111111872,1,2,3,GO:0007155,2.6e-10,uncharacterized LOC111111872
LOC111111873,1,2,3,GO:0007155,2.6e-10,uncharacterized LOC111111873
LOC111112086,1,2,3,GO:0007155,2.6e-10,uncharacterized LOC111112086
LOC111112504,1,2,3,GO:0007155,2.6e-10,uncharacterized LOC111112504
LOC111112605,2,24,26,GO:0007155,2.6e-10,talin-1-like
LOC111112757,3,0,3,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 10
LOC111112926,1,3,4,GO:0007155,2.6e-10,usherin-like
LOC111113294,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111113294
LOC111114375,1,0,1,GO:0007155,2.6e-10,scavenger receptor class F member 2-like
LOC111114709,1,1,2,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 10
LOC111114985,1,1,2,GO:0007155,2.6e-10,collagen alpha-5(IV) chain-like
LOC111114994,1,1,2,GO:0007155,2.6e-10,uncharacterized LOC111114994
LOC111115120,2,1,3,GO:0007155,2.6e-10,uncharacterized LOC111115120
LOC111115701,1,0,1,GO:0007155,2.6e-10,C-type lectin domain family 3 member A-like
LOC111116565,1,0,1,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 11
LOC111117048,1,1,2,GO:0007155,2.6e-10,receptor-type tyrosine-protein phosphatase epsilon-like
LOC111117051,1,1,2,GO:0007155,2.6e-10,multiple epidermal growth factor-like domains protein 10
