target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1921.09	238	28.6712
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1105.09	63.9335	13.389
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1093.09	114.067	24.1501
lcl|NC_035780.1_cds_XP_022305632.1_4	801	712.09	112	36.3998
lcl|NC_035780.1_cds_XP_022317406.1_5	693	604.09	90	34.4792
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1684.09	316	43.4248
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2194.09	334	35.2296
lcl|NC_035780.1_cds_XP_022295762.1_8	432	343.103	17.1152	11.5445
lcl|NC_035780.1_cds_XP_022295750.1_9	936	847.09	119.524	32.6545
lcl|NC_035780.1_cds_XP_022337778.1_10	432	343.103	53.8342	36.312
lcl|NC_035780.1_cds_XP_022325096.1_11	432	343.103	102.434	69.0935
lcl|NC_035780.1_cds_XP_022330653.1_12	432	343.103	21.6164	14.5806
lcl|NC_035780.1_cds_XP_022307863.1_13	987	898.09	114.502	29.5059
lcl|NC_035780.1_cds_XP_022301465.1_14	945	856.09	108.287	29.2735
lcl|NC_035780.1_cds_XP_022301545.1_15	915	826.09	0	0
lcl|NC_035780.1_cds_XP_022301617.1_16	915	826.09	0	0
lcl|NC_035780.1_cds_XP_022301726.1_17	912	823.09	88.2106	24.8022
lcl|NC_035780.1_cds_XP_022301276.1_18	903	814.09	143	40.6518
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1939.09	184.121	21.9747
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1933.09	169.835	20.3325
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2059.09	59.6757	6.70715
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2059.09	59.6757	6.70715
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1732.09	73.6921	9.84616
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	985.09	120	28.1917
lcl|NC_035780.1_cds_XP_022289394.1_25	5082	4993.09	312.262	14.4732
lcl|NC_035780.1_cds_XP_022289401.1_26	5082	4993.09	312.262	14.4732
lcl|NC_035780.1_cds_XP_022289413.1_27	2379	2290.09	406	41.0289
lcl|NC_035780.1_cds_XP_022337178.1_28	1983	1894.09	320	39.099
lcl|NC_035780.1_cds_XP_022307508.1_29	1365	1276.09	163	29.5612
lcl|NC_035780.1_cds_XP_022290809.1_30	1143	1054.09	152.814	33.5506
lcl|NC_035780.1_cds_XP_022290816.1_31	1056	967.09	149.35	35.7399
lcl|NC_035780.1_cds_XP_022290824.1_32	1056	967.09	79.8369	19.1053
lcl|NC_035780.1_cds_XP_022315191.1_33	1092	1003.09	150	34.6073
lcl|NC_035780.1_cds_XP_022290115.1_34	330	241.122	40	38.3919
lcl|NC_035780.1_cds_XP_022312709.1_35	3921	3832.09	705.05	42.5795
lcl|NC_035780.1_cds_XP_022312581.1_36	4002	3913.09	588.95	34.8317
lcl|NC_035780.1_cds_XP_022308054.1_37	678	589.09	112	44
lcl|NC_035780.1_cds_XP_022301760.1_38	1368	1279.09	176	31.844
lcl|NC_035780.1_cds_XP_022290427.1_39	1878	1789.09	303	39.1946
lcl|NC_035780.1_cds_XP_022290433.1_40	1866	1777.09	0	0
lcl|NC_035780.1_cds_XP_022306258.1_41	1770	1681.09	260	35.793
lcl|NC_035780.1_cds_XP_022306268.1_42	1764	1675.09	0	0
lcl|NC_035780.1_cds_XP_022340680.1_43	2601	2512.09	209	19.2543
lcl|NC_035780.1_cds_XP_022340691.1_44	2601	2512.09	209	19.2543
lcl|NC_035780.1_cds_XP_022340707.1_45	2445	2356.09	424	41.6476
lcl|NC_035780.1_cds_XP_022340720.1_46	612	523.09	407	180.067
