"chr" "start" "end" "difference"
"1" "cvirNC_035780.1" 502147 508829 1
"2" "cvirNC_035780.1" 682820 730982 1
"3" "cvirNC_035780.1" 802779 829369 -1
"4" "cvirNC_035780.1" 860083 865303 -1
"5" "cvirNC_035780.1" 2028071 2046722 2
"6" "cvirNC_035780.1" 2413119 2424450 1
"7" "cvirNC_035780.1" 2500364 2508028 1
"8" "cvirNC_035780.1" 2653510 2664271 1
"9" "cvirNC_035780.1" 2897281 2904164 -1
"10" "cvirNC_035780.1" 2937551 2937621 -1
"11" "cvirNC_035780.1" 3012612 3016387 1
"12" "cvirNC_035780.1" 3196099 3211319 3
"13" "cvirNC_035780.1" 3211541 3232507 5
"14" "cvirNC_035780.1" 3360585 3366567 -1
"15" "cvirNC_035780.1" 3519458 3522700 -5
"16" "cvirNC_035780.1" 3559448 3572274 2
"17" "cvirNC_035780.1" 3939048 3949872 1
"18" "cvirNC_035780.1" 3996432 4013875 1
"19" "cvirNC_035780.1" 4106001 4111699 1
"20" "cvirNC_035780.1" 4111587 4123104 2
"21" "cvirNC_035780.1" 4168100 4178564 1
"22" "cvirNC_035780.1" 4342763 4354904 -1
"23" "cvirNC_035780.1" 4354977 4367161 -1
"24" "cvirNC_035780.1" 4681704 4694463 2
"25" "cvirNC_035780.1" 4749521 4779422 1
"26" "cvirNC_035780.1" 4801569 4815766 -1
"27" "cvirNC_035780.1" 5300793 5324822 2
"28" "cvirNC_035780.1" 5404872 5420338 1
"29" "cvirNC_035780.1" 5527458 5918223 1
"30" "cvirNC_035780.1" 5748110 5764084 1
"31" "cvirNC_035780.1" 5848333 5860906 2
"32" "cvirNC_035780.1" 5986885 5995339 1
"33" "cvirNC_035780.1" 6029253 6044691 -1
"34" "cvirNC_035780.1" 6079947 6105371 1
"35" "cvirNC_035780.1" 6132120 6132550 -1
"36" "cvirNC_035780.1" 6337712 6355573 1
"37" "cvirNC_035780.1" 6437734 6448112 1
"38" "cvirNC_035780.1" 6474130 6609428 1
"39" "cvirNC_035780.1" 6479778 6493047 1
"40" "cvirNC_035780.1" 6536379 6539633 -1
"41" "cvirNC_035780.1" 6600411 6604956 1
"42" "cvirNC_035780.1" 6772926 6783600 -1
"43" "cvirNC_035780.1" 6826798 6832888 -1
"44" "cvirNC_035780.1" 7235566 7250182 -1
"45" "cvirNC_035780.1" 7448379 7460184 1
"46" "cvirNC_035780.1" 7462520 7484110 -1
"47" "cvirNC_035780.1" 7748433 7759007 1
"48" "cvirNC_035780.1" 7862439 7869860 1
"49" "cvirNC_035780.1" 7875702 7894869 -1
"50" "cvirNC_035780.1" 8104314 8116455 1
"51" "cvirNC_035780.1" 8131059 8135404 -2
"52" "cvirNC_035780.1" 8181103 8186242 -1
"53" "cvirNC_035780.1" 8199563 8237332 2
"54" "cvirNC_035780.1" 8292814 8306980 1
"55" "cvirNC_035780.1" 8492273 8502116 -1
"56" "cvirNC_035780.1" 8591587 8595577 -1
"57" "cvirNC_035780.1" 8612812 8620976 1
"58" "cvirNC_035780.1" 8635765 8643465 1
"59" "cvirNC_035780.1" 8644724 8669554 2
"60" "cvirNC_035780.1" 8717138 8727459 1
"61" "cvirNC_035780.1" 8734216 8748560 -3
"62" "cvirNC_035780.1" 8752736 8768743 1
"63" "cvirNC_035780.1" 8778017 8782462 1
"64" "cvirNC_035780.1" 8783899 8787293 2
"65" "cvirNC_035780.1" 8891942 8916867 6
"66" "cvirNC_035780.1" 8929145 8941284 1
"67" "cvirNC_035780.1" 9011563 9043404 1
"68" "cvirNC_035780.1" 9175214 9177793 1
"69" "cvirNC_035780.1" 9192178 9194613 1
"70" "cvirNC_035780.1" 9288063 9301976 1
"71" "cvirNC_035780.1" 9333963 9338256 1
"72" "cvirNC_035780.1" 9364226 9370196 1
"73" "cvirNC_035780.1" 9425057 9428046 2
"74" "cvirNC_035780.1" 9457293 9462855 1
"75" "cvirNC_035780.1" 9547661 9597039 1
"76" "cvirNC_035780.1" 9600306 9634301 1
"77" "cvirNC_035780.1" 9779216 9791313 -1
"78" "cvirNC_035780.1" 9806340 9806413 -4
"79" "cvirNC_035780.1" 9810318 9810390 -2
"80" "cvirNC_035780.1" 9923742 9927788 -2
"81" "cvirNC_035780.1" 9932790 9941108 -2
"82" "cvirNC_035780.1" 9943497 9949595 1
"83" "cvirNC_035780.1" 9949034 9956433 1
"84" "cvirNC_035780.1" 9957359 9992379 3
"85" "cvirNC_035780.1" 9996253 10055348 2
"86" "cvirNC_035780.1" 10057620 10059733 1
"87" "cvirNC_035780.1" 10200744 10214756 2
"88" "cvirNC_035780.1" 10365133 10370853 1
"89" "cvirNC_035780.1" 10374294 10386940 -1
"90" "cvirNC_035780.1" 10467394 10475230 1
"91" "cvirNC_035780.1" 10507300 10515888 1
"92" "cvirNC_035780.1" 10537627 10547456 1
"93" "cvirNC_035780.1" 10549432 10554574 1
"94" "cvirNC_035780.1" 10575356 10588001 -1
"95" "cvirNC_035780.1" 10588634 10591923 -1
"96" "cvirNC_035780.1" 10687646 10694391 1
"97" "cvirNC_035780.1" 10739576 10744853 1
"98" "cvirNC_035780.1" 10783587 10809680 3
"99" "cvirNC_035780.1" 10814711 10827874 1
"100" "cvirNC_035780.1" 10930684 10945734 1
"101" "cvirNC_035780.1" 10982520 11011853 12
"102" "cvirNC_035780.1" 11435856 11462007 1
"103" "cvirNC_035780.1" 11521486 11529987 -1
"104" "cvirNC_035780.1" 11696980 11701681 -1
"105" "cvirNC_035780.1" 11703949 11714074 1
"106" "cvirNC_035780.1" 11776188 11783936 1
"107" "cvirNC_035780.1" 11853320 11875036 -1
"108" "cvirNC_035780.1" 11878270 11884755 1
"109" "cvirNC_035780.1" 12018507 12035048 1
"110" "cvirNC_035780.1" 12162824 12223820 3
"111" "cvirNC_035780.1" 12261347 12269032 3
"112" "cvirNC_035780.1" 12289494 12292916 -1
"113" "cvirNC_035780.1" 12472087 12473292 -1
"114" "cvirNC_035780.1" 12478142 12491701 1
"115" "cvirNC_035780.1" 12497272 12560411 1
"116" "cvirNC_035780.1" 12522316 12547437 -1
"117" "cvirNC_035780.1" 12601307 12627692 1
"118" "cvirNC_035780.1" 12630576 12697104 1
"119" "cvirNC_035780.1" 12848461 12852461 1
"120" "cvirNC_035780.1" 12870986 12876196 1
"121" "cvirNC_035780.1" 12896160 12897207 1
"122" "cvirNC_035780.1" 12938600 12953577 2
"123" "cvirNC_035780.1" 13244460 13262669 1
"124" "cvirNC_035780.1" 13347363 13351553 -1
"125" "cvirNC_035780.1" 13754789 13760845 2
"126" "cvirNC_035780.1" 13868083 13884744 1
"127" "cvirNC_035780.1" 13935566 13945819 1
"128" "cvirNC_035780.1" 14017674 14061247 1
"129" "cvirNC_035780.1" 14020762 14066106 -1
"130" "cvirNC_035780.1" 14177177 14185871 1
"131" "cvirNC_035780.1" 14187682 14209323 3
"132" "cvirNC_035780.1" 14228694 14239850 1
"133" "cvirNC_035780.1" 14262889 14284982 1
"134" "cvirNC_035780.1" 14371726 14375349 1
"135" "cvirNC_035780.1" 14548251 14572076 6
"136" "cvirNC_035780.1" 14586851 14593533 3
"137" "cvirNC_035780.1" 14943770 14946638 1
"138" "cvirNC_035780.1" 15322337 15324317 1
"139" "cvirNC_035780.1" 15350536 15428837 1
"140" "cvirNC_035780.1" 15669756 15674561 1
"141" "cvirNC_035780.1" 15748182 15756288 1
"142" "cvirNC_035780.1" 15782444 15788948 1
"143" "cvirNC_035780.1" 15888089 15916772 1
"144" "cvirNC_035780.1" 15924594 16028481 1
"145" "cvirNC_035780.1" 15967722 15996583 2
"146" "cvirNC_035780.1" 16154787 16168428 6
"147" "cvirNC_035780.1" 16217205 16223478 1
"148" "cvirNC_035780.1" 16532669 16536443 1
"149" "cvirNC_035780.1" 16649155 16673001 2
"150" "cvirNC_035780.1" 16705694 16712722 1
"151" "cvirNC_035780.1" 17057575 17063111 1
"152" "cvirNC_035780.1" 17167045 17170903 1
"153" "cvirNC_035780.1" 17236828 17264067 2
"154" "cvirNC_035780.1" 17440952 17455668 1
"155" "cvirNC_035780.1" 17457152 17457223 -1
"156" "cvirNC_035780.1" 17717526 17754102 3
"157" "cvirNC_035780.1" 17874835 17890558 1
"158" "cvirNC_035780.1" 18048129 18049829 -1
"159" "cvirNC_035780.1" 18272617 18285183 1
"160" "cvirNC_035780.1" 18314104 18326279 1
"161" "cvirNC_035780.1" 18386289 18391341 1
"162" "cvirNC_035780.1" 18687786 18691110 1
"163" "cvirNC_035780.1" 18696321 18706812 1
"164" "cvirNC_035780.1" 18764932 18770805 2
"165" "cvirNC_035780.1" 18844479 18845049 -1
"166" "cvirNC_035780.1" 18905765 18948950 1
"167" "cvirNC_035780.1" 18995649 19012673 -1
"168" "cvirNC_035780.1" 19164250 19170279 1
"169" "cvirNC_035780.1" 19179676 19214852 -1
"170" "cvirNC_035780.1" 19212965 19230482 1
"171" "cvirNC_035780.1" 19308776 19313852 -1
"172" "cvirNC_035780.1" 19632576 19653874 1
"173" "cvirNC_035780.1" 19708641 19717313 -1
"174" "cvirNC_035780.1" 19719115 19723451 -1
"175" "cvirNC_035780.1" 20386897 20389701 -1
"176" "cvirNC_035780.1" 20392207 20399447 1
"177" "cvirNC_035780.1" 20458896 20463750 -1
"178" "cvirNC_035780.1" 20782134 20784561 1
"179" "cvirNC_035780.1" 20807004 20817614 -1
"180" "cvirNC_035780.1" 20828818 20833039 -1
"181" "cvirNC_035780.1" 20837339 20843047 -1
"182" "cvirNC_035780.1" 20853720 20871764 1
"183" "cvirNC_035780.1" 21026795 21033637 1
"184" "cvirNC_035780.1" 21064616 21135337 1
"185" "cvirNC_035780.1" 21171271 21193233 1
"186" "cvirNC_035780.1" 21254605 21259402 1
"187" "cvirNC_035780.1" 21365713 21373991 -1
"188" "cvirNC_035780.1" 21390802 21473282 2
"189" "cvirNC_035780.1" 21566800 21596351 1
"190" "cvirNC_035780.1" 21802648 21816074 -1
"191" "cvirNC_035780.1" 21912280 21954746 3
"192" "cvirNC_035780.1" 21969448 21999284 4
"193" "cvirNC_035780.1" 22055606 22060834 1
"194" "cvirNC_035780.1" 22110289 22113711 -1
"195" "cvirNC_035780.1" 22141651 22142580 -1
"196" "cvirNC_035780.1" 22144200 22228175 2
"197" "cvirNC_035780.1" 22239888 22244455 1
"198" "cvirNC_035780.1" 22404219 22406365 1
"199" "cvirNC_035780.1" 22471903 22479571 -1
"200" "cvirNC_035780.1" 22481055 22482178 1
"201" "cvirNC_035780.1" 22752699 22762473 1
"202" "cvirNC_035780.1" 22763675 22772399 -1
"203" "cvirNC_035780.1" 22886784 22909815 1
"204" "cvirNC_035780.1" 22930973 22942100 2
"205" "cvirNC_035780.1" 23384222 23386381 1
"206" "cvirNC_035780.1" 23490987 23500513 -1
"207" "cvirNC_035780.1" 23519091 23526478 -1
"208" "cvirNC_035780.1" 23613390 23631708 7
"209" "cvirNC_035780.1" 23786232 23791059 -1
"210" "cvirNC_035780.1" 23836618 23854745 1
"211" "cvirNC_035780.1" 23946020 23950917 3
"212" "cvirNC_035780.1" 24083004 24102593 1
"213" "cvirNC_035780.1" 24132712 24165352 1
"214" "cvirNC_035780.1" 24142181 24144465 -1
"215" "cvirNC_035780.1" 24228355 24248087 2
"216" "cvirNC_035780.1" 24323694 24331548 1
