LOC111099202	GO:0003676,GO:0046872
LOC111099545	GO:0000281,GO:0005576,GO:0006030,GO:0008061,GO:0009790,GO:0030703,GO:0032465
LOC111100148	GO:0000139,GO:0000187,GO:0004435,GO:0004629,GO:0004871,GO:0005085,GO:0005829,GO:0005886,GO:0007200,GO:0007264,GO:0008277,GO:0016042,GO:0019899,GO:0032835,GO:0045859,GO:0046578,GO:0046872
LOC111100268	GO:0000221,GO:0005886,GO:0007430,GO:0015991,GO:0033181,GO:0045176,GO:0046961,GO:0060439
LOC111100375	GO:0000932,GO:0005829,GO:0019005,GO:0022008,GO:0030162,GO:0031625,GO:0042787,GO:0043161,GO:0043687
LOC111100578	GO:0001649,GO:0001701,GO:0002244,GO:0002566,GO:0003677,GO:0003723,GO:0003726,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0006382,GO:0006397,GO:0006606,GO:0006611,GO:0009615,GO:0016020,GO:0016553,GO:0030218,GO:0031054,GO:0035280,GO:0035455,GO:0043066,GO:0044387,GO:0044530,GO:0045070,GO:0045071,GO:0045087,GO:0046872,GO:0051607,GO:0060216,GO:0060337,GO:0060339,GO:0061484,GO:0098586,GO:1900369
LOC111100795	GO:0008828,GO:0019177,GO:0046656,GO:0046872
LOC111100999	NA
LOC111101276	GO:0000784,GO:0000792,GO:0001666,GO:0001932,GO:0002230,GO:0003677,GO:0003713,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005829,GO:0006351,GO:0006355,GO:0006461,GO:0006605,GO:0006915,GO:0006919,GO:0006977,GO:0007050,GO:0007179,GO:0007182,GO:0007184,GO:0008270,GO:0008285,GO:0008630,GO:0008631,GO:0009411,GO:0010332,GO:0010522,GO:0010761,GO:0016032,GO:0016363,GO:0016525,GO:0016605,GO:0030099,GO:0030155,GO:0030308,GO:0030578,GO:0031065,GO:0031625,GO:0031901,GO:0031965,GO:0032183,GO:0032206,GO:0032211,GO:0032469,GO:0032922,GO:0032938,GO:0034097,GO:0042406,GO:0042752,GO:0042771,GO:0042803,GO:0043153,GO:0043161,GO:0045087,GO:0045165,GO:0045345,GO:0045892,GO:0045930,GO:0045944,GO:0046332,GO:0046982,GO:0048146,GO:0048384,GO:0050713,GO:0050821,GO:0050897,GO:0051457,GO:0051607,GO:0051974,GO:0060058,GO:0060333,GO:0060444,GO:0070059,GO:0071353,GO:0090398,GO:0097191,GO:1901796,GO:1902187,GO:1904816,GO:2000059,GO:2000779,GO:2001238
LOC111101412	GO:0005524,GO:0005737,GO:0046177,GO:0046316,GO:0003677,GO:0004003,GO:0006260,GO:0042025
LOC111102014	GO:0003735,GO:0005840,GO:0006412
LOC111102022	GO:0000186,GO:0001890,GO:0004672,GO:0004674,GO:0004709,GO:0005524,GO:0005737,GO:0007346,GO:0010225,GO:0010468,GO:0019100,GO:0032147,GO:0032212,GO:0035556,GO:0042981,GO:0043507,GO:0046872,GO:0048263,GO:0048471,GO:0051973,GO:0060718,GO:1900745,GO:1904355
LOC111102430	GO:0005245,GO:0005576,GO:0019855,GO:0042311,GO:0045986
LOC111102738	GO:0003995,GO:0006552,GO:0050660,GO:0003677,GO:0005524,GO:0005694,GO:0005737,GO:0006260,GO:0006281,GO:0006310,GO:0009378,GO:0009432,GO:0043140
LOC111103244	GO:0005545,GO:0005794,GO:0005905,GO:0006898,GO:0007268,GO:0007269,GO:0007270,GO:0008021,GO:0016183,GO:0030136,GO:0030276,GO:0042331,GO:0048268,GO:0048488,GO:0048489,GO:2000370,GO:0005634,GO:0005829,GO:0006461,GO:0007409,GO:0008283,GO:0010629,GO:0016020,GO:0016188,GO:0016192,GO:0016197,GO:0030097,GO:0030100,GO:0031623,GO:0031982,GO:0032050,GO:0032880,GO:0035459,GO:0035615,GO:0042734,GO:0043025,GO:0043231,GO:0045211,GO:0045296,GO:0045893,GO:0048261,GO:0048471,GO:0048813,GO:0055072,GO:0061024,GO:0072583,GO:0097418,GO:0098711,GO:1901216,GO:1902004,GO:1902959,GO:1902961,GO:1902963
LOC111103314	GO:0000082,GO:0000086,GO:0000287,GO:0000819,GO:0000922,GO:0001827,GO:0001828,GO:0004674,GO:0005524,GO:0005815,GO:0005829,GO:0006468,GO:0009755,GO:0019901,GO:0030216,GO:0030331,GO:0030833,GO:0033138,GO:0033146,GO:0034613,GO:0035329,GO:0043065,GO:0043254,GO:0045736,GO:0046620,GO:0051220,GO:0051301,GO:0060644,GO:0090090,GO:2000058
LOC111103387	GO:0003677,GO:0003700,GO:0005634,GO:0006351,GO:0006355,GO:0042802,GO:0046872
LOC111103579	GO:0000151,GO:0000788,GO:0004842,GO:0005634,GO:0005720,GO:0005730,GO:0005737,GO:0005829,GO:0005886,GO:0006351,GO:0031625,GO:0035064,GO:0044030,GO:0045892,GO:0070062
LOC111103696	GO:0000122,GO:0000978,GO:0001078,GO:0001701,GO:0001763,GO:0001892,GO:0001893,GO:0002250,GO:0003170,GO:0003279,GO:0003281,GO:0005634,GO:0005737,GO:0006351,GO:0007281,GO:0008168,GO:0009791,GO:0010628,GO:0010629,GO:0030889,GO:0031665,GO:0032823,GO:0033082,GO:0035904,GO:0042127,GO:0042462,GO:0042826,GO:0043565,GO:0045087,GO:0045165,GO:0045579,GO:0046872,GO:0048844,GO:0051136,GO:0060576,GO:0060707,GO:0060976,GO:1990654,GO:1990841
LOC111103940	GO:0003723,GO:0004535,GO:0005634,GO:0005737,GO:0006351,GO:0006355,GO:0046872
LOC111103994	GO:0005509,GO:0005886,GO:0005905,GO:0006898,GO:0017124,GO:0005829,GO:0061024
