target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	918	57.8845	91.7104
rna-XR_002635081.1	711	612.047	29	68.9148
rna-XR_002636046.1	3105	3006	247.685	119.842
rna-XR_002638148.1	1586	1487	105	102.702
rna-XR_002639675.1	25148	25049	1755	101.903
rna-XR_002636574.1	10029	9930	514.565	75.3686
rna-XR_002636864.1	6843	6744	964.816	208.078
rna-XR_002636863.1	6857	6758	3623.97	779.948
rna-XR_002635698.1	5581	5482	375	99.4928
rna-XR_002637875.1	1611	1512	75.8468	72.96
rna-XR_002639757.1	803	704.047	97	200.387
rna-XR_002637404.1	5548	5449	0.0161475	0.0043101
rna-XR_002637403.1	5983	5884	350.399	86.6143
rna-XR_002638411.1	1032	933	222.797	347.318
rna-XR_002638407.1	729	630.047	0	0
rna-XR_002639131.1	1047	948	52.4541	80.4768
rna-XR_002637017.1	894	795.047	110.216	201.628
rna-XR_002637713.1	950	851	109	186.293
rna-XR_002637880.1	796	697.047	35	73.0307
rna-XR_002637799.1	2043	1944	114.933	85.9899
rna-XR_002638995.1	4595	4496	1286.89	416.309
rna-XR_002634943.1	2592	2493	37.229	21.7199
rna-XR_002638063.1	2112	2013	6.06714	4.38369
rna-XR_002638876.1	781	682.047	41	87.4317
rna-XR_002637797.1	729	630.047	209	482.473
rna-XR_002635789.1	2467	2368	458.956	281.896
rna-XR_002634753.1	12574	12475	494.239	57.623
rna-XR_002634768.1	11583	11484	379.627	48.0799
rna-XR_002634760.1	11581	11482	462.283	58.5585
rna-XR_002634750.1	11580	11481	510.139	64.6261
rna-XR_002634765.1	11580	11481	510.139	64.6261
rna-XR_002634752.1	11577	11478	685.572	86.8733
rna-XR_002634754.1	11576	11477	756.569	95.8782
rna-XR_002634762.1	11576	11477	756.569	95.8782
rna-XR_002634766.1	11574	11475	921.406	116.788
rna-XR_002633935.1	431	332.069	24	105.119
rna-XR_002634061.1	501	402.047	62	224.292
rna-XR_002639939.1	2258	2159	1031.87	695.14
rna-XR_002636171.1	1823	1724	125	105.456
rna-XR_002639137.1	2172	2073	2512.94	1763.12
rna-XR_002639138.1	13744	13645	2292.96	244.412
rna-XR_002637000.1	940	841	4.15843	7.19172
rna-XR_002635934.1	8203	8104	2531.74	454.38
rna-XR_002638094.1	4346	4247	148	50.6849
rna-XR_002638095.1	4346	4247	148	50.6849
rna-XR_002638091.1	4345	4246	1.11922e-05	3.83384e-06
rna-XR_002638093.1	4345	4246	1.11922e-05	3.83384e-06
rna-XR_002638097.1	4345	4246	1.11922e-05	3.83384e-06
rna-XR_002638090.1	4343	4244	1.90692e-05	6.53518e-06
rna-XR_002638096.1	4343	4244	1.90692e-05	6.53518e-06
rna-XR_002638679.1	12442	12343	3704.89	436.57
rna-XR_002638671.1	11226	11127	2238.31	292.578
rna-XR_002638132.1	668	569.047	16	40.8951
rna-XR_002636687.1	622	523.047	32	88.9833
rna-XR_002638840.1	1814	1715	161	136.54
rna-XR_002638600.1	25571	25472	1690.4	96.522
rna-XR_002635894.1	3468	3369	528.486	228.156
rna-XR_002635072.1	2915	2816	1011.62	522.495
rna-XR_002636555.1	2022	1923	130	98.3249
rna-XR_002638364.1	4275	4176	3640.35	1267.89
rna-XR_002637425.1	53382	53283	2395.75	65.3962
rna-XR_002637423.1	1528	1429	1.0033	1.02117
rna-XR_002637424.1	1524	1425	23.8929	24.3867
rna-XR_002637419.1	2114	2015	147.348	106.358
rna-XR_002637421.1	2114	2015	147.348	106.358
rna-XR_002636179.1	2869	2770	12.5427	6.58581
rna-XR_002634989.1	5721	5622	321.491	83.1721
rna-XR_002634991.1	5721	5622	321.491	83.1721
rna-XR_002637676.1	1190	1091	72	95.9858
rna-XR_002639760.1	3442	3343	1237.44	538.376
rna-XR_002637696.1	1358	1259	80.1612	92.6057
rna-XR_002637764.1	16571	16472	1210.83	106.914
rna-XR_002638213.1	2887	2788	191	99.6414
rna-XR_002635759.1	5044	4945	63.2045	18.5901
rna-XR_002635760.1	5047	4948	500.796	147.208
rna-XR_002639528.1	3153	3054	521.143	248.192
rna-XR_002637753.1	41923	41824	3533.21	122.869
rna-XR_002637752.1	50097	49998	1214.26	35.3229
rna-XR_002636558.1	2509	2410	408.071	246.274
rna-XR_002635374.1	2792	2693	350.255	189.168
rna-XR_002638485.1	25118	25019	216.036	12.559
rna-XR_002638486.1	25122	25023	180.302	10.48
rna-XR_002638487.1	20258	20159	2546.92	183.758
rna-XR_002637599.1	1516	1417	149	152.938
rna-XR_002637108.1	2570	2471	182	107.127
rna-XR_002638776.1	6414	6315	632.935	145.776
rna-XR_002634884.1	4828	4729	878	270.038
rna-XR_002636369.1	6057	5958	84.6695	20.6693
rna-XR_002636373.1	6057	5958	84.6695	20.6693
rna-XR_002636376.1	6057	5958	84.6695	20.6693
rna-XR_002636377.1	6057	5958	84.6695	20.6693
rna-XR_002636378.1	6057	5958	84.6695	20.6693
rna-XR_002636379.1	6057	5958	84.6695	20.6693
rna-XR_002636380.1	6049	5950	16.7925	4.10485
rna-XR_002635791.1	5513	5414	224.596	60.3369
rna-XR_002634844.1	2698	2599	147	82.2641
rna-XR_002639408.1	2832	2733	100.761	53.6232
rna-XR_002634095.1	6873	6774	468.134	100.514
rna-XR_002634101.1	6873	6774	468.134	100.514
rna-XR_002639331.1	4949	4850	3035.87	910.418
rna-XR_002639328.1	576	477.047	29.6918	90.5263
rna-XR_002637493.1	1981	1882	179.282	138.553
rna-XR_002639142.1	4052	3953	528.347	194.398
rna-XR_002639143.1	1776	1677	172	149.175
rna-XR_002639218.1	6249	6150	364.713	86.2534
rna-XR_002633990.1	2189	2090	339	235.913
rna-XR_002633994.1	13871	13772	3176.4	335.458
rna-XR_002633989.1	1301	1202	1119.79	1354.98
rna-XR_002637639.1	1965	1866	0	0
rna-XR_002637641.1	2339	2240	125	81.1636
rna-XR_002636585.1	3459	3360	225.074	97.4283
rna-XR_002637687.1	23847	23748	1148.64	70.3489
rna-XR_002637686.1	20703	20604	989.944	69.8809
rna-XR_002637682.1	20296	20197	80.0176	5.76233
rna-XR_002637684.1	14299	14200	0	0
rna-XR_002637685.1	9252	9153	0	0
rna-XR_002637688.1	7694	7595	0	0
rna-XR_002637683.1	7584	7485	0	0
rna-XR_002637453.1	7631	7532	492	95.0067
rna-XR_002637596.1	6923	6824	2604.88	555.198
rna-XR_002637884.1	1653	1554	61	57.0924
rna-XR_002637648.1	1704	1605	58	52.5596
rna-XR_002634904.1	2552	2453	242.161	143.584
rna-XR_002635937.1	2064	1965	74.0774	54.8305
rna-XR_002635938.1	1077	978	20.7085	30.797
rna-XR_002637712.1	3545	3446	137.998	58.2447
rna-XR_002635864.1	820	721.047	185.382	373.94
rna-XR_002639527.1	2722	2623	70.3219	38.9934
rna-XR_002638454.1	1701	1602	14	12.7106
rna-XR_002636217.1	3079	2980	160.86	78.5111
rna-XR_002636245.1	5545	5446	12413.2	3315.17
rna-XR_002636251.1	3325	3226	455.201	205.229
rna-XR_002637871.1	1356	1257	442.767	512.318
rna-XR_002638817.1	571	472.047	20.8783	64.3292
rna-XR_002639340.1	1733	1634	60	53.407
rna-XR_002636108.1	5480	5381	0	0
rna-XR_002636103.1	5686	5587	502.837	130.902
rna-XR_002636111.1	6895	6796	953.477	204.059
rna-XR_002636110.1	1447	1348	252.137	272.049
rna-XR_002636102.1	4459	4360	761.284	253.957
rna-XR_002638676.1	959	860	21.09	35.6679
rna-XR_002635843.1	1975	1876	504.34	391.012
rna-XR_002636610.1	2026	1927	159	120.009
rna-XR_002635080.1	2533	2434	904.755	540.642
rna-XR_002634898.1	2953	2854	604.211	307.917
rna-XR_002636294.1	2428	2329	133.235	83.2049
rna-XR_002636554.1	2610	2511	3126.88	1811.19
rna-XR_002637587.1	1813	1714	56	47.52
rna-XR_002636941.1	6130	6031	305.224	73.6087
rna-XR_002638522.1	1879	1780	226	184.666
rna-XR_002638528.1	1438	1339	548.07	595.326
rna-XR_002638527.1	1608	1509	343.251	330.843
rna-XR_002638526.1	4568	4469	888.816	289.268
rna-XR_002638523.1	2010	1911	0	0
rna-XR_002638303.1	1445	1346	81.9261	88.5271
rna-XR_002638302.1	1624	1525	138.51	132.102
rna-XR_002638310.1	723	624.047	47.4652	110.626
rna-XR_002638309.1	1739	1640	235.926	209.234
rna-XR_002638306.1	1749	1650	532.352	469.261
rna-XR_002638305.1	4939	4840	251.235	75.4977
rna-XR_002638307.1	1124	1025	262	371.772
rna-XR_002638301.1	1470	1371	944	1001.46
rna-XR_002638308.1	3291	3192	1846.16	841.21
rna-XR_002635830.1	1678	1579	11.8516	10.9167
rna-XR_002635827.1	1699	1600	3.83943e-06	3.49016e-06
rna-XR_002635061.1	3514	3415	249.475	106.252
rna-XR_002635063.1	3514	3415	249.475	106.252
rna-XR_002637673.1	727	628.047	88.0126	203.822
rna-XR_002638010.1	1502	1403	90.7057	94.0321
rna-XR_002634859.1	6557	6458	2083.63	469.268
rna-XR_002638247.1	9663	9564	10642.4	1618.46
rna-XR_002638246.1	1443	1344	104.518	113.108
rna-XR_002638245.1	1857	1758	367.5	304.045
rna-XR_002639826.1	4204	4105	386.249	136.853
rna-XR_002638966.1	4828	4729	2223.13	683.746
rna-XR_002638963.1	1491	1392	168	175.537
rna-XR_002638967.1	993	894	286.459	466.04
rna-XR_002638954.1	32641	32542	6670.32	298.127
rna-XR_002638956.1	32641	32542	6670.32	298.127
rna-XR_002638964.1	2285	2186	0	0
