target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1897.26	6	0.40159
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1081.26	3.01761e-05	3.54399e-06
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1069.26	6.99997	0.831327
lcl|NC_035780.1_cds_XP_022305632.1_4	801	688.259	4	0.738018
lcl|NC_035780.1_cds_XP_022317406.1_5	693	580.272	38	8.31592
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1660.26	2	0.152972
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2170.26	5	0.292561
lcl|NC_035780.1_cds_XP_022295762.1_8	432	319.412	0.666667	0.265043
lcl|NC_035780.1_cds_XP_022295750.1_9	936	823.259	2	0.308498
lcl|NC_035780.1_cds_XP_022337778.1_10	432	319.412	0.666667	0.265043
lcl|NC_035780.1_cds_XP_022325096.1_11	432	319.412	0.666667	0.265043
lcl|NC_035780.1_cds_XP_022330653.1_12	432	319.412	0	0
lcl|NC_035780.1_cds_XP_022307863.1_13	987	874.259	69	10.0223
lcl|NC_035780.1_cds_XP_022301465.1_14	945	832.259	6	0.915486
lcl|NC_035780.1_cds_XP_022301545.1_15	915	802.259	0	0
lcl|NC_035780.1_cds_XP_022301617.1_16	915	802.259	0	0
lcl|NC_035780.1_cds_XP_022301726.1_17	912	799.259	4	0.635523
lcl|NC_035780.1_cds_XP_022301276.1_18	903	790.259	536	86.1299
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1915.26	89.0658	5.9053
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1909.26	80.6582	5.36467
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2035.26	75.8119	4.73016
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2035.26	75.8119	4.73016
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1708.26	206.652	15.3619
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	961.259	159	21.0047
lcl|NC_035780.1_cds_XP_022289394.1_25	5082	4969.26	465.865	11.9049
lcl|NC_035780.1_cds_XP_022289401.1_26	5082	4969.26	465.865	11.9049
lcl|NC_035780.1_cds_XP_022289413.1_27	2379	2266.26	1477	82.7617
lcl|NC_035780.1_cds_XP_022337178.1_28	1983	1870.26	325	22.0668
lcl|NC_035780.1_cds_XP_022307508.1_29	1365	1252.26	9	0.912656
lcl|NC_035780.1_cds_XP_022290809.1_30	1143	1030.26	212.942	26.2466
lcl|NC_035780.1_cds_XP_022290816.1_31	1056	943.259	37.4032	5.03544
lcl|NC_035780.1_cds_XP_022290824.1_32	1056	943.259	114.655	15.4355
lcl|NC_035780.1_cds_XP_022315191.1_33	1092	979.259	17	2.2045
lcl|NC_035780.1_cds_XP_022290115.1_34	330	218.051	592	344.764
lcl|NC_035780.1_cds_XP_022312709.1_35	3921	3808.26	24.0123	0.800692
lcl|NC_035780.1_cds_XP_022312581.1_36	4002	3889.26	1974.99	64.4846
lcl|NC_035780.1_cds_XP_022308054.1_37	678	565.272	254	57.0604
lcl|NC_035780.1_cds_XP_022301760.1_38	1368	1255.26	19	1.92211
lcl|NC_035780.1_cds_XP_022290427.1_39	1878	1765.26	426	30.645
lcl|NC_035780.1_cds_XP_022290433.1_40	1866	1753.26	0	0
lcl|NC_035780.1_cds_XP_022306258.1_41	1770	1657.26	116.793	8.94923
lcl|NC_035780.1_cds_XP_022306268.1_42	1764	1651.26	40.2069	3.09203
lcl|NC_035780.1_cds_XP_022340680.1_43	2601	2488.26	5.5	0.280689
lcl|NC_035780.1_cds_XP_022340691.1_44	2601	2488.26	5.5	0.280689
lcl|NC_035780.1_cds_XP_022340707.1_45	2445	2332.26	19	1.03451
lcl|NC_035780.1_cds_XP_022340720.1_46	612	499.272	27	6.86728
lcl|NC_035780.1_cds_XP_022308197.1_47	11961	11848.3	1230	13.1828
lcl|NC_035780.1_cds_XP_022308214.1_48	3693	3580.26	1612.96	57.2093
lcl|NC_035780.1_cds_XP_022308208.1_49	3723	3610.26	258.044	9.0764
lcl|NC_035780.1_cds_XP_022345918.1_50	2454	2341.26	684	37.0993
lcl|NC_035780.1_cds_XP_022345977.1_51	2055	1942.26	2.78031	0.181779
lcl|NC_035780.1_cds_XP_022345984.1_52	2055	1942.26	2.78031	0.181779
lcl|NC_035780.1_cds_XP_022346005.1_53	2013	1900.26	0	0
lcl|NC_035780.1_cds_XP_022345997.1_54	2031	1918.26	0	0
lcl|NC_035780.1_cds_XP_022345966.1_55	2130	2017.26	49.5451	3.11887
lcl|NC_035780.1_cds_XP_022345932.1_56	2148	2035.26	0	0
lcl|NC_035780.1_cds_XP_022345941.1_57	2148	2035.26	0	0
lcl|NC_035780.1_cds_XP_022345950.1_58	2148	2035.26	0	0
lcl|NC_035780.1_cds_XP_022345958.1_59	2148	2035.26	34.117	2.12868
lcl|NC_035780.1_cds_XP_022346041.1_60	1962	1849.26	18.9822	1.30349
lcl|NC_035780.1_cds_XP_022346050.1_61	1950	1837.26	0	0
lcl|NC_035780.1_cds_XP_022345991.1_62	2034	1921.26	32.52	2.14943
lcl|NC_035780.1_cds_XP_022346033.1_63	1989	1876.26	67.8926	4.59503
lcl|NC_035780.1_cds_XP_022346024.1_64	2007	1894.26	0	0
lcl|NC_035780.1_cds_XP_022346059.1_65	1941	1828.26	0	0
lcl|NC_035780.1_cds_XP_022346082.1_66	1815	1702.26	19.0626	1.42205
lcl|NC_035780.1_cds_XP_022346068.1_67	1893	1780.26	52.5488	3.74833
lcl|NC_035780.1_cds_XP_022346076.1_68	1893	1780.26	52.5488	3.74833
lcl|NC_035780.1_cds_XP_022346011.1_69	2010	1897.26	10.1112	0.67676
lcl|NC_035780.1_cds_XP_022346018.1_70	2010	1897.26	10.1112	0.67676
lcl|NC_035780.1_cds_XP_022317871.1_71	2562	2449.26	44	2.28127
lcl|NC_035780.1_cds_XP_022345582.1_72	522	409.3	45.5	14.1165
lcl|NC_035780.1_cds_XP_022345588.1_73	522	409.3	45.5	14.1165
lcl|NC_035780.1_cds_XP_022300728.1_74	639	526.272	0	0
lcl|NC_035780.1_cds_XP_022300735.1_75	558	445.282	0	0
lcl|NC_035780.1_cds_XP_022300741.1_76	540	427.3	0	0
lcl|NC_035780.1_cds_XP_022300678.1_77	2412	2299.26	0	0
lcl|NC_035780.1_cds_XP_022300686.1_78	2412	2299.26	0	0
lcl|NC_035780.1_cds_XP_022300673.1_79	2481	2368.26	38	2.03757
lcl|NC_035780.1_cds_XP_022300710.1_80	603	490.272	33.3356	8.63436
lcl|NC_035780.1_cds_XP_022300704.1_81	690	577.272	306.816	67.4927
lcl|NC_035780.1_cds_XP_022300696.1_82	690	577.272	0	0
lcl|NC_035780.1_cds_XP_022300718.1_83	588	475.272	214.848	57.4047
lcl|NC_035780.1_cds_XP_022332622.1_84	924	811.259	336.368	52.652
lcl|NC_035780.1_cds_XP_022332541.1_85	924	811.259	244.632	38.2923
lcl|NC_035780.1_cds_XP_022291989.1_86	762	649.272	57	11.1482
lcl|NC_035780.1_cds_XP_022291996.1_87	762	649.272	57	11.1482
lcl|NC_035780.1_cds_XP_022292003.1_88	762	649.272	57	11.1482
lcl|NC_035780.1_cds_XP_022292017.1_89	372	259.665	209	102.21
lcl|NC_035780.1_cds_XP_022334115.1_90	1038	925.259	0	0
lcl|NC_035780.1_cds_XP_022334107.1_91	1197	1084.26	8	0.936949
lcl|NC_035780.1_cds_XP_022334137.1_92	1197	1084.26	0	0
lcl|NC_035780.1_cds_XP_022334144.1_93	1197	1084.26	4	0.468474
lcl|NC_035780.1_cds_XP_022334127.1_94	1197	1084.26	4	0.468474
lcl|NC_035780.1_cds_XP_022334154.1_95	1197	1084.26	0	0
lcl|NC_035780.1_cds_XP_022334095.1_96	1200	1087.26	20	2.33591
lcl|NC_035780.1_cds_XP_022311203.1_97	1701	1588.26	89	7.11586
lcl|NC_035780.1_cds_XP_022310582.1_98	1605	1492.26	5.5	0.468034
lcl|NC_035780.1_cds_XP_022310664.1_99	1605	1492.26	5.5	0.468034
lcl|NC_035780.1_cds_XP_022311175.1_100	1479	1366.26	92	8.55093
lcl|NC_035780.1_cds_XP_022293816.1_101	2091	1978.26	7	0.449338
lcl|NC_035780.1_cds_XP_022308341.1_102	597	484.272	5	1.31111
lcl|NC_035780.1_cds_XP_022340295.1_103	6399	6286.26	1750	35.3512
lcl|NC_035780.1_cds_XP_022306776.1_104	747	634.272	2	0.400417
lcl|NC_035780.1_cds_XP_022343594.1_105	4608	4495.26	55.3557	1.56374
lcl|NC_035780.1_cds_XP_022343603.1_106	4605	4492.26	344.644	9.74238
lcl|NC_035780.1_cds_XP_022343614.1_107	447	334.377	339	128.742
lcl|NC_035780.1_cds_XP_022313574.1_108	1971	1858.26	26	1.77675
lcl|NC_035780.1_cds_XP_022337421.1_109	2079	1966.26	383	24.7353
lcl|NC_035780.1_cds_XP_022337430.1_110	1878	1765.26	0	0
lcl|NC_035780.1_cds_XP_022314208.1_111	534	421.3	14.9942	4.51949
lcl|NC_035780.1_cds_XP_022314198.1_112	537	424.3	0.00581601	0.00174065
lcl|NC_035780.1_cds_XP_022314224.1_113	372	259.665	234	114.436
lcl|NC_035780.1_cds_XP_022302913.1_114	1188	1075.26	7	0.826692
lcl|NC_035780.1_cds_XP_022344074.1_115	3219	3106.26	677	27.6764
lcl|NC_035780.1_cds_XP_022296047.1_116	645	532.272	5.45561	1.30157
lcl|NC_035780.1_cds_XP_022296053.1_117	627	514.272	258.544	63.8411
lcl|NC_035780.1_cds_XP_022291121.1_118	603	490.272	1.07062	0.277303
lcl|NC_035780.1_cds_XP_022291113.1_119	630	517.272	5.19411	1.27512
lcl|NC_035780.1_cds_XP_022291104.1_120	780	667.259	7.73527	1.47211
lcl|NC_035780.1_cds_XP_022286889.1_121	789	676.259	0.833333	0.156482
lcl|NC_035780.1_cds_XP_022286898.1_122	789	676.259	0.833333	0.156482
lcl|NC_035780.1_cds_XP_022286902.1_123	789	676.259	0.833333	0.156482
lcl|NC_035780.1_cds_XP_022286909.1_124	789	676.259	0.833333	0.156482
lcl|NC_035780.1_cds_XP_022286916.1_125	789	676.259	0.833333	0.156482
lcl|NC_035780.1_cds_XP_022286927.1_126	789	676.259	0.833333	0.156482
lcl|NC_035780.1_cds_XP_022330721.1_127	1368	1255.26	41	4.14772
lcl|NC_035780.1_cds_XP_022330815.1_128	1419	1306.26	0	0
lcl|NC_035780.1_cds_XP_022330852.1_129	3540	3427.26	44.1575	1.63612
lcl|NC_035780.1_cds_XP_022323025.1_130	360	247.729	5	2.56302
lcl|NC_035780.1_cds_XP_022309837.1_131	792	679.259	1	0.186949
lcl|NC_035780.1_cds_XP_022342129.1_132	834	721.259	2	0.352126
lcl|NC_035780.1_cds_XP_022308431.1_133	855	742.259	0	0
lcl|NC_035780.1_cds_XP_022304303.1_134	870	757.259	8.22104	1.37861
lcl|NC_035780.1_cds_XP_022292677.1_135	1119	1006.26	44.9958	5.67833
lcl|NC_035780.1_cds_XP_022330938.1_136	459	346.363	6	2.19978
lcl|NC_035780.1_cds_XP_022330951.1_137	3732	3619.26	93.1282	3.26754
lcl|NC_035780.1_cds_XP_022340779.1_138	822	709.259	26	4.65508
lcl|NC_035780.1_cds_XP_022307961.1_139	750	637.272	96	19.1296
lcl|NC_035780.1_cds_XP_022292027.1_140	1221	1108.26	66	7.56243
lcl|NC_035780.1_cds_XP_022289925.1_141	2028	1915.26	24	1.59126
lcl|NC_035780.1_cds_XP_022291943.1_142	879	766.259	2	0.331446
lcl|NC_035780.1_cds_XP_022291931.1_143	1041	928.259	7.43143	1.01663
lcl|NC_035780.1_cds_XP_022291955.1_144	390	277.573	5.21203	2.38445
lcl|NC_035780.1_cds_XP_022309311.1_145	1062	949.259	0	0
lcl|NC_035780.1_cds_XP_022315254.1_146	1164	1051.26	19	2.29511
lcl|NC_035780.1_cds_XP_022290895.1_147	1473	1360.26	4	0.37342
lcl|NC_035780.1_cds_XP_022290905.1_148	1401	1288.26	457	45.0476
lcl|NC_035780.1_cds_XP_022331264.1_149	4617	4504.26	31.6071	0.891086
lcl|NC_035780.1_cds_XP_022307264.1_150	585	472.272	3	0.806654
lcl|NC_035780.1_cds_XP_022307256.1_151	585	472.272	3	0.806654
lcl|NC_035780.1_cds_XP_022307273.1_152	459	346.363	0	0
lcl|NC_035780.1_cds_XP_022288450.1_153	2016	1903.26	511	34.0943
lcl|NC_035780.1_cds_XP_022339884.1_154	5595	5482.26	242	5.6055
lcl|NC_035780.1_cds_XP_022330672.1_155	2355	2242.26	0	0
lcl|NC_035780.1_cds_XP_022330663.1_156	2361	2248.26	0	0
lcl|NC_035780.1_cds_XP_022330682.1_157	2298	2185.26	103	5.9854
lcl|NC_035780.1_cds_XP_022330692.1_158	1911	1798.26	0	0
lcl|NC_035780.1_cds_XP_022330699.1_159	1911	1798.26	0	0
lcl|NC_035780.1_cds_XP_022330709.1_160	1911	1798.26	0	0
lcl|NC_035780.1_cds_XP_022297407.1_161	2175	2062.26	375	23.0912
lcl|NC_035780.1_cds_XP_022339442.1_162	615	502.272	56	14.1582
lcl|NC_035780.1_cds_XP_022339433.1_163	630	517.272	0	0
lcl|NC_035780.1_cds_XP_022331325.1_164	705	592.272	2	0.428812
lcl|NC_035780.1_cds_XP_022339392.1_165	1413	1300.26	52.7815	5.15479
lcl|NC_035780.1_cds_XP_022339397.1_166	1413	1300.26	52.7815	5.15479
lcl|NC_035780.1_cds_XP_022339409.1_167	1410	1297.26	94.1033	9.21164
lcl|NC_035780.1_cds_XP_022339418.1_168	1407	1294.26	123.334	12.1009
lcl|NC_035780.1_cds_XP_022318908.1_169	348	235.836	8	4.30763
lcl|NC_035780.1_cds_XP_022318898.1_170	1065	952.259	802.867	107.065
lcl|NC_035780.1_cds_XP_022318874.1_171	1170	1057.26	0	0
lcl|NC_035780.1_cds_XP_022318892.1_172	1116	1003.26	174.381	22.0721
lcl|NC_035780.1_cds_XP_022318883.1_173	1140	1027.26	47.0756	5.81935
lcl|NC_035780.1_cds_XP_022318864.1_174	1245	1132.26	313.614	35.1729
lcl|NC_035780.1_cds_XP_022318845.1_175	1269	1156.26	0	0
lcl|NC_035780.1_cds_XP_022318855.1_176	1251	1138.26	94.0625	10.4938
lcl|NC_035780.1_cds_XP_022318836.1_177	1275	1162.26	0	0
lcl|NC_035780.1_cds_XP_022331360.1_178	600	487.272	24	6.25458
lcl|NC_035780.1_cds_XP_022301670.1_179	360	247.729	10	5.12603
lcl|NC_035780.1_cds_XP_022301694.1_180	5703	5590.26	5	0.113579
lcl|NC_035780.1_cds_XP_022331374.1_181	405	292.483	65	28.2209
lcl|NC_035780.1_cds_XP_022301680.1_182	5826	5713.26	428	9.51302
lcl|NC_035780.1_cds_XP_022335585.1_183	894	781.259	7	1.13779
lcl|NC_035780.1_cds_XP_022335598.1_184	894	781.259	7	1.13779
lcl|NC_035780.1_cds_XP_022335572.1_185	2940	2827.26	20	0.898304
lcl|NC_035780.1_cds_XP_022335560.1_186	5982	5869.26	182	3.93774
lcl|NC_035780.1_cds_XP_022286350.1_187	1665	1552.26	58	4.74485
lcl|NC_035780.1_cds_XP_022309299.1_188	2118	2005.26	5	0.316635
lcl|NC_035780.1_cds_XP_022331437.1_189	2745	2632.26	67	3.23225
lcl|NC_035780.1_cds_XP_022335863.1_190	1215	1102.26	9	1.03685
lcl|NC_035780.1_cds_XP_022335870.1_191	1215	1102.26	9	1.03685
lcl|NC_035780.1_cds_XP_022335880.1_192	1173	1060.26	8.5	1.01804
lcl|NC_035780.1_cds_XP_022335886.1_193	1173	1060.26	8.5	1.01804
lcl|NC_035780.1_cds_XP_022292499.1_194	1050	937.259	102	13.8197
lcl|NC_035780.1_cds_XP_022335188.1_195	906	793.259	99	15.8482
lcl|NC_035780.1_cds_XP_022335108.1_196	1440	1327.26	159.162	15.228
lcl|NC_035780.1_cds_XP_022335090.1_197	1464	1351.26	94.4189	8.87317
lcl|NC_035780.1_cds_XP_022335100.1_198	1464	1351.26	94.4189	8.87317
lcl|NC_035780.1_cds_XP_022335116.1_199	1374	1261.26	0	0
lcl|NC_035780.1_cds_XP_022335123.1_200	1374	1261.26	0	0
lcl|NC_035780.1_cds_XP_022335136.1_201	1281	1168.26	6.32542	0.687557
lcl|NC_035780.1_cds_XP_022335144.1_202	1281	1168.26	6.32542	0.687557
lcl|NC_035780.1_cds_XP_022335152.1_203	1254	1141.26	872.538	97.0865
lcl|NC_035780.1_cds_XP_022335167.1_204	1278	1165.26	0	0
lcl|NC_035780.1_cds_XP_022335178.1_205	1251	1138.26	17.8116	1.98711
lcl|NC_035780.1_cds_XP_022331450.1_206	1881	1768.26	1	0.0718146
lcl|NC_035780.1_cds_XP_022335030.1_207	2640	2527.26	90.302	4.53739
lcl|NC_035780.1_cds_XP_022335037.1_208	2634	2521.26	114.671	5.77558
lcl|NC_035780.1_cds_XP_022335054.1_209	2553	2440.26	0	0
lcl|NC_035780.1_cds_XP_022335047.1_210	2580	2467.26	316.376	16.2835
lcl|NC_035780.1_cds_XP_022335063.1_211	2460	2347.26	305.075	16.5045
lcl|NC_035780.1_cds_XP_022335069.1_212	2415	2302.26	194.577	10.7324
lcl|NC_035780.1_cds_XP_022335078.1_213	2412	2299.26	5.85756e-08	3.2351e-09
lcl|NC_035780.1_cds_XP_022329270.1_214	3525	3412.26	1215	45.2161
lcl|NC_035780.1_cds_XP_022288593.1_215	540	427.3	68	20.2085
lcl|NC_035780.1_cds_XP_022288893.1_216	4050	3937.26	34	1.09659
lcl|NC_035780.1_cds_XP_022292040.1_217	2106	1993.26	45.3653	2.89014
lcl|NC_035780.1_cds_XP_022292048.1_218	1983	1870.26	0	0
lcl|NC_035780.1_cds_XP_022292060.1_219	1953	1840.26	16.6347	1.14788
lcl|NC_035780.1_cds_XP_022292076.1_220	432	319.412	2	0.79513
lcl|NC_035780.1_cds_XP_022305563.1_221	1857	1744.26	15.3333	1.11631
lcl|NC_035780.1_cds_XP_022305571.1_222	1857	1744.26	15.3333	1.11631
lcl|NC_035780.1_cds_XP_022305580.1_223	1857	1744.26	15.3333	1.11631
lcl|NC_035780.1_cds_XP_022308986.1_224	1152	1039.26	631	77.1018
lcl|NC_035780.1_cds_XP_022331506.1_225	309	197.346	7	4.50431
lcl|NC_035780.1_cds_XP_022331548.1_226	1374	1261.26	370	37.2526
lcl|NC_035780.1_cds_XP_022288280.1_227	2043	1930.26	49.059	3.22747
lcl|NC_035780.1_cds_XP_022288290.1_228	2043	1930.26	49.059	3.22747
lcl|NC_035780.1_cds_XP_022288300.1_229	2040	1927.26	205.882	13.5655
lcl|NC_035780.1_cds_XP_022343743.1_230	612	499.272	83	21.1105
lcl|NC_035780.1_cds_XP_022343732.1_231	2340	2227.26	156	8.89432
lcl|NC_035780.1_cds_XP_022287041.1_232	987	874.259	11	1.59776
lcl|NC_035780.1_cds_XP_022331685.1_233	1641	1528.26	57	4.73627
lcl|NC_035780.1_cds_XP_022288460.1_234	2286	2173.26	5	0.292158
lcl|NC_035780.1_cds_XP_022288470.1_235	1233	1120.26	10	1.13355
lcl|NC_035780.1_cds_XP_022322013.1_236	456	343.363	1.33333	0.493111
lcl|NC_035780.1_cds_XP_022322022.1_237	456	343.363	1.33333	0.493111
lcl|NC_035780.1_cds_XP_022322030.1_238	456	343.363	1.33333	0.493111
lcl|NC_035780.1_cds_XP_022331694.1_239	795	682.259	18	3.35029
lcl|NC_035780.1_cds_XP_022295251.1_240	543	430.291	213	62.8602
lcl|NC_035780.1_cds_XP_022345123.1_241	702	589.272	54.6499	11.7769
lcl|NC_035780.1_cds_XP_022345139.1_242	630	517.272	36.3278	8.91823
lcl|NC_035780.1_cds_XP_022345131.1_243	699	586.272	317.873	68.8515
lcl|NC_035780.1_cds_XP_022345148.1_244	627	514.272	281.149	69.4228
lcl|NC_035780.1_cds_XP_022315756.1_245	810	697.259	11	2.00335
lcl|NC_035780.1_cds_XP_022339846.1_246	807	694.259	439	80.2975
lcl|NC_035780.1_cds_XP_022292182.1_247	753	640.272	92	18.2466
lcl|NC_035780.1_cds_XP_022289560.1_248	465	352.355	3	1.08118
lcl|NC_035780.1_cds_XP_022289590.1_249	450	337.377	0.333333	0.125465
lcl|NC_035780.1_cds_XP_022289599.1_250	450	337.377	0.333333	0.125465
lcl|NC_035780.1_cds_XP_022289608.1_251	450	337.377	0.333333	0.125465
lcl|NC_035780.1_cds_XP_022331919.1_252	5640	5527.26	310.223	7.12726
lcl|NC_035780.1_cds_XP_022289578.1_253	456	343.363	0	0
lcl|NC_035780.1_cds_XP_022331927.1_254	3936	3823.26	14	0.465
lcl|NC_035780.1_cds_XP_022338697.1_255	468	355.355	163	58.2483
lcl|NC_035780.1_cds_XP_022306849.1_256	1050	937.259	5	0.677437
lcl|NC_035780.1_cds_XP_022330617.1_257	636	523.272	5.37204	1.30368
lcl|NC_035780.1_cds_XP_022343034.1_258	1041	928.259	6.65699	0.910684
lcl|NC_035780.1_cds_XP_022343043.1_259	1041	928.259	6.65699	0.910684
lcl|NC_035780.1_cds_XP_022343053.1_260	1041	928.259	6.65699	0.910684
lcl|NC_035780.1_cds_XP_022343059.1_261	1041	928.259	6.65699	0.910684
lcl|NC_035780.1_cds_XP_022343071.1_262	990	877.259	324	46.9003
lcl|NC_035780.1_cds_XP_022315403.1_263	1035	922.259	9	1.23922
lcl|NC_035780.1_cds_XP_022331956.1_264	549	436.291	1	0.29106
lcl|NC_035780.1_cds_XP_022337931.1_265	1866	1753.26	27.4548	1.98853
lcl|NC_035780.1_cds_XP_022337953.1_266	1833	1720.26	22.2281	1.64084
lcl|NC_035780.1_cds_XP_022337964.1_267	1833	1720.26	22.2281	1.64084
lcl|NC_035780.1_cds_XP_022337942.1_268	1836	1723.26	60.1058	4.42919
lcl|NC_035780.1_cds_XP_022337920.1_269	1908	1795.26	49.4852	3.50031
lcl|NC_035780.1_cds_XP_022337973.1_270	1827	1714.26	15.999	1.18516
lcl|NC_035780.1_cds_XP_022337981.1_271	1827	1714.26	15.999	1.18516
lcl|NC_035780.1_cds_XP_022337901.1_272	2133	2020.26	52.8023	3.31898
lcl|NC_035780.1_cds_XP_022337894.1_273	2136	2023.26	0	0
lcl|NC_035780.1_cds_XP_022337910.1_274	2016	1903.26	0	0
lcl|NC_035780.1_cds_XP_022296199.1_275	2265	2152.26	0	0
lcl|NC_035780.1_cds_XP_022296337.1_276	2259	2146.26	4.6223	0.273486
lcl|NC_035780.1_cds_XP_022297225.1_277	2124	2011.26	9.19027	0.580255
lcl|NC_035780.1_cds_XP_022297298.1_278	2085	1972.26	34.8027	2.24082
lcl|NC_035780.1_cds_XP_022296039.1_279	2265	2152.26	36.3414	2.1442
lcl|NC_035780.1_cds_XP_022296119.1_280	2265	2152.26	36.3414	2.1442
lcl|NC_035780.1_cds_XP_022297070.1_281	2172	2059.26	13.3807	0.825138
lcl|NC_035780.1_cds_XP_022297150.1_282	2172	2059.26	13.3807	0.825138
lcl|NC_035780.1_cds_XP_022296696.1_283	2229	2116.26	17.3543	1.04135
lcl|NC_035780.1_cds_XP_022296769.1_284	2223	2110.26	28.1545	1.69422
lcl|NC_035780.1_cds_XP_022296923.1_285	2196	2083.26	24.3125	1.48199
lcl|NC_035780.1_cds_XP_022296612.1_286	2229	2116.26	49.8936	2.99388
lcl|NC_035780.1_cds_XP_022296999.1_287	2193	2080.26	30.8387	1.88251
lcl|NC_035780.1_cds_XP_022296264.1_288	2259	2146.26	76.8385	4.54627
lcl|NC_035780.1_cds_XP_022295955.1_289	2388	2275.26	205.682	11.4795
lcl|NC_035780.1_cds_XP_022296451.1_290	2235	2122.26	54.0535	3.23433
lcl|NC_035780.1_cds_XP_022296534.1_291	2235	2122.26	54.0535	3.23433
lcl|NC_035780.1_cds_XP_022296844.1_292	2202	2089.26	48.4566	2.94523
lcl|NC_035780.1_cds_XP_022297408.1_293	1008	895.259	8	1.13475
lcl|NC_035780.1_cds_XP_022320007.1_294	1140	1027.26	2	0.247234
lcl|NC_035780.1_cds_XP_022320019.1_295	411	298.471	0	0
lcl|NC_035780.1_cds_XP_022332029.1_296	1497	1384.26	30	2.75209
lcl|NC_035780.1_cds_XP_022332041.1_297	1059	946.259	9.27703	1.24497
lcl|NC_035780.1_cds_XP_022332060.1_298	1134	1021.26	5.86908	0.729782
lcl|NC_035780.1_cds_XP_022332073.1_299	1398	1285.26	0	0
lcl|NC_035780.1_cds_XP_022332101.1_300	5988	5875.26	22.8537	0.493956
lcl|NC_035780.1_cds_XP_022304994.1_301	1071	958.259	1	0.132518
lcl|NC_035780.1_cds_XP_022332186.1_302	1635	1522.26	0	0
lcl|NC_035780.1_cds_XP_022316070.1_303	537	424.3	99.5129	29.7827
lcl|NC_035780.1_cds_XP_022316062.1_304	573	460.282	8.48713	2.34151
lcl|NC_035780.1_cds_XP_022294261.1_305	2703	2590.26	7	0.343173
lcl|NC_035780.1_cds_XP_022305677.1_306	1299	1186.26	3.82297	0.409242
