target_id	length	eff_length	est_counts	tpm
rna-XR_002636969.1	1017	914.039	55.2542	101.148
rna-XR_002635081.1	711	608.128	10	27.5145
rna-XR_002636046.1	3105	3002.04	187.543	104.53
rna-XR_002638148.1	1586	1483.04	97	109.44
rna-XR_002639675.1	25148	25045	1381	92.2632
rna-XR_002636574.1	10029	9926.04	431.922	72.8091
rna-XR_002636864.1	6843	6740.04	757.356	188.016
rna-XR_002636863.1	6857	6754.04	2989.69	740.661
rna-XR_002635698.1	5581	5478.04	347	105.989
rna-XR_002637875.1	1611	1508.04	31.8634	35.3538
rna-XR_002639757.1	803	700.09	71	169.692
rna-XR_002637404.1	5548	5445.04	0	0
rna-XR_002637403.1	5983	5880.04	285.392	81.2116
rna-XR_002638411.1	1032	929.039	182.851	329.322
rna-XR_002638407.1	729	626.128	0	0
rna-XR_002639131.1	1047	944.039	29.6003	52.4641
rna-XR_002637017.1	894	791.09	96.2886	203.66
rna-XR_002637713.1	950	847.09	111	219.255
rna-XR_002637880.1	796	693.09	62	149.678
rna-XR_002637799.1	2043	1940.04	96.3531	83.102
rna-XR_002638995.1	4595	4492.04	1011.54	376.788
rna-XR_002634943.1	2592	2489.04	12.4234	8.35151
rna-XR_002638063.1	2112	2009.04	13.6469	11.3659
rna-XR_002638876.1	781	678.09	0	0
rna-XR_002637797.1	729	626.128	211	563.866
rna-XR_002635789.1	2467	2364.04	457	323.458
rna-XR_002634753.1	12574	12471	1026.17	137.681
rna-XR_002634768.1	11583	11480	267.56	38.9974
rna-XR_002634760.1	11581	11478	334.757	48.7999
rna-XR_002634750.1	11580	11477	374.447	54.5905
rna-XR_002634765.1	11580	11477	374.447	54.5905
rna-XR_002634752.1	11577	11474	524.08	76.4254
rna-XR_002634754.1	11576	11473	586.24	85.4974
rna-XR_002634762.1	11576	11473	586.24	85.4974
rna-XR_002634766.1	11574	11471	733.572	107.003
rna-XR_002633935.1	431	328.363	16	81.5308
rna-XR_002634061.1	501	398.321	74.6712	313.673
rna-XR_002639939.1	2258	2155.04	1109.62	861.544
rna-XR_002636171.1	1823	1720.04	91	88.5237
rna-XR_002639137.1	2172	2069.04	2113.24	1708.98
rna-XR_002639138.1	13744	13641	2411.31	295.775
rna-XR_002637000.1	940	837.09	4.1851	8.36547
rna-XR_002635934.1	8203	8100.04	1786.89	369.121
rna-XR_002638094.1	4346	4243.04	21.8519	8.61727
rna-XR_002638095.1	4346	4243.04	21.8519	8.61727
rna-XR_002638091.1	4345	4242.04	29.5892	11.6712
rna-XR_002638093.1	4345	4242.04	29.5892	11.6712
rna-XR_002638097.1	4345	4242.04	29.5892	11.6712
rna-XR_002638090.1	4343	4240.04	54.2642	21.4141
rna-XR_002638096.1	4343	4240.04	54.2642	21.4141
rna-XR_002638679.1	12442	12339	3024.06	410.077
rna-XR_002638671.1	11226	11123	1480.37	222.691
rna-XR_002638132.1	668	565.162	35	103.622
rna-XR_002636687.1	622	519.321	25	80.5492
rna-XR_002638840.1	1814	1711.04	74	72.365
rna-XR_002638600.1	25571	25468	1202.68	79.015
rna-XR_002635894.1	3468	3365.04	642.59	319.522
rna-XR_002635072.1	2915	2812.04	873.443	519.721
rna-XR_002636555.1	2022	1919.04	67.2967	58.6768
rna-XR_002638364.1	4275	4172.04	2833.92	1136.57
rna-XR_002637425.1	53382	53279	2080.6	65.3416
rna-XR_002637423.1	1528	1425.04	1.06541	1.25096
rna-XR_002637424.1	1524	1421.04	39.5734	46.5965
rna-XR_002637419.1	2114	2011.04	139.654	116.195
rna-XR_002637421.1	2114	2011.04	139.654	116.195
rna-XR_002636179.1	2869	2766.04	26.5999	16.0908
rna-XR_002634989.1	5721	5618.04	261.721	77.949
rna-XR_002634991.1	5721	5618.04	261.721	77.949
rna-XR_002637676.1	1190	1087.04	52	80.0414
