chr	start	end	methylation_mean
cvirNC_007175.2	1	1623	1.0191551
cvirNC_007175.2	2558	3429	0.93144935
cvirNC_007175.2	3647	4859	1.08466868333333
cvirNC_007175.2	4897	5589	1.12465381666667
cvirNC_007175.2	9518	10192	1.18823545
cvirNC_007175.2	10295	11290	0.959141341666667
cvirNC_007175.2	11515	12864	1.110411025
cvirNC_007175.2	13126	14793	1.03494803333333
cvirNC_007175.2	14807	15268	1.16863296666667
cvirNC_007175.2	15352	15705	1.51304840833333
cvirNC_007175.2	15959	16894	1.26597675833333
cvirNC_007175.2	16897	17176	1.07438835833333
cvirNC_035780.1	13578	14594	12.3770526666667
cvirNC_035780.1	28961	33324	0.339237466666667
cvirNC_035780.1	43111	66897	0.465916358333333
cvirNC_035780.1	85606	95254	0.346299908333333
cvirNC_035780.1	99840	106460	48.655875
cvirNC_035780.1	108305	110077	0.261624216666667
cvirNC_035780.1	151859	157536	0.2887998275
cvirNC_035780.1	163809	183798	0.517721
cvirNC_035780.1	164820	166793	2.491453005
cvirNC_035780.1	169468	170178	0.9233015
cvirNC_035780.1	190449	193594	0.2528533275
cvirNC_035780.1	204243	207743	0.237227248333333
cvirNC_035780.1	214891	215322	0.43506269
cvirNC_035780.1	219451	225076	0.717230616666667
cvirNC_035780.1	227734	231964	0.268616929166667
cvirNC_035780.1	232863	240144	0.580423241666667
cvirNC_035780.1	245532	253042	35.8450978333333
cvirNC_035780.1	258108	272839	79.8039683333333
cvirNC_035780.1	273173	278473	75.5606666666667
cvirNC_035780.1	281547	293861	75.0815033333333
cvirNC_035780.1	297131	311654	74.114455
cvirNC_035780.1	315522	340261	69.337795
cvirNC_035780.1	341638	349379	57.9915625
cvirNC_035780.1	349425	360957	58.7752458333333
cvirNC_035780.1	366837	370670	17.6721657083333
cvirNC_035780.1	372174	376974	62.7716858333333
cvirNC_035780.1	380454	392035	3.27336515
cvirNC_035780.1	394983	409280	77.2273875
cvirNC_035780.1	409477	415627	60.8928866666667
