target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1898.49	187	28.5538
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1082.49	14.9172	3.99479
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1070.49	104.083	28.1856
lcl|NC_035780.1_cds_XP_022305632.1_4	801	689.486	88	36.9987
lcl|NC_035780.1_cds_XP_022317406.1_5	693	581.486	68	33.9
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1661.49	265.397	46.3051
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2171.49	316	42.1851
lcl|NC_035780.1_cds_XP_022295762.1_8	432	320.554	4.10549	3.71273
lcl|NC_035780.1_cds_XP_022295750.1_9	936	824.486	45.8955	16.1368
lcl|NC_035780.1_cds_XP_022337778.1_10	432	320.554	41.0568	37.1291
lcl|NC_035780.1_cds_XP_022325096.1_11	432	320.554	128.407	116.123
lcl|NC_035780.1_cds_XP_022330653.1_12	432	320.554	9.43072	8.52852
lcl|NC_035780.1_cds_XP_022307863.1_13	987	875.486	78	25.8271
lcl|NC_035780.1_cds_XP_022301465.1_14	945	833.486	96.2662	33.4815
lcl|NC_035780.1_cds_XP_022301545.1_15	915	803.486	0	0
lcl|NC_035780.1_cds_XP_022301617.1_16	915	803.486	0	0
lcl|NC_035780.1_cds_XP_022301726.1_17	912	800.486	70.7338	25.6155
lcl|NC_035780.1_cds_XP_022301276.1_18	903	791.486	77	28.2018
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1916.49	98.7079	14.9305
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1910.49	165.524	25.1158
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2036.49	62.5759	8.90748
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2036.49	62.5759	8.90748
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1709.49	53.6159	9.09197
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	962.486	121	36.4435
lcl|NC_035780.1_cds_XP_022289394.1_25	5082	4970.49	277.51	16.1849
lcl|NC_035780.1_cds_XP_022289401.1_26	5082	4970.49	277.51	16.1849
lcl|NC_035780.1_cds_XP_022289413.1_27	2379	2267.49	426	54.4621
lcl|NC_035780.1_cds_XP_022337178.1_28	1983	1871.49	315	48.7925
lcl|NC_035780.1_cds_XP_022307508.1_29	1365	1253.49	143	33.0709
lcl|NC_035780.1_cds_XP_022290809.1_30	1143	1031.49	77.0989	21.6678
lcl|NC_035780.1_cds_XP_022290816.1_31	1056	944.486	577.904	177.374
lcl|NC_035780.1_cds_XP_022290824.1_32	1056	944.486	108.997	33.454
lcl|NC_035780.1_cds_XP_022315191.1_33	1092	980.486	117	34.5919
lcl|NC_035780.1_cds_XP_022290115.1_34	330	219.082	60	79.3914
lcl|NC_035780.1_cds_XP_022312709.1_35	3921	3809.49	717.073	54.5665
lcl|NC_035780.1_cds_XP_022312581.1_36	4002	3890.49	632.927	47.1606
lcl|NC_035780.1_cds_XP_022308054.1_37	678	566.486	87	44.5204
lcl|NC_035780.1_cds_XP_022301760.1_38	1368	1256.49	190	43.8354
lcl|NC_035780.1_cds_XP_022290427.1_39	1878	1766.49	256	42.0106
lcl|NC_035780.1_cds_XP_022290433.1_40	1866	1754.49	0	0
lcl|NC_035780.1_cds_XP_022306258.1_41	1770	1658.49	223.997	39.1526
lcl|NC_035780.1_cds_XP_022306268.1_42	1764	1652.49	0.00255202	0.000447688
lcl|NC_035780.1_cds_XP_022340680.1_43	2601	2489.49	162.5	18.9223
lcl|NC_035780.1_cds_XP_022340691.1_44	2601	2489.49	162.5	18.9223
lcl|NC_035780.1_cds_XP_022340707.1_45	2445	2333.49	354	43.9772
lcl|NC_035780.1_cds_XP_022340720.1_46	612	500.486	260	150.595
lcl|NC_035780.1_cds_XP_022308197.1_47	11961	11849.5	1808	44.2312
lcl|NC_035780.1_cds_XP_022308214.1_48	3693	3581.49	195.12	15.7931
lcl|NC_035780.1_cds_XP_022308208.1_49	3723	3611.49	355.88	28.5659
lcl|NC_035780.1_cds_XP_022345918.1_50	2454	2342.49	387	47.8921
lcl|NC_035780.1_cds_XP_022345977.1_51	2055	1943.49	6.34955	0.947089
lcl|NC_035780.1_cds_XP_022345984.1_52	2055	1943.49	6.34955	0.947089
lcl|NC_035780.1_cds_XP_022346005.1_53	2013	1901.49	49.26	7.50984
lcl|NC_035780.1_cds_XP_022345997.1_54	2031	1919.49	12.0179	1.81499
lcl|NC_035780.1_cds_XP_022345966.1_55	2130	2018.49	0	0
lcl|NC_035780.1_cds_XP_022345932.1_56	2148	2036.49	0	0
lcl|NC_035780.1_cds_XP_022345941.1_57	2148	2036.49	0	0
lcl|NC_035780.1_cds_XP_022345950.1_58	2148	2036.49	0	0
lcl|NC_035780.1_cds_XP_022345958.1_59	2148	2036.49	35.7004	5.08184
lcl|NC_035780.1_cds_XP_022346041.1_60	1962	1850.49	30.3789	4.759
lcl|NC_035780.1_cds_XP_022346050.1_61	1950	1838.49	0	0
lcl|NC_035780.1_cds_XP_022345991.1_62	2034	1922.49	76.3173	11.5077
lcl|NC_035780.1_cds_XP_022346033.1_63	1989	1877.49	0	0
lcl|NC_035780.1_cds_XP_022346024.1_64	2007	1895.49	60.3152	9.22435
