target_id	length	eff_length	est_counts	tpm
lcl|NC_035780.1_cds_XP_022327646.1_1	2010	1902.99	214	27.9374
lcl|NC_035780.1_cds_XP_022303032.1_2	1194	1086.99	48.2215	11.0211
lcl|NC_035780.1_cds_XP_022303041.1_3	1182	1074.99	105.778	24.4457
lcl|NC_035780.1_cds_XP_022305632.1_4	801	694.017	123	44.0294
lcl|NC_035780.1_cds_XP_022317406.1_5	693	586.043	99	41.9675
lcl|NC_035780.1_cds_XP_022330629.1_6	1773	1665.99	317.826	47.3943
lcl|NC_035780.1_cds_XP_022330639.1_7	2283	2175.99	550	62.7934
lcl|NC_035780.1_cds_XP_022295762.1_8	432	325.056	8.73542	6.67624
lcl|NC_035780.1_cds_XP_022295750.1_9	936	828.985	138.491	41.5034
lcl|NC_035780.1_cds_XP_022337778.1_10	432	325.056	43.1894	33.0085
lcl|NC_035780.1_cds_XP_022325096.1_11	432	325.056	101.032	77.2161
lcl|NC_035780.1_cds_XP_022330653.1_12	432	325.056	34.0432	26.0183
lcl|NC_035780.1_cds_XP_022307863.1_13	987	879.985	100.838	28.468
lcl|NC_035780.1_cds_XP_022301465.1_14	945	837.985	81.7465	24.2348
lcl|NC_035780.1_cds_XP_022301545.1_15	915	808.017	0	0
lcl|NC_035780.1_cds_XP_022301617.1_16	915	808.017	0	0
lcl|NC_035780.1_cds_XP_022301726.1_17	912	805.017	95.4154	29.4456
lcl|NC_035780.1_cds_XP_022301276.1_18	903	796.017	108	33.7061
lcl|NC_035780.1_cds_XP_022323720.1_19	2028	1920.99	118.51	15.3263
lcl|NC_035780.1_cds_XP_022323729.1_20	2022	1914.99	211.732	27.4681
lcl|NC_035780.1_cds_XP_022323703.1_21	2148	2040.99	67.5682	8.2245
lcl|NC_035780.1_cds_XP_022323712.1_22	2148	2040.99	67.5682	8.2245
lcl|NC_035780.1_cds_XP_022323738.1_23	1821	1713.99	84.6219	12.2654
lcl|NC_035780.1_cds_XP_022289422.1_24	1074	966.985	126	32.3711
