gene	value.var	block	component	transcript	product	GO	GOterm	GOslim	process
gene.LOC111129523	-0.428253454288534	X	1	NA	NA	NA	NA	NA	NA
gene.LOC111122495	-0.381954742766907	X	1	NA	NA	NA	NA	NA	NA
gene.LOC111118004	-0.344139720321086	X	1	XM_022457269.1;XM_022457270.1;XM_022457271.1	MAP kinase-interacting serine/threonine-protein kinase 1-like%2C transcript variant X1;MAP kinase-interacting serine/threonine-protein kinase 1-like%2C transcript variant X2;MAP kinase-interacting serine/threonine-protein kinase 1-like%2C transcript variant X3	GO:0005634;GO:0005654;GO:0005737;GO:0004674;GO:0004683;GO:0005516;GO:0005524;GO:0009931;GO:0046872;GO:0006417;GO:0006468;GO:0009651;GO:0018105;GO:0046777;GO:0035556;GO:0097192	nucleus;nucleoplasm;cytoplasm;protein serine/threonine kinase activity;calmodulin-dependent protein kinase activity;calmodulin binding;ATP binding;calcium-dependent protein serine/threonine kinase activity;metal ion binding;regulation of translation;protein amino acid phosphorylation;response to salt stress;peptidyl-serine phosphorylation;protein amino acid autophosphorylation;NA	nucleus;other cellular component;kinase activity;other molecular function;protein metabolism;stress response;NA	C;F;P;NA
gene.LOC111126360	-0.302153211318681	X	1	XM_022470929.1;XM_022470936.1;XM_022470944.1;XM_022470954.1;XM_022470965.1	zinc finger protein 236-like%2C transcript variant X1;zinc finger protein 236-like%2C transcript variant X2;zinc finger protein 236-like%2C transcript variant X3;zinc finger protein 236-like%2C transcript variant X4;zinc finger protein 236-like%2C transcript variant X5	GO:0005634;GO:0003700;GO:0043565;GO:0046872;GO:0006351;GO:0045892;GO:0044212	nucleus;transcription factor activity;sequence-specific DNA binding;metal ion binding;transcription;DNA-dependent;negative regulation of transcription;DNA-dependent;NA	nucleus;nucleic acid binding activity;transcription regulatory activity;other molecular function;RNA metabolism;NA	C;F;P;NA
gene.LOC111124657	-0.280807928379956	X	1	XM_022467734.1	breast cancer anti-estrogen resistance protein 3 homolog	GO:0005622;GO:0005070;GO:0005085;GO:0007165;GO:0007264	intracellular;SH3/SH2 adaptor activity;guanyl-nucleotide exchange factor activity;signal transduction;small GTPase mediated signal transduction	other cellular component;signal transduction activity;enzyme regulator activity;signal transduction	C;F;P
gene.LOC111107792	-0.252099540531916	X	1	XM_022443146.1;XM_022443147.1;XM_022443148.1	transcription cofactor vestigial-like protein 4%2C transcript variant X1;transcription cofactor vestigial-like protein 4%2C transcript variant X2;transcription cofactor vestigial-like protein 4%2C transcript variant X3	GO:0005634;GO:0006351;GO:0006355	nucleus;transcription;DNA-dependent;regulation of transcription;DNA-dependent	nucleus;RNA metabolism	C;P
gene.LOC111118606	-0.232340681857628	X	1	XM_022458156.1	inactive tyrosine-protein kinase transmembrane receptor ROR1-like	GO:0001725;GO:0005737;GO:0005886;GO:0005887;GO:0009986;GO:0043235;GO:0004714;GO:0005524;GO:0017147;GO:0007169;GO:0014002;GO:1904929	stress fiber;cytoplasm;plasma membrane;integral to plasma membrane;cell surface;receptor complex;transmembrane receptor protein tyrosine kinase activity;ATP binding;Wnt-protein binding;transmembrane receptor protein tyrosine kinase signaling pathway;astrocyte development;NA	cytoskeleton;other cellular component;other membranes;plasma membrane;kinase activity;signal transduction activity;other molecular function;signal transduction;developmental processes;NA	C;F;P;NA
gene.LOC111129214	-0.19624293926636	X	1	NA	NA	NA	NA	NA	NA
gene.LOC111118013	-0.191892127483981	X	1	XM_022457281.1	calcium homeostasis endoplasmic reticulum protein-like	GO:0005737;GO:0005783;GO:0016020;GO:0048471;GO:0003723;GO:0006396;GO:0006874;GO:0008285;GO:0051209;GO:0051533;GO:0044325	cytoplasm;endoplasmic reticulum;membrane;perinuclear region of cytoplasm;RNA binding;RNA processing;cellular calcium ion homeostasis;negative regulation of cell proliferation;release of sequestered calcium ion into cytosol;positive regulation of NFAT protein import into nucleus;NA	other cellular component;ER/Golgi;other membranes;nucleic acid binding activity;RNA metabolism;other biological processes;cell cycle and proliferation;transport;NA	C;F;P;NA
gene.LOC111137141	-0.17643857053723	X	1	XM_022488452.1;XM_022488453.1;XM_022488454.1	homeobox protein cut-like 1%2C transcript variant X1;homeobox protein cut-like 1%2C transcript variant X2;homeobox protein cut-like 1%2C transcript variant X3	GO:0000139;GO:0005654;GO:0005794;GO:0030173;GO:0006891	Golgi membrane;nucleoplasm;Golgi apparatus;integral to Golgi membrane;intra-Golgi vesicle-mediated transport	ER/Golgi;other membranes;nucleus;transport	C;P
